,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,Buffalo Bills*,13,3,.813,428,263,165,10.3,-1.7,8.6,5.7,2.9
2,Miami Dolphins+,12,4,.750,336,242,94,5.9,-1.2,4.7,0.5,4.2
3,Indianapolis Colts,7,9,.438,281,353,-72,-4.5,0.6,-3.9,-2.7,-1.2
4,New York Jets,6,10,.375,295,345,-50,-3.1,-1.5,-4.6,-2.0,-2.6
5,New England Patriots,1,15,.063,181,446,-265,-16.6,2.0,-14.6,-7.5,-7.1
6,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central
7,Cincinnati Bengals*,9,7,.563,360,352,8,0.5,-1.6,-1.1,1.9,-3.0
8,Houston Oilers+,9,7,.563,405,307,98,6.1,-0.9,5.2,4.9,0.3
9,Pittsburgh Steelers,9,7,.563,292,240,52,3.3,-1.6,1.6,-3.4,5.0
10,Cleveland Browns,3,13,.188,228,462,-234,-14.6,1.7,-13.0,-5.2,-7.8
11,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
12,Los Angeles Raiders*,12,4,.750,337,268,69,4.3,2.2,6.6,2.2,4.4
13,Kansas City Chiefs+,11,5,.688,369,257,112,7.0,-0.3,6.7,2.7,4.1
14,Seattle Seahawks,9,7,.563,306,286,20,1.3,1.5,2.7,-0.5,3.3
15,San Diego Chargers,6,10,.375,315,281,34,2.1,0.2,2.3,-0.1,2.5
16,Denver Broncos,5,11,.313,331,374,-43,-2.7,1.9,-0.8,2.1,-2.9
