,passer_id,passer,season_plays,epa,ewm,career_epa,career_plays,season,bayesian_epa,bayesian_career_epa,bayesian_ewm,weighted_epa,weighted_career_epa,weighted_ewm,bayesian_career_blend,bayesian_career_percentile,bayesian_career_blend_percentile,last_season,first_season,season_rank
0,00-0000104,T.Aikman,490,0.07211022167494856,0.05536006459048767,0.07211022167494856,490,1999,0.039512143156465694,0.040947532918515495,0.03447514682511683,35.334008620724795,35.334008620724795,27.12643164933896,0.03771133987181616,51st,51st,2000,1999,12th
1,00-0000722,T.Banks,376,-0.035278111577321976,-0.034807196070262524,-0.035278111577321976,376,1999,-0.0012521868114801708,0.006519194500735641,0.006039589902158872,-13.264569953073062,-13.264569953073062,-13.087505722418708,0.006279392201447256,22nd,24th,2005,1999,32nd
2,00-0000865,C.Batch,327,-0.03948598294000998,-0.02736639727563691,-0.03948598294000998,327,1999,0.0036780872629127077,0.007066948422680095,0.00965379831168717,-12.911916421383264,-12.911916421383264,-8.94881190913327,0.008360373367183633,22nd,26th,2012,1999,29th
3,00-0001218,S.Beuerlein,649,0.12808005688272078,0.15544015898578695,0.12808005688272078,649,1999,0.09823433703858818,0.06759652618005005,0.07855047489951528,83.12395691688579,83.12395691688579,100.88066318177573,0.07307350053978266,69th,73rd,2003,1999,3rd
4,00-0001335,J.Blake,443,-0.01824623677379092,-0.020204773390858712,-0.01824623677379092,443,1999,0.0032236219124195846,0.010052106660627225,0.008818546407612076,-8.083082890789377,-8.083082890789377,-8.95071461215041,0.00943532653411965,24th,27th,2005,1999,28th
5,00-0001361,D.Bledsoe,626,-0.055706160580741695,-0.10420563203287646,-0.055706160580741695,626,1999,-0.04728431223536286,-0.008708384264438113,-0.029121037493451664,-34.8720565235443,-34.8720565235443,-65.23272565258067,-0.01891471087894489,14th,12th,2006,1999,41st
6,00-0002110,M.Brunell,494,0.11810643233288085,0.1320991411276124,0.11810643233288085,494,1999,0.0777138488859181,0.057336900795161315,0.06172955391292249,58.344577572443136,58.344577572443136,65.25697571704052,0.0595332273540419,63rd,66th,2011,1999,6th
7,00-0002876,C.Chandler,364,0.025111791097725964,0.04875315334475829,0.025111791097725964,364,1999,0.034417520709553354,0.024306767480683538,0.030490641024577096,9.140691959572251,9.140691959572251,17.74614781749202,0.027398704252630315,35th,41st,2004,1999,20th
8,00-0003292,K.Collins,368,0.011368447685304355,0.02718876750862811,0.011368447685304355,368,1999,0.025341078938637355,0.02032070259006604,0.024289817729296982,4.183588748192003,4.183588748192003,10.005466443175145,0.02230526015968151,32nd,37th,2011,1999,24th
9,00-0003535,T.Couch,484,-0.1268397700300245,-0.10432390862193089,-0.1268397700300245,484,1999,-0.039128233432370395,-0.02876256254228332,-0.021458633912890986,-61.390448694531855,-61.390448694531855,-50.49277177301455,-0.025110598227587155,7th,10th,2003,1999,42nd
10,00-0004161,J.Delhomme,87,-0.18434611174459203,-0.18866605087261476,-0.18434611174459203,87,1999,-0.007535530409464064,0.005617984208948564,0.004437766982427502,-16.038111721779508,-16.038111721779508,-16.413946425917484,0.005027875595688033,21st,24th,2011,1999,33rd
11,00-0004293,T.Dilfer,282,-0.11172059294755395,-0.10511398820444529,-0.11172059294755395,282,1999,-0.02257232045791751,-0.008394369775971635,-0.007485721011912135,-31.505207211210212,-31.505207211210212,-29.642144673653572,-0.007940045393941886,14th,17th,2007,1999,37th
12,00-0005106,B.Favre,667,0.0549052494574573,0.054830846342887665,0.0549052494574573,667,1999,0.04161333726329747,0.037144137539333606,0.03660893232181206,36.62180138812402,36.62180138812402,36.57217451070607,0.03687653493057283,48th,50th,2010,1999,14th
13,00-0005180,J.Fiedler,104,0.1568804544565685,0.15830748401404737,0.1568804544565685,104,1999,0.04711021260434272,0.03774763884411839,0.037109562524934615,16.315567263483125,16.315567263483125,16.463978337460926,0.037428600684526504,48th,51st,2005,1999,13th
14,00-0005363,D.Flutie,537,0.055324276476407294,0.06941391096963465,0.055324276476407294,537,1999,0.047508061973245794,0.03569394474867255,0.04041008533630288,29.709136467830717,29.709136467830717,37.2752701906938,0.038052015042487716,46th,51st,2005,1999,11th
