,season,team,coach,top_av_player,passer,rusher,receiver,franchise_code,passer_name,passer_url,coach_name,coach_url
0,2021,Arizona Cardinals,Kingsbury,Murray,Murray,Conner,Kirk,/teams/crd/,Kyler Murray,/players/M/MurrKy00.htm,Kliff Kingsbury,/coaches/KingKl0.htm
1,2020,Arizona Cardinals,Kingsbury,Murray,Murray,Drake,Hopkins,/teams/crd/,Kyler Murray,/players/M/MurrKy00.htm,Kliff Kingsbury,/coaches/KingKl0.htm
2,2019,Arizona Cardinals,Kingsbury,Murray,Murray,Drake,Fitzgerald,/teams/crd/,Kyler Murray,/players/M/MurrKy00.htm,Kliff Kingsbury,/coaches/KingKl0.htm
3,2018,Arizona Cardinals,Wilks,Peterson,Rosen,Johnson,Fitzgerald,/teams/crd/,Josh Rosen,/players/R/RoseJo01.htm,Steve Wilks,/coaches/WilkSt0.htm
4,2017,Arizona Cardinals,Arians,Jones,Palmer,Peterson,Fitzgerald,/teams/crd/,Carson Palmer,/players/P/PalmCa00.htm,Bruce Arians,/coaches/AriaBr0.htm
5,2016,Arizona Cardinals,Arians,Campbell,Palmer,Johnson,Fitzgerald,/teams/crd/,Carson Palmer,/players/P/PalmCa00.htm,Bruce Arians,/coaches/AriaBr0.htm
6,2015,Arizona Cardinals,Arians,Palmer,Palmer,Johnson,Fitzgerald,/teams/crd/,Carson Palmer,/players/P/PalmCa00.htm,Bruce Arians,/coaches/AriaBr0.htm
7,2014,Arizona Cardinals,Arians,Campbell,Stanton,Ellington,Floyd,/teams/crd/,Drew Stanton,/players/S/StanDr00.htm,Bruce Arians,/coaches/AriaBr0.htm
8,2013,Arizona Cardinals,Arians,Dansby,Palmer,Mendenhall,Floyd,/teams/crd/,Carson Palmer,/players/P/PalmCa00.htm,Bruce Arians,/coaches/AriaBr0.htm
9,2012,Arizona Cardinals,Whisenhunt,Washington,Kolb,Stephens-Howling,Fitzgerald,/teams/crd/,Kevin Kolb,/players/K/KolbKe00.htm,Ken Whisenhunt,/coaches/WhisKe0.htm
10,2011,Arizona Cardinals,Whisenhunt,Peterson,Kolb,Wells,Fitzgerald,/teams/crd/,Kevin Kolb,/players/K/KolbKe00.htm,Ken Whisenhunt,/coaches/WhisKe0.htm
