,season,team,coach,top_av_player,passer,rusher,receiver,franchise_code,passer_name,passer_url,coach_name,coach_url
0,2021,Baltimore Ravens,Harbaugh,Jackson,Jackson,Jackson,Andrews,/teams/rav/,Lamar Jackson,/players/J/JackLa00.htm,John Harbaugh,/coaches/HarbJo0.htm
1,2020,Baltimore Ravens,Harbaugh,Jackson,Jackson,Jackson,Brown,/teams/rav/,Lamar Jackson,/players/J/JackLa00.htm,John Harbaugh,/coaches/HarbJo0.htm
2,2019,Baltimore Ravens,Harbaugh,Jackson,Jackson,Jackson,Andrews,/teams/rav/,Lamar Jackson,/players/J/JackLa00.htm,John Harbaugh,/coaches/HarbJo0.htm
3,2018,Baltimore Ravens,Harbaugh,Mosley,Flacco,Edwards,Brown,/teams/rav/,Joe Flacco,/players/F/FlacJo00.htm,John Harbaugh,/coaches/HarbJo0.htm
4,2017,Baltimore Ravens,Harbaugh,Mosley,Flacco,Collins,Wallace,/teams/rav/,Joe Flacco,/players/F/FlacJo00.htm,John Harbaugh,/coaches/HarbJo0.htm
5,2016,Baltimore Ravens,Harbaugh,Orr,Flacco,West,Wallace,/teams/rav/,Joe Flacco,/players/F/FlacJo00.htm,John Harbaugh,/coaches/HarbJo0.htm
6,2015,Baltimore Ravens,Harbaugh,Yanda,Flacco,Forsett,Aiken,/teams/rav/,Joe Flacco,/players/F/FlacJo00.htm,John Harbaugh,/coaches/HarbJo0.htm
7,2014,Baltimore Ravens,Harbaugh,Yanda,Flacco,Forsett,Smith,/teams/rav/,Joe Flacco,/players/F/FlacJo00.htm,John Harbaugh,/coaches/HarbJo0.htm
8,2013,Baltimore Ravens,Harbaugh,Suggs,Flacco,Rice,Smith,/teams/rav/,Joe Flacco,/players/F/FlacJo00.htm,John Harbaugh,/coaches/HarbJo0.htm
9,2012,Baltimore Ravens,Harbaugh,Rice,Flacco,Rice,Boldin,/teams/rav/,Joe Flacco,/players/F/FlacJo00.htm,John Harbaugh,/coaches/HarbJo0.htm
10,2011,Baltimore Ravens,Harbaugh,Ngata,Flacco,Rice,Boldin,/teams/rav/,Joe Flacco,/players/F/FlacJo00.htm,John Harbaugh,/coaches/HarbJo0.htm
11,2010,Baltimore Ravens,Harbaugh,Ngata,Flacco,Rice,Boldin,/teams/rav/,Joe Flacco,/players/F/FlacJo00.htm,John Harbaugh,/coaches/HarbJo0.htm
12,2009,Baltimore Ravens,Harbaugh,Rice,Flacco,Rice,Mason,/teams/rav/,Joe Flacco,/players/F/FlacJo00.htm,John Harbaugh,/coaches/HarbJo0.htm
13,2008,Baltimore Ravens,Harbaugh,Lewis,Flacco,McClain,Mason,/teams/rav/,Joe Flacco,/players/F/FlacJo00.htm,John Harbaugh,/coaches/HarbJo0.htm
14,2007,Baltimore Ravens,Billick,Reed,Boller,McGahee,Mason,/teams/rav/,Kyle Boller,/players/B/BollKy00.htm,Brian Billick,/coaches/BillBr0.htm
15,2006,Baltimore Ravens,Billick,Thomas,McNair,Lewis,Clayton,/teams/rav/,Steve McNair,/players/M/McNaSt00.htm,Brian Billick,/coaches/BillBr0.htm
16,2005,Baltimore Ravens,Billick,Thomas,Boller,Lewis,Mason,/teams/rav/,Kyle Boller,/players/B/BollKy00.htm,Brian Billick,/coaches/BillBr0.htm
17,2004,Baltimore Ravens,Billick,Lewis,Boller,Lewis,Taylor,/teams/rav/,Kyle Boller,/players/B/BollKy00.htm,Brian Billick,/coaches/BillBr0.htm
18,2003,Baltimore Ravens,Billick,Lewis,Boller,Lewis,Heap,/teams/rav/,Kyle Boller,/players/B/BollKy00.htm,Brian Billick,/coaches/BillBr0.htm
19,2002,Baltimore Ravens,Billick,Ogden,Blake,Lewis,Taylor,/teams/rav/,Jeff Blake,/players/B/BlakJe00.htm,Brian Billick,/coaches/BillBr0.htm
20,2001,Baltimore Ravens,Billick,Lewis,Grbac,Allen,Ismail,/teams/rav/,Elvis Grbac,/players/G/GrbaEl00.htm,Brian Billick,/coaches/BillBr0.htm
21,2000,Baltimore Ravens,Billick,Lewis,Banks,Lewis,Sharpe,/teams/rav/,Tony Banks,/players/B/BankTo00.htm,Brian Billick,/coaches/BillBr0.htm
22,1999,Baltimore Ravens,Billick,Lewis,Banks,Rhett,Ismail,/teams/rav/,Tony Banks,/players/B/BankTo00.htm,Brian Billick,/coaches/BillBr0.htm
23,1998,Baltimore Ravens,Marchibroda,Lewis,Harbaugh,Holmes,Lewis,/teams/rav/,Jim Harbaugh,/players/H/HarbJi00.htm,Ted Marchibroda,/coaches/MarcTe0.htm
24,1997,Baltimore Ravens,Marchibroda,Ogden,Testaverde,Morris,Alexander,/teams/rav/,Vinny Testaverde,/players/T/TestVi00.htm,Ted Marchibroda,/coaches/MarcTe0.htm
25,1996,Baltimore Ravens,Marchibroda,Testaverde,Testaverde,Morris,Jackson,/teams/rav/,Vinny Testaverde,/players/T/TestVi00.htm,Ted Marchibroda,/coaches/MarcTe0.htm
