,season,team,coach,top_av_player,passer,rusher,receiver,franchise_code,passer_name,passer_url,coach_name,coach_url
0,2021,Buffalo Bills,McDermott,Allen,Allen,Singletary,Diggs,/teams/buf/,Josh Allen,/players/A/AlleJo02.htm,Sean McDermott,/coaches/McDeSe0.htm
1,2020,Buffalo Bills,McDermott,Allen,Allen,Singletary,Diggs,/teams/buf/,Josh Allen,/players/A/AlleJo02.htm,Sean McDermott,/coaches/McDeSe0.htm
2,2019,Buffalo Bills,McDermott,White,Allen,Singletary,Brown,/teams/buf/,Josh Allen,/players/A/AlleJo02.htm,Sean McDermott,/coaches/McDeSe0.htm
3,2018,Buffalo Bills,McDermott,Williams,Allen,Allen,Jones,/teams/buf/,Josh Allen,/players/A/AlleJo02.htm,Sean McDermott,/coaches/McDeSe0.htm
4,2017,Buffalo Bills,McDermott,Taylor,Taylor,McCoy,Clay,/teams/buf/,Tyrod Taylor,/players/T/TaylTy00.htm,Sean McDermott,/coaches/McDeSe0.htm
5,2016,Buffalo Bills,"Ryan,Lynn",Taylor,Taylor,McCoy,Woods,/teams/buf/,Tyrod Taylor,/players/T/TaylTy00.htm,"Rex Ryan,Anthony Lynn","/coaches/RyanRe0.htm,/coaches/LynnAn0.htm"
6,2015,Buffalo Bills,Ryan,Taylor,Taylor,McCoy,Watkins,/teams/buf/,Tyrod Taylor,/players/T/TaylTy00.htm,Rex Ryan,/coaches/RyanRe0.htm
7,2014,Buffalo Bills,Marrone,Williams,Orton,Jackson,Watkins,/teams/buf/,Kyle Orton,/players/O/OrtoKy00.htm,Doug Marrone,/coaches/MarrDo0.htm
8,2013,Buffalo Bills,Marrone,Williams,Manuel,Spiller,Chandler,/teams/buf/,EJ Manuel,/players/M/ManuEJ00.htm,Doug Marrone,/coaches/MarrDo0.htm
9,2012,Buffalo Bills,Gailey,Spiller,Fitzpatrick,Spiller,Johnson,/teams/buf/,Ryan Fitzpatrick,/players/F/FitzRy00.htm,Chan Gailey,/coaches/GailCh0.htm
10,2011,Buffalo Bills,Gailey,Fitzpatrick,Fitzpatrick,Jackson,Johnson,/teams/buf/,Ryan Fitzpatrick,/players/F/FitzRy00.htm,Chan Gailey,/coaches/GailCh0.htm
11,2010,Buffalo Bills,Gailey,Williams,Fitzpatrick,Jackson,Johnson,/teams/buf/,Ryan Fitzpatrick,/players/F/FitzRy00.htm,Chan Gailey,/coaches/GailCh0.htm
12,2009,Buffalo Bills,"Jauron,Fewell",Schobel,Fitzpatrick,Jackson,Owens,/teams/buf/,Ryan Fitzpatrick,/players/F/FitzRy00.htm,"Dick Jauron,Perry Fewell","/coaches/JaurDi0.htm,/coaches/FewePe0.htm"
13,2008,Buffalo Bills,Jauron,Peters,Edwards,Lynch,Evans,/teams/buf/,Trent Edwards,/players/E/EdwaTr01.htm,Dick Jauron,/coaches/JaurDi0.htm
14,2007,Buffalo Bills,Jauron,Schobel,Edwards,Lynch,Evans,/teams/buf/,Trent Edwards,/players/E/EdwaTr01.htm,Dick Jauron,/coaches/JaurDi0.htm
15,2006,Buffalo Bills,Jauron,Schobel,Losman,McGahee,Evans,/teams/buf/,J.P. Losman,/players/L/LosmJ.00.htm,Dick Jauron,/coaches/JaurDi0.htm
16,2005,Buffalo Bills,Mularkey,McGee,Holcomb,McGahee,Moulds,/teams/buf/,Kelly Holcomb,/players/H/HolcKe00.htm,Mike Mularkey,/coaches/MulaMi0.htm
17,2004,Buffalo Bills,Mularkey,Spikes,Bledsoe,McGahee,Moulds,/teams/buf/,Drew Bledsoe,/players/B/BledDr00.htm,Mike Mularkey,/coaches/MulaMi0.htm
18,2003,Buffalo Bills,Williams,Spikes,Bledsoe,Henry,Moulds,/teams/buf/,Drew Bledsoe,/players/B/BledDr00.htm,Gregg Williams,/coaches/WillGr0.htm
19,2002,Buffalo Bills,Williams,Bledsoe,Bledsoe,Henry,Moulds,/teams/buf/,Drew Bledsoe,/players/B/BledDr00.htm,Gregg Williams,/coaches/WillGr0.htm
20,2001,Buffalo Bills,Williams,Brown,Van Pelt,Henry,Moulds,/teams/buf/,Alex Van Pelt,/players/V/VanPAl00.htm,Gregg Williams,/coaches/WillGr0.htm
21,2000,Buffalo Bills,Phillips,Cowart,Johnson,Bryson,Moulds,/teams/buf/,Rob Johnson,/players/J/JohnRo00.htm,Wade Phillips,/coaches/PhilWa0.htm
22,1999,Buffalo Bills,Phillips,Flutie,Flutie,Linton,Moulds,/teams/buf/,Doug Flutie,/players/F/FlutDo00.htm,Wade Phillips,/coaches/PhilWa0.htm
23,1998,Buffalo Bills,Phillips,Moulds,Flutie,Smith,Moulds,/teams/buf/,Doug Flutie,/players/F/FlutDo00.htm,Wade Phillips,/coaches/PhilWa0.htm
