,season,team,coach,top_av_player,passer,rusher,receiver,franchise_code,passer_name,passer_url,coach_name,coach_url
0,2021,Carolina Panthers,Rhule,Chinn,Darnold,Hubbard,Moore,/teams/car/,Sam Darnold,/players/D/DarnSa00.htm,Matt Rhule,/coaches/RhulMa0.htm
1,2020,Carolina Panthers,Rhule,Chinn,Bridgewater,Davis,Moore,/teams/car/,Teddy Bridgewater,/players/B/BridTe00.htm,Matt Rhule,/coaches/RhulMa0.htm
2,2019,Carolina Panthers,"Rivera,Fewell",McCaffrey,Allen,McCaffrey,Moore,/teams/car/,Kyle Allen,/players/A/AlleKy00.htm,"Ron Rivera,Perry Fewell","/coaches/RiveRo0.htm,/coaches/FewePe0.htm"
3,2018,Carolina Panthers,Rivera,McCaffrey,Newton,McCaffrey,McCaffrey,/teams/car/,Cam Newton,/players/N/NewtCa00.htm,Ron Rivera,/coaches/RiveRo0.htm
4,2017,Carolina Panthers,Rivera,Newton,Newton,Newton,Funchess,/teams/car/,Cam Newton,/players/N/NewtCa00.htm,Ron Rivera,/coaches/RiveRo0.htm
5,2016,Carolina Panthers,Rivera,Newton,Newton,Stewart,Olsen,/teams/car/,Cam Newton,/players/N/NewtCa00.htm,Ron Rivera,/coaches/RiveRo0.htm
6,2015,Carolina Panthers,Rivera,Newton,Newton,Stewart,Olsen,/teams/car/,Cam Newton,/players/N/NewtCa00.htm,Ron Rivera,/coaches/RiveRo0.htm
7,2014,Carolina Panthers,Rivera,Kuechly,Newton,Stewart,Benjamin,/teams/car/,Cam Newton,/players/N/NewtCa00.htm,Ron Rivera,/coaches/RiveRo0.htm
8,2013,Carolina Panthers,Rivera,Kuechly,Newton,Williams,Olsen,/teams/car/,Cam Newton,/players/N/NewtCa00.htm,Ron Rivera,/coaches/RiveRo0.htm
9,2012,Carolina Panthers,Rivera,Newton,Newton,Newton,Smith,/teams/car/,Cam Newton,/players/N/NewtCa00.htm,Ron Rivera,/coaches/RiveRo0.htm
10,2011,Carolina Panthers,Rivera,Newton,Newton,Williams,Smith,/teams/car/,Cam Newton,/players/N/NewtCa00.htm,Ron Rivera,/coaches/RiveRo0.htm
11,2010,Carolina Panthers,Fox,Beason,Clausen,Stewart,Smith,/teams/car/,Jimmy Clausen,/players/C/ClauJi00.htm,John Fox,/coaches/FoxxJo0.htm
12,2009,Carolina Panthers,Fox,Beason,Delhomme,Stewart,Smith,/teams/car/,Jake Delhomme,/players/D/DelhJa00.htm,John Fox,/coaches/FoxxJo0.htm
13,2008,Carolina Panthers,Fox,Beason,Delhomme,Williams,Smith,/teams/car/,Jake Delhomme,/players/D/DelhJa00.htm,John Fox,/coaches/FoxxJo0.htm
14,2007,Carolina Panthers,Fox,Smith,Testaverde,Foster,Smith,/teams/car/,Vinny Testaverde,/players/T/TestVi00.htm,John Fox,/coaches/FoxxJo0.htm
15,2006,Carolina Panthers,Fox,Peppers,Delhomme,Foster,Smith,/teams/car/,Jake Delhomme,/players/D/DelhJa00.htm,John Fox,/coaches/FoxxJo0.htm
16,2005,Carolina Panthers,Fox,Smith,Delhomme,Foster,Smith,/teams/car/,Jake Delhomme,/players/D/DelhJa00.htm,John Fox,/coaches/FoxxJo0.htm
17,2004,Carolina Panthers,Fox,Peppers,Delhomme,Goings,Muhammad,/teams/car/,Jake Delhomme,/players/D/DelhJa00.htm,John Fox,/coaches/FoxxJo0.htm
18,2003,Carolina Panthers,Fox,Jenkins,Delhomme,Davis,Smith,/teams/car/,Jake Delhomme,/players/D/DelhJa00.htm,John Fox,/coaches/FoxxJo0.htm
19,2002,Carolina Panthers,Fox,Jenkins,Peete,Smith,Smith,/teams/car/,Rodney Peete,/players/P/PeetRo00.htm,John Fox,/coaches/FoxxJo0.htm
20,2001,Carolina Panthers,Seifert,Rucker,Weinke,Huntley,Hayes,/teams/car/,Chris Weinke,/players/W/WeinCh00.htm,George Seifert,/coaches/SeifGe0.htm
21,2000,Carolina Panthers,Seifert,Beuerlein,Beuerlein,Biakabutuka,Muhammad,/teams/car/,Steve Beuerlein,/players/B/BeueSt00.htm,George Seifert,/coaches/SeifGe0.htm
22,1999,Carolina Panthers,Seifert,Beuerlein,Beuerlein,Biakabutuka,Muhammad,/teams/car/,Steve Beuerlein,/players/B/BeueSt00.htm,George Seifert,/coaches/SeifGe0.htm
23,1998,Carolina Panthers,Capers,Ismail,Beuerlein,Lane,Ismail,/teams/car/,Steve Beuerlein,/players/B/BeueSt00.htm,Dom Capers,/coaches/CapeDo0.htm
24,1997,Carolina Panthers,Capers,Barrow,Collins,Lane,Walls,/teams/car/,Kerry Collins,/players/C/CollKe00.htm,Dom Capers,/coaches/CapeDo0.htm
25,1996,Carolina Panthers,Capers,Mills,Collins,Johnson,Carrier,/teams/car/,Kerry Collins,/players/C/CollKe00.htm,Dom Capers,/coaches/CapeDo0.htm
26,1995,Carolina Panthers,Capers,Mills,Collins,Moore,Carrier,/teams/car/,Kerry Collins,/players/C/CollKe00.htm,Dom Capers,/coaches/CapeDo0.htm
