,season,team,coach,top_av_player,passer,rusher,receiver,franchise_code,passer_name,passer_url,coach_name,coach_url
0,2021,Chicago Bears,Nagy,Smith,Fields,Montgomery,Mooney,/teams/chi/,Justin Fields,/players/F/FielJu00.htm,Matt Nagy,/coaches/NagyMa0.htm
1,2020,Chicago Bears,Nagy,Smith,Trubisky,Montgomery,Robinson,/teams/chi/,Mitchell Trubisky,/players/T/TrubMi00.htm,Matt Nagy,/coaches/NagyMa0.htm
2,2019,Chicago Bears,Nagy,Mack,Trubisky,Montgomery,Robinson,/teams/chi/,Mitchell Trubisky,/players/T/TrubMi00.htm,Matt Nagy,/coaches/NagyMa0.htm
3,2018,Chicago Bears,Nagy,Mack,Trubisky,Howard,Robinson,/teams/chi/,Mitchell Trubisky,/players/T/TrubMi00.htm,Matt Nagy,/coaches/NagyMa0.htm
4,2017,Chicago Bears,Fox,Hicks,Trubisky,Howard,Wright,/teams/chi/,Mitchell Trubisky,/players/T/TrubMi00.htm,John Fox,/coaches/FoxxJo0.htm
5,2016,Chicago Bears,Fox,Howard,Barkley,Howard,Meredith,/teams/chi/,Matt Barkley,/players/B/BarkMa00.htm,John Fox,/coaches/FoxxJo0.htm
6,2015,Chicago Bears,Fox,Cutler,Cutler,Forte,Jeffery,/teams/chi/,Jay Cutler,/players/C/CutlJa00.htm,John Fox,/coaches/FoxxJo0.htm
7,2014,Chicago Bears,Trestman,Forte,Cutler,Forte,Jeffery,/teams/chi/,Jay Cutler,/players/C/CutlJa00.htm,Marc Trestman,/coaches/TresMa0.htm
8,2013,Chicago Bears,Trestman,Forte,Cutler,Forte,Jeffery,/teams/chi/,Jay Cutler,/players/C/CutlJa00.htm,Marc Trestman,/coaches/TresMa0.htm
9,2012,Chicago Bears,Smith,Tillman,Cutler,Forte,Marshall,/teams/chi/,Jay Cutler,/players/C/CutlJa00.htm,Lovie Smith,/coaches/SmitLo0.htm
10,2011,Chicago Bears,Smith,Peppers,Cutler,Forte,Knox,/teams/chi/,Jay Cutler,/players/C/CutlJa00.htm,Lovie Smith,/coaches/SmitLo0.htm
11,2010,Chicago Bears,Smith,Peppers,Cutler,Forte,Knox,/teams/chi/,Jay Cutler,/players/C/CutlJa00.htm,Lovie Smith,/coaches/SmitLo0.htm
12,2009,Chicago Bears,Smith,Cutler,Cutler,Forte,Hester,/teams/chi/,Jay Cutler,/players/C/CutlJa00.htm,Lovie Smith,/coaches/SmitLo0.htm
13,2008,Chicago Bears,Smith,Briggs,Orton,Forte,Hester,/teams/chi/,Kyle Orton,/players/O/OrtoKy00.htm,Lovie Smith,/coaches/SmitLo0.htm
14,2007,Chicago Bears,Smith,Urlacher,Griese,Benson,Berrian,/teams/chi/,Brian Griese,/players/G/GrieBr00.htm,Lovie Smith,/coaches/SmitLo0.htm
15,2006,Chicago Bears,Smith,Urlacher,Grossman,Jones,Muhammad,/teams/chi/,Rex Grossman,/players/G/GrosRe00.htm,Lovie Smith,/coaches/SmitLo0.htm
16,2005,Chicago Bears,Smith,Briggs,Orton,Jones,Muhammad,/teams/chi/,Kyle Orton,/players/O/OrtoKy00.htm,Lovie Smith,/coaches/SmitLo0.htm
17,2004,Chicago Bears,Smith,Briggs,Hutchinson,Jones,Terrell,/teams/chi/,Chad Hutchinson,/players/H/HutcCh00.htm,Lovie Smith,/coaches/SmitLo0.htm
18,2003,Chicago Bears,Jauron,Azumah,Stewart,Thomas,Booker,/teams/chi/,Kordell Stewart,/players/S/StewKo00.htm,Dick Jauron,/coaches/JaurDi0.htm
19,2002,Chicago Bears,Jauron,Urlacher,Miller,Thomas,Booker,/teams/chi/,Jim Miller,/players/M/MillJi00.htm,Dick Jauron,/coaches/JaurDi0.htm
20,2001,Chicago Bears,Jauron,Urlacher,Miller,Thomas,Booker,/teams/chi/,Jim Miller,/players/M/MillJi00.htm,Dick Jauron,/coaches/JaurDi0.htm
21,2000,Chicago Bears,Jauron,Urlacher,McNown,Allen,Robinson,/teams/chi/,Cade McNown,/players/M/McNoCa00.htm,Dick Jauron,/coaches/JaurDi0.htm
22,1999,Chicago Bears,Jauron,Robinson,Matthews,Enis,Robinson,/teams/chi/,Shane Matthews,/players/M/MattSh00.htm,Dick Jauron,/coaches/JaurDi0.htm
23,1998,Chicago Bears,Wannstedt,Engram,Kramer,Bennett,Engram,/teams/chi/,Erik Kramer,/players/K/KramEr00.htm,Dave Wannstedt,/coaches/WannDa0.htm
