,season,team,coach,top_av_player,passer,rusher,receiver,franchise_code,passer_name,passer_url,coach_name,coach_url
0,2021,Cleveland Browns,Stefanski,Garrett,Mayfield,Chubb,Peoples-Jones,/teams/cle/,Baker Mayfield,/players/M/MayfBa00.htm,Kevin Stefanski,/coaches/StefKe0.htm
1,2020,Cleveland Browns,Stefanski,Conklin,Mayfield,Chubb,Landry,/teams/cle/,Baker Mayfield,/players/M/MayfBa00.htm,Kevin Stefanski,/coaches/StefKe0.htm
2,2019,Cleveland Browns,Kitchens,Chubb,Mayfield,Chubb,Landry,/teams/cle/,Baker Mayfield,/players/M/MayfBa00.htm,Freddie Kitchens,/coaches/KitcFr0.htm
3,2018,Cleveland Browns,"Williams,Jackson",Garrett,Mayfield,Chubb,Landry,/teams/cle/,Baker Mayfield,/players/M/MayfBa00.htm,"Gregg Williams,Hue Jackson","/coaches/WillGr0.htm,/coaches/JackHu0.htm"
4,2017,Cleveland Browns,Jackson,Schobert,Kizer,Crowell,Johnson,/teams/cle/,DeShone Kizer,/players/K/KizeDe00.htm,Hue Jackson,/coaches/JackHu0.htm
5,2016,Cleveland Browns,Jackson,Thomas,Kessler,Crowell,Pryor,/teams/cle/,Cody Kessler,/players/K/KessCo00.htm,Hue Jackson,/coaches/JackHu0.htm
6,2015,Cleveland Browns,Pettine,Thomas,McCown,Crowell,Barnidge,/teams/cle/,Josh McCown,/players/M/McCoJo01.htm,Mike Pettine,/coaches/PettMi0.htm
7,2014,Cleveland Browns,Pettine,Thomas,Hoyer,West,Hawkins,/teams/cle/,Brian Hoyer,/players/H/HoyeBr00.htm,Mike Pettine,/coaches/PettMi0.htm
8,2013,Cleveland Browns,Chudzinski,Haden,Campbell,McGahee,Gordon,/teams/cle/,Jason Campbell,/players/C/CampJa00.htm,Rob Chudzinski,/coaches/ChudRo0.htm
9,2012,Cleveland Browns,Shurmur,Thomas,Weeden,Richardson,Gordon,/teams/cle/,Brandon Weeden,/players/W/WeedBr00.htm,Pat Shurmur,/coaches/ShurPa0.htm
10,2011,Cleveland Browns,Shurmur,Thomas,McCoy,Hillis,Little,/teams/cle/,Colt McCoy,/players/M/McCoCo00.htm,Pat Shurmur,/coaches/ShurPa0.htm
11,2010,Cleveland Browns,Mangini,Thomas,McCoy,Hillis,Watson,/teams/cle/,Colt McCoy,/players/M/McCoCo00.htm,Eric Mangini,/coaches/MangEr0.htm
12,2009,Cleveland Browns,Mangini,Thomas,Quinn,Harrison,Massaquoi,/teams/cle/,Brady Quinn,/players/Q/QuinBr00.htm,Eric Mangini,/coaches/MangEr0.htm
13,2008,Cleveland Browns,Crennel,Rogers,Anderson,Lewis,Edwards,/teams/cle/,Derek Anderson,/players/A/AndeDe00.htm,Romeo Crennel,/coaches/CrenRo0.htm
14,2007,Cleveland Browns,Crennel,Anderson,Anderson,Lewis,Edwards,/teams/cle/,Derek Anderson,/players/A/AndeDe00.htm,Romeo Crennel,/coaches/CrenRo0.htm
15,2006,Cleveland Browns,Crennel,Wimbley,Frye,Droughns,Edwards,/teams/cle/,Charlie Frye,/players/F/FryeCh00.htm,Romeo Crennel,/coaches/CrenRo0.htm
