,season,team,coach,top_av_player,passer,rusher,receiver,franchise_code,passer_name,passer_url,coach_name,coach_url
0,2021,Dallas Cowboys,McCarthy,Parsons,Prescott,Elliott,Lamb,/teams/dal/,Dak Prescott,/players/P/PresDa01.htm,Mike McCarthy,/coaches/McCaMi0.htm
1,2020,Dallas Cowboys,McCarthy,Lamb,Dalton,Elliott,Cooper,/teams/dal/,Andy Dalton,/players/D/DaltAn00.htm,Mike McCarthy,/coaches/McCaMi0.htm
2,2019,Dallas Cowboys,Garrett,Martin,Prescott,Elliott,Cooper,/teams/dal/,Dak Prescott,/players/P/PresDa01.htm,Jason Garrett,/coaches/GarrJa0.htm
3,2018,Dallas Cowboys,Garrett,Elliott,Prescott,Elliott,Cooper,/teams/dal/,Dak Prescott,/players/P/PresDa01.htm,Jason Garrett,/coaches/GarrJa0.htm
4,2017,Dallas Cowboys,Garrett,Lawrence,Prescott,Elliott,Bryant,/teams/dal/,Dak Prescott,/players/P/PresDa01.htm,Jason Garrett,/coaches/GarrJa0.htm
5,2016,Dallas Cowboys,Garrett,Lee,Prescott,Elliott,Beasley,/teams/dal/,Dak Prescott,/players/P/PresDa01.htm,Jason Garrett,/coaches/GarrJa0.htm
6,2015,Dallas Cowboys,Garrett,Lee,Cassel,McFadden,Williams,/teams/dal/,Matt Cassel,/players/C/CassMa00.htm,Jason Garrett,/coaches/GarrJa0.htm
7,2014,Dallas Cowboys,Garrett,Murray,Romo,Murray,Bryant,/teams/dal/,Tony Romo,/players/R/RomoTo00.htm,Jason Garrett,/coaches/GarrJa0.htm
8,2013,Dallas Cowboys,Garrett,Smith,Romo,Murray,Bryant,/teams/dal/,Tony Romo,/players/R/RomoTo00.htm,Jason Garrett,/coaches/GarrJa0.htm
9,2012,Dallas Cowboys,Garrett,Romo,Romo,Murray,Bryant,/teams/dal/,Tony Romo,/players/R/RomoTo00.htm,Jason Garrett,/coaches/GarrJa0.htm
10,2011,Dallas Cowboys,Garrett,Ware,Romo,Murray,Witten,/teams/dal/,Tony Romo,/players/R/RomoTo00.htm,Jason Garrett,/coaches/GarrJa0.htm
11,2010,Dallas Cowboys,"Garrett,Phillips",Ware,Kitna,Jones,Austin,/teams/dal/,Jon Kitna,/players/K/KitnJo00.htm,"Jason Garrett,Wade Phillips","/coaches/GarrJa0.htm,/coaches/PhilWa0.htm"
12,2009,Dallas Cowboys,Phillips,Ratliff,Romo,Barber,Austin,/teams/dal/,Tony Romo,/players/R/RomoTo00.htm,Wade Phillips,/coaches/PhilWa0.htm
13,2008,Dallas Cowboys,Phillips,Ware,Romo,Barber,Owens,/teams/dal/,Tony Romo,/players/R/RomoTo00.htm,Wade Phillips,/coaches/PhilWa0.htm
14,2007,Dallas Cowboys,Phillips,Romo,Romo,Barber,Owens,/teams/dal/,Tony Romo,/players/R/RomoTo00.htm,Wade Phillips,/coaches/PhilWa0.htm
15,2006,Dallas Cowboys,Parcells,Adams,Romo,Jones,Owens,/teams/dal/,Tony Romo,/players/R/RomoTo00.htm,Bill Parcells,/coaches/ParcBi0.htm
16,2005,Dallas Cowboys,Parcells,Williams,Bledsoe,Jones,Glenn,/teams/dal/,Drew Bledsoe,/players/B/BledDr00.htm,Bill Parcells,/coaches/ParcBi0.htm
17,2004,Dallas Cowboys,Parcells,Allen,Testaverde,Jones,Johnson,/teams/dal/,Vinny Testaverde,/players/T/TestVi00.htm,Bill Parcells,/coaches/ParcBi0.htm
18,2003,Dallas Cowboys,Parcells,Glover,Carter,Hambrick,Glenn,/teams/dal/,Quincy Carter,/players/C/CartQu00.htm,Bill Parcells,/coaches/ParcBi0.htm
19,2002,Dallas Cowboys,Campo,Glover,Hutchinson,Smith,Galloway,/teams/dal/,Chad Hutchinson,/players/H/HutcCh00.htm,Dave Campo,/coaches/CampDa0.htm
20,2001,Dallas Cowboys,Campo,Allen,Carter,Smith,Ismail,/teams/dal/,Quincy Carter,/players/C/CartQu00.htm,Dave Campo,/coaches/CampDa0.htm
21,2000,Dallas Cowboys,Campo,Allen,Aikman,Smith,McKnight,/teams/dal/,Troy Aikman,/players/A/AikmTr00.htm,Dave Campo,/coaches/CampDa0.htm
22,1999,Dallas Cowboys,Gailey,Sanders,Aikman,Smith,Ismail,/teams/dal/,Troy Aikman,/players/A/AikmTr00.htm,Chan Gailey,/coaches/GailCh0.htm
23,1998,Dallas Cowboys,Gailey,Sanders,Aikman,Smith,Irvin,/teams/dal/,Troy Aikman,/players/A/AikmTr00.htm,Chan Gailey,/coaches/GailCh0.htm
24,1997,Dallas Cowboys,Switzer,Sanders,Aikman,Smith,Irvin,/teams/dal/,Troy Aikman,/players/A/AikmTr00.htm,Barry Switzer,/coaches/SwitBa0.htm
25,1996,Dallas Cowboys,Switzer,Sanders,Aikman,Smith,Irvin,/teams/dal/,Troy Aikman,/players/A/AikmTr00.htm,Barry Switzer,/coaches/SwitBa0.htm
26,1995,Dallas Cowboys,Switzer,Smith,Aikman,Smith,Irvin,/teams/dal/,Troy Aikman,/players/A/AikmTr00.htm,Barry Switzer,/coaches/SwitBa0.htm
27,1994,Dallas Cowboys,Switzer,Smith,Aikman,Smith,Irvin,/teams/dal/,Troy Aikman,/players/A/AikmTr00.htm,Barry Switzer,/coaches/SwitBa0.htm
