,season,team,coach,top_av_player,passer,rusher,receiver,franchise_code,passer_name,passer_url,coach_name,coach_url
0,2021,Denver Broncos,Fangio,Simmons,Bridgewater,Gordon,Sutton,/teams/den/,Teddy Bridgewater,/players/B/BridTe00.htm,Vic Fangio,/coaches/FangVi0.htm
1,2020,Denver Broncos,Fangio,Bolles,Lock,Gordon,Jeudy,/teams/den/,Drew Lock,/players/L/LockDr00.htm,Vic Fangio,/coaches/FangVi0.htm
2,2019,Denver Broncos,Fangio,Simmons,Flacco,Lindsay,Sutton,/teams/den/,Joe Flacco,/players/F/FlacJo00.htm,Vic Fangio,/coaches/FangVi0.htm
3,2018,Denver Broncos,Joseph,Miller,Keenum,Lindsay,Sanders,/teams/den/,Case Keenum,/players/K/KeenCa00.htm,Vance Joseph,/coaches/JoseVa0.htm
4,2017,Denver Broncos,Joseph,Miller,Siemian,Anderson,Thomas,/teams/den/,Trevor Siemian,/players/S/SiemTr00.htm,Vance Joseph,/coaches/JoseVa0.htm
5,2016,Denver Broncos,Kubiak,Miller,Siemian,Booker,Thomas,/teams/den/,Trevor Siemian,/players/S/SiemTr00.htm,Gary Kubiak,/coaches/KubiGa0.htm
6,2015,Denver Broncos,Kubiak,Miller,Manning,Hillman,Thomas,/teams/den/,Peyton Manning,/players/M/MannPe00.htm,Gary Kubiak,/coaches/KubiGa0.htm
7,2014,Denver Broncos,Fox,Thomas,Manning,Anderson,Thomas,/teams/den/,Peyton Manning,/players/M/MannPe00.htm,John Fox,/coaches/FoxxJo0.htm
8,2013,Denver Broncos,Fox,Vasquez,Manning,Moreno,Thomas,/teams/den/,Peyton Manning,/players/M/MannPe00.htm,John Fox,/coaches/FoxxJo0.htm
9,2012,Denver Broncos,Fox,Miller,Manning,McGahee,Thomas,/teams/den/,Peyton Manning,/players/M/MannPe00.htm,John Fox,/coaches/FoxxJo0.htm
10,2011,Denver Broncos,Fox,Miller,Tebow,McGahee,Decker,/teams/den/,Tim Tebow,/players/T/TeboTi00.htm,John Fox,/coaches/FoxxJo0.htm
11,2010,Denver Broncos,"McDaniels,Studesville",Lloyd,Orton,Moreno,Lloyd,/teams/den/,Kyle Orton,/players/O/OrtoKy00.htm,"Josh McDaniels,Eric Studesville","/coaches/McDaJo0.htm,/coaches/StudEr0.htm"
12,2009,Denver Broncos,McDaniels,Dumervil,Orton,Moreno,Marshall,/teams/den/,Kyle Orton,/players/O/OrtoKy00.htm,Josh McDaniels,/coaches/McDaJo0.htm
13,2008,Denver Broncos,Shanahan,Cutler,Cutler,Hillis,Marshall,/teams/den/,Jay Cutler,/players/C/CutlJa00.htm,Mike Shanahan,/coaches/ShanMi0.htm
14,2007,Denver Broncos,Shanahan,Bailey,Cutler,Young,Marshall,/teams/den/,Jay Cutler,/players/C/CutlJa00.htm,Mike Shanahan,/coaches/ShanMi0.htm
15,2006,Denver Broncos,Shanahan,Bailey,Plummer,Bell,Walker,/teams/den/,Jake Plummer,/players/P/PlumJa00.htm,Mike Shanahan,/coaches/ShanMi0.htm
16,2005,Denver Broncos,Shanahan,Bailey,Plummer,Anderson,Smith,/teams/den/,Jake Plummer,/players/P/PlumJa00.htm,Mike Shanahan,/coaches/ShanMi0.htm
17,2004,Denver Broncos,Shanahan,Bailey,Plummer,Droughns,Smith,/teams/den/,Jake Plummer,/players/P/PlumJa00.htm,Mike Shanahan,/coaches/ShanMi0.htm
18,2003,Denver Broncos,Shanahan,Nalen,Plummer,Portis,Smith,/teams/den/,Jake Plummer,/players/P/PlumJa00.htm,Mike Shanahan,/coaches/ShanMi0.htm
19,2002,Denver Broncos,Shanahan,Portis,Griese,Portis,Smith,/teams/den/,Brian Griese,/players/G/GrieBr00.htm,Mike Shanahan,/coaches/ShanMi0.htm
20,2001,Denver Broncos,Shanahan,Smith,Griese,Davis,Smith,/teams/den/,Brian Griese,/players/G/GrieBr00.htm,Mike Shanahan,/coaches/ShanMi0.htm
21,2000,Denver Broncos,Shanahan,Smith,Griese,Anderson,Smith,/teams/den/,Brian Griese,/players/G/GrieBr00.htm,Mike Shanahan,/coaches/ShanMi0.htm
22,1999,Denver Broncos,Shanahan,Pryce,Griese,Gary,Smith,/teams/den/,Brian Griese,/players/G/GrieBr00.htm,Mike Shanahan,/coaches/ShanMi0.htm
23,1998,Denver Broncos,Shanahan,Davis,Elway,Davis,Smith,/teams/den/,John Elway,/players/E/ElwaJo00.htm,Mike Shanahan,/coaches/ShanMi0.htm
24,1997,Denver Broncos,Shanahan,Davis,Elway,Davis,Smith,/teams/den/,John Elway,/players/E/ElwaJo00.htm,Mike Shanahan,/coaches/ShanMi0.htm
25,1996,Denver Broncos,Shanahan,Williams,Elway,Davis,Sharpe,/teams/den/,John Elway,/players/E/ElwaJo00.htm,Mike Shanahan,/coaches/ShanMi0.htm
26,1995,Denver Broncos,Shanahan,Elway,Elway,Davis,Miller,/teams/den/,John Elway,/players/E/ElwaJo00.htm,Mike Shanahan,/coaches/ShanMi0.htm
27,1994,Denver Broncos,Phillips,Elway,Elway,Russell,Miller,/teams/den/,John Elway,/players/E/ElwaJo00.htm,Wade Phillips,/coaches/PhilWa0.htm
28,1993,Denver Broncos,Phillips,Elway,Elway,Bernstine,Sharpe,/teams/den/,John Elway,/players/E/ElwaJo00.htm,Wade Phillips,/coaches/PhilWa0.htm
29,1992,Denver Broncos,Reeves,Atwater,Elway,Green,Jackson,/teams/den/,John Elway,/players/E/ElwaJo00.htm,Dan Reeves,/coaches/ReevDa0.htm
32,1991,Denver Broncos,Reeves,Atwater,Elway,Green,Young,/teams/den/,John Elway,/players/E/ElwaJo00.htm,Dan Reeves,/coaches/ReevDa0.htm
33,1990,Denver Broncos,Reeves,Elway,Elway,Humphrey,Jackson,/teams/den/,John Elway,/players/E/ElwaJo00.htm,Dan Reeves,/coaches/ReevDa0.htm
34,1989,Denver Broncos,Reeves,Mecklenburg,Elway,Humphrey,Johnson,/teams/den/,John Elway,/players/E/ElwaJo00.htm,Dan Reeves,/coaches/ReevDa0.htm
35,1988,Denver Broncos,Reeves,Elway,Elway,Dorsett,Johnson,/teams/den/,John Elway,/players/E/ElwaJo00.htm,Dan Reeves,/coaches/ReevDa0.htm
36,1987,Denver Broncos,Reeves,Mecklenburg,Elway,Winder,Johnson,/teams/den/,John Elway,/players/E/ElwaJo00.htm,Dan Reeves,/coaches/ReevDa0.htm
37,1986,Denver Broncos,Reeves,Jones,Elway,Winder,Jackson,/teams/den/,John Elway,/players/E/ElwaJo00.htm,Dan Reeves,/coaches/ReevDa0.htm
38,1985,Denver Broncos,Reeves,Jones,Elway,Winder,Watson,/teams/den/,John Elway,/players/E/ElwaJo00.htm,Dan Reeves,/coaches/ReevDa0.htm
39,1984,Denver Broncos,Reeves,Jones,Elway,Winder,Watson,/teams/den/,John Elway,/players/E/ElwaJo00.htm,Dan Reeves,/coaches/ReevDa0.htm
40,1983,Denver Broncos,Reeves,Gradishar,Elway,Winder,Watson,/teams/den/,John Elway,/players/E/ElwaJo00.htm,Dan Reeves,/coaches/ReevDa0.htm
41,1982,Denver Broncos,Reeves,Gradishar,DeBerg,Willhite,Watson,/teams/den/,Steve DeBerg,/players/D/DebeSt00.htm,Dan Reeves,/coaches/ReevDa0.htm
42,1981,Denver Broncos,Reeves,Swenson,Morton,Parros,Watson,/teams/den/,Craig Morton,/players/M/MortCr00.htm,Dan Reeves,/coaches/ReevDa0.htm
43,1980,Denver Broncos,Miller,Thompson,Morton,Jensen,Moses,/teams/den/,Craig Morton,/players/M/MortCr00.htm,Red Miller,/coaches/MillRe0.htm
44,1979,Denver Broncos,Miller,Wright,Morton,Armstrong,Moses,/teams/den/,Craig Morton,/players/M/MortCr00.htm,Red Miller,/coaches/MillRe0.htm
45,1978,Denver Broncos,Miller,Wright,Morton,Perrin,Odoms,/teams/den/,Craig Morton,/players/M/MortCr00.htm,Red Miller,/coaches/MillRe0.htm
46,1977,Denver Broncos,Miller,Gradishar,Morton,Armstrong,Moses,/teams/den/,Craig Morton,/players/M/MortCr00.htm,Red Miller,/coaches/MillRe0.htm
