,season,team,coach,top_av_player,passer,rusher,receiver,franchise_code,passer_name,passer_url,coach_name,coach_url
0,2021,Detroit Lions,Campbell,Goff,Goff,Swift,St. Brown,/teams/det/,Jared Goff,/players/G/GoffJa00.htm,Dan Campbell,/coaches/CampDa1.htm
1,2020,Detroit Lions,"Patricia,Bevell",Stafford,Stafford,Peterson,Jones,/teams/det/,Matthew Stafford,/players/S/StafMa00.htm,"Matt Patricia,Darrell Bevell","/coaches/PatrMa0.htm,/coaches/BeveDa0.htm"
2,2019,Detroit Lions,Patricia,Golladay,Stafford,Johnson,Golladay,/teams/det/,Matthew Stafford,/players/S/StafMa00.htm,Matt Patricia,/coaches/PatrMa0.htm
3,2018,Detroit Lions,Patricia,Stafford,Stafford,Johnson,Golladay,/teams/det/,Matthew Stafford,/players/S/StafMa00.htm,Matt Patricia,/coaches/PatrMa0.htm
4,2017,Detroit Lions,Caldwell,Stafford,Stafford,Abdullah,Jones,/teams/det/,Matthew Stafford,/players/S/StafMa00.htm,Jim Caldwell,/coaches/CaldJi0.htm
5,2016,Detroit Lions,Caldwell,Stafford,Stafford,Riddick,Tate,/teams/det/,Matthew Stafford,/players/S/StafMa00.htm,Jim Caldwell,/coaches/CaldJi0.htm
6,2015,Detroit Lions,Caldwell,Stafford,Stafford,Abdullah,Johnson,/teams/det/,Matthew Stafford,/players/S/StafMa00.htm,Jim Caldwell,/coaches/CaldJi0.htm
7,2014,Detroit Lions,Caldwell,Suh,Stafford,Bell,Tate,/teams/det/,Matthew Stafford,/players/S/StafMa00.htm,Jim Caldwell,/coaches/CaldJi0.htm
8,2013,Detroit Lions,Schwartz,Suh,Stafford,Bush,Johnson,/teams/det/,Matthew Stafford,/players/S/StafMa00.htm,Jim Schwartz,/coaches/SchwJi0.htm
9,2012,Detroit Lions,Schwartz,Johnson,Stafford,Leshoure,Johnson,/teams/det/,Matthew Stafford,/players/S/StafMa00.htm,Jim Schwartz,/coaches/SchwJi0.htm
10,2011,Detroit Lions,Schwartz,Stafford,Stafford,Best,Johnson,/teams/det/,Matthew Stafford,/players/S/StafMa00.htm,Jim Schwartz,/coaches/SchwJi0.htm
11,2010,Detroit Lions,Schwartz,Suh,Hill,Best,Johnson,/teams/det/,Shaun Hill,/players/H/HillSh00.htm,Jim Schwartz,/coaches/SchwJi0.htm
12,2009,Detroit Lions,Schwartz,Johnson,Stafford,Smith,Johnson,/teams/det/,Matthew Stafford,/players/S/StafMa00.htm,Jim Schwartz,/coaches/SchwJi0.htm
13,2008,Detroit Lions,Marinelli,Johnson,Orlovsky,Smith,Johnson,/teams/det/,Dan Orlovsky,/players/O/OrloDa00.htm,Rod Marinelli,/coaches/MariRo0.htm
14,2007,Detroit Lions,Marinelli,Kitna,Kitna,Jones,McDonald,/teams/det/,Jon Kitna,/players/K/KitnJo00.htm,Rod Marinelli,/coaches/MariRo0.htm
15,2006,Detroit Lions,Marinelli,Kitna,Kitna,Jones,Williams,/teams/det/,Jon Kitna,/players/K/KitnJo00.htm,Rod Marinelli,/coaches/MariRo0.htm
16,2005,Detroit Lions,"Mariucci,Jauron",Rogers,Harrington,Jones,Williams,/teams/det/,Joey Harrington,/players/H/HarrJo00.htm,"Steve Mariucci,Dick Jauron","/coaches/MariSt0.htm,/coaches/JaurDi0.htm"
