,season,team,coach,top_av_player,passer,rusher,receiver,franchise_code,passer_name,passer_url,coach_name,coach_url
0,2021,Green Bay Packers,LaFleur,Adams,Rodgers,Dillon,Adams,/teams/gnb/,Aaron Rodgers,/players/R/RodgAa00.htm,Matt LaFleur,/coaches/LaFlMa0.htm
1,2020,Green Bay Packers,LaFleur,Rodgers,Rodgers,Jones,Adams,/teams/gnb/,Aaron Rodgers,/players/R/RodgAa00.htm,Matt LaFleur,/coaches/LaFlMa0.htm
2,2019,Green Bay Packers,LaFleur,Rodgers,Rodgers,Jones,Adams,/teams/gnb/,Aaron Rodgers,/players/R/RodgAa00.htm,Matt LaFleur,/coaches/LaFlMa0.htm
3,2018,Green Bay Packers,"McCarthy,Philbin",Bakhtiari,Rodgers,Jones,Adams,/teams/gnb/,Aaron Rodgers,/players/R/RodgAa00.htm,"Mike McCarthy,Joe Philbin","/coaches/McCaMi0.htm,/coaches/PhilJo0.htm"
4,2017,Green Bay Packers,McCarthy,Bakhtiari,Hundley,Williams,Adams,/teams/gnb/,Brett Hundley,/players/H/HundBr00.htm,Mike McCarthy,/coaches/McCaMi0.htm
5,2016,Green Bay Packers,McCarthy,Rodgers,Rodgers,Montgomery,Nelson,/teams/gnb/,Aaron Rodgers,/players/R/RodgAa00.htm,Mike McCarthy,/coaches/McCaMi0.htm
6,2015,Green Bay Packers,McCarthy,Rodgers,Rodgers,Lacy,Jones,/teams/gnb/,Aaron Rodgers,/players/R/RodgAa00.htm,Mike McCarthy,/coaches/McCaMi0.htm
7,2014,Green Bay Packers,McCarthy,Rodgers,Rodgers,Lacy,Nelson,/teams/gnb/,Aaron Rodgers,/players/R/RodgAa00.htm,Mike McCarthy,/coaches/McCaMi0.htm
8,2013,Green Bay Packers,McCarthy,Sitton,Rodgers,Lacy,Nelson,/teams/gnb/,Aaron Rodgers,/players/R/RodgAa00.htm,Mike McCarthy,/coaches/McCaMi0.htm
9,2012,Green Bay Packers,McCarthy,Rodgers,Rodgers,Green,Cobb,/teams/gnb/,Aaron Rodgers,/players/R/RodgAa00.htm,Mike McCarthy,/coaches/McCaMi0.htm
10,2011,Green Bay Packers,McCarthy,Rodgers,Rodgers,Starks,Nelson,/teams/gnb/,Aaron Rodgers,/players/R/RodgAa00.htm,Mike McCarthy,/coaches/McCaMi0.htm
11,2010,Green Bay Packers,McCarthy,Matthews,Rodgers,Jackson,Jennings,/teams/gnb/,Aaron Rodgers,/players/R/RodgAa00.htm,Mike McCarthy,/coaches/McCaMi0.htm
12,2009,Green Bay Packers,McCarthy,Rodgers,Rodgers,Grant,Jennings,/teams/gnb/,Aaron Rodgers,/players/R/RodgAa00.htm,Mike McCarthy,/coaches/McCaMi0.htm
13,2008,Green Bay Packers,McCarthy,Rodgers,Rodgers,Grant,Jennings,/teams/gnb/,Aaron Rodgers,/players/R/RodgAa00.htm,Mike McCarthy,/coaches/McCaMi0.htm
14,2007,Green Bay Packers,McCarthy,Favre,Favre,Grant,Driver,/teams/gnb/,Brett Favre,/players/F/FavrBr00.htm,Mike McCarthy,/coaches/McCaMi0.htm
15,2006,Green Bay Packers,McCarthy,Kampman,Favre,Green,Driver,/teams/gnb/,Brett Favre,/players/F/FavrBr00.htm,Mike McCarthy,/coaches/McCaMi0.htm
16,2005,Green Bay Packers,Sherman,Driver,Favre,Gado,Driver,/teams/gnb/,Brett Favre,/players/F/FavrBr00.htm,Mike Sherman,/coaches/SherMi0.htm
17,2004,Green Bay Packers,Sherman,Favre,Favre,Green,Walker,/teams/gnb/,Brett Favre,/players/F/FavrBr00.htm,Mike Sherman,/coaches/SherMi0.htm
18,2003,Green Bay Packers,Sherman,Green,Favre,Green,Walker,/teams/gnb/,Brett Favre,/players/F/FavrBr00.htm,Mike Sherman,/coaches/SherMi0.htm
19,2002,Green Bay Packers,Sherman,Green,Favre,Green,Driver,/teams/gnb/,Brett Favre,/players/F/FavrBr00.htm,Mike Sherman,/coaches/SherMi0.htm
20,2001,Green Bay Packers,Sherman,Green,Favre,Green,Schroeder,/teams/gnb/,Brett Favre,/players/F/FavrBr00.htm,Mike Sherman,/coaches/SherMi0.htm
21,2000,Green Bay Packers,Sherman,Green,Favre,Green,Schroeder,/teams/gnb/,Brett Favre,/players/F/FavrBr00.htm,Mike Sherman,/coaches/SherMi0.htm
22,1999,Green Bay Packers,Rhodes,Favre,Favre,Levens,Freeman,/teams/gnb/,Brett Favre,/players/F/FavrBr00.htm,Ray Rhodes,/coaches/RhodRa0.htm
23,1998,Green Bay Packers,Holmgren,Favre,Favre,Holmes,Freeman,/teams/gnb/,Brett Favre,/players/F/FavrBr00.htm,Mike Holmgren,/coaches/HolmMi0.htm
24,1997,Green Bay Packers,Holmgren,Favre,Favre,Levens,Freeman,/teams/gnb/,Brett Favre,/players/F/FavrBr00.htm,Mike Holmgren,/coaches/HolmMi0.htm
25,1996,Green Bay Packers,Holmgren,White,Favre,Bennett,Freeman,/teams/gnb/,Brett Favre,/players/F/FavrBr00.htm,Mike Holmgren,/coaches/HolmMi0.htm
26,1995,Green Bay Packers,Holmgren,Favre,Favre,Bennett,Brooks,/teams/gnb/,Brett Favre,/players/F/FavrBr00.htm,Mike Holmgren,/coaches/HolmMi0.htm
27,1994,Green Bay Packers,Holmgren,Favre,Favre,Bennett,Sharpe,/teams/gnb/,Brett Favre,/players/F/FavrBr00.htm,Mike Holmgren,/coaches/HolmMi0.htm
28,1993,Green Bay Packers,Holmgren,Butler,Favre,Thompson,Sharpe,/teams/gnb/,Brett Favre,/players/F/FavrBr00.htm,Mike Holmgren,/coaches/HolmMi0.htm
29,1992,Green Bay Packers,Holmgren,Sharpe,Favre,Workman,Sharpe,/teams/gnb/,Brett Favre,/players/F/FavrBr00.htm,Mike Holmgren,/coaches/HolmMi0.htm
32,1991,Green Bay Packers,Infante,Sharpe,Tomczak,Thompson,Sharpe,/teams/gnb/,Mike Tomczak,/players/T/TomcMi00.htm,Lindy Infante,/coaches/InfaLi0.htm
33,1990,Green Bay Packers,Infante,Harris,Majkowski,Haddix,Sharpe,/teams/gnb/,Don Majkowski,/players/M/MajkDo00.htm,Lindy Infante,/coaches/InfaLi0.htm
34,1989,Green Bay Packers,Infante,Majkowski,Majkowski,Fullwood,Sharpe,/teams/gnb/,Don Majkowski,/players/M/MajkDo00.htm,Lindy Infante,/coaches/InfaLi0.htm
35,1988,Green Bay Packers,Infante,Harris,Majkowski,Fullwood,Sharpe,/teams/gnb/,Don Majkowski,/players/M/MajkDo00.htm,Lindy Infante,/coaches/InfaLi0.htm
36,1987,Green Bay Packers,Gregg,Anderson,Wright,Davis,Stanley,/teams/gnb/,Randy Wright,/players/W/WrigRa00.htm,Forrest Gregg,/coaches/GregFo0.htm
37,1986,Green Bay Packers,Gregg,Wright,Wright,Davis,Lofton,/teams/gnb/,Randy Wright,/players/W/WrigRa00.htm,Forrest Gregg,/coaches/GregFo0.htm
