,season,team,coach,top_av_player,passer,rusher,receiver,franchise_code,passer_name,passer_url,coach_name,coach_url
0,2021,Houston Texans,Culley,Cooks,Mills,Burkhead,Cooks,/teams/htx/,Davis Mills,/players/M/MillDa02.htm,David Culley,/coaches/CullDa0.htm
1,2020,Houston Texans,"Crennel,O'Brien",Watson,Watson,Johnson,Cooks,/teams/htx/,Deshaun Watson,/players/W/WatsDe00.htm,"Romeo Crennel,Bill O'Brien","/coaches/CrenRo0.htm,/coaches/OBriBi0.htm"
2,2019,Houston Texans,O'Brien,Watson,Watson,Hyde,Hopkins,/teams/htx/,Deshaun Watson,/players/W/WatsDe00.htm,Bill O'Brien,/coaches/OBriBi0.htm
3,2018,Houston Texans,O'Brien,Watt,Watson,Miller,Hopkins,/teams/htx/,Deshaun Watson,/players/W/WatsDe00.htm,Bill O'Brien,/coaches/OBriBi0.htm
4,2017,Houston Texans,O'Brien,Hopkins,Watson,Miller,Hopkins,/teams/htx/,Deshaun Watson,/players/W/WatsDe00.htm,Bill O'Brien,/coaches/OBriBi0.htm
5,2016,Houston Texans,O'Brien,Mercilus,Osweiler,Miller,Hopkins,/teams/htx/,Brock Osweiler,/players/O/OsweBr00.htm,Bill O'Brien,/coaches/OBriBi0.htm
6,2015,Houston Texans,O'Brien,Watt,Hoyer,Blue,Hopkins,/teams/htx/,Brian Hoyer,/players/H/HoyeBr00.htm,Bill O'Brien,/coaches/OBriBi0.htm
7,2014,Houston Texans,O'Brien,Watt,Fitzpatrick,Foster,Hopkins,/teams/htx/,Ryan Fitzpatrick,/players/F/FitzRy00.htm,Bill O'Brien,/coaches/OBriBi0.htm
8,2013,Houston Texans,"Kubiak,Phillips",Watt,Schaub,Tate,Johnson,/teams/htx/,Matt Schaub,/players/S/SchaMa00.htm,"Gary Kubiak,Wade Phillips","/coaches/KubiGa0.htm,/coaches/PhilWa0.htm"
9,2012,Houston Texans,Kubiak,Watt,Schaub,Foster,Johnson,/teams/htx/,Matt Schaub,/players/S/SchaMa00.htm,Gary Kubiak,/coaches/KubiGa0.htm
10,2011,Houston Texans,Kubiak,Cushing,Schaub,Foster,Daniels,/teams/htx/,Matt Schaub,/players/S/SchaMa00.htm,Gary Kubiak,/coaches/KubiGa0.htm
11,2010,Houston Texans,Kubiak,Foster,Schaub,Foster,Johnson,/teams/htx/,Matt Schaub,/players/S/SchaMa00.htm,Gary Kubiak,/coaches/KubiGa0.htm
12,2009,Houston Texans,Kubiak,Schaub,Schaub,Slaton,Johnson,/teams/htx/,Matt Schaub,/players/S/SchaMa00.htm,Gary Kubiak,/coaches/KubiGa0.htm
13,2008,Houston Texans,Kubiak,Johnson,Schaub,Slaton,Johnson,/teams/htx/,Matt Schaub,/players/S/SchaMa00.htm,Gary Kubiak,/coaches/KubiGa0.htm
14,2007,Houston Texans,Kubiak,Williams,Schaub,Dayne,Johnson,/teams/htx/,Matt Schaub,/players/S/SchaMa00.htm,Gary Kubiak,/coaches/KubiGa0.htm
15,2006,Houston Texans,Kubiak,Johnson,Carr,Dayne,Johnson,/teams/htx/,David Carr,/players/C/CarrDa00.htm,Gary Kubiak,/coaches/KubiGa0.htm
16,2005,Houston Texans,Capers,Williams,Carr,Williams,Johnson,/teams/htx/,David Carr,/players/C/CarrDa00.htm,Dom Capers,/coaches/CapeDo0.htm
17,2004,Houston Texans,Capers,Carr,Carr,Williams,Johnson,/teams/htx/,David Carr,/players/C/CarrDa00.htm,Dom Capers,/coaches/CapeDo0.htm
18,2003,Houston Texans,Capers,Williams,Carr,Williams,Johnson,/teams/htx/,David Carr,/players/C/CarrDa00.htm,Dom Capers,/coaches/CapeDo0.htm
19,2002,Houston Texans,Capers,Glenn,Carr,Wells,Bradford,/teams/htx/,David Carr,/players/C/CarrDa00.htm,Dom Capers,/coaches/CapeDo0.htm
