,season,team,coach,top_av_player,passer,rusher,receiver,franchise_code,passer_name,passer_url,coach_name,coach_url
0,2021,Indianapolis Colts,Reich,Taylor,Wentz,Taylor,Pittman,/teams/clt/,Carson Wentz,/players/W/WentCa00.htm,Frank Reich,/coaches/ReicFr0.htm
1,2020,Indianapolis Colts,Reich,Buckner,Rivers,Taylor,Hilton,/teams/clt/,Philip Rivers,/players/R/RivePh00.htm,Frank Reich,/coaches/ReicFr0.htm
2,2019,Indianapolis Colts,Reich,Nelson,Brissett,Mack,Pascal,/teams/clt/,Jacoby Brissett,/players/B/BrisJa00.htm,Frank Reich,/coaches/ReicFr0.htm
3,2018,Indianapolis Colts,Reich,Leonard,Luck,Mack,Hilton,/teams/clt/,Andrew Luck,/players/L/LuckAn00.htm,Frank Reich,/coaches/ReicFr0.htm
4,2017,Indianapolis Colts,Pagano,Brissett,Brissett,Gore,Hilton,/teams/clt/,Jacoby Brissett,/players/B/BrisJa00.htm,Chuck Pagano,/coaches/PagaCh0.htm
5,2016,Indianapolis Colts,Pagano,Luck,Luck,Gore,Hilton,/teams/clt/,Andrew Luck,/players/L/LuckAn00.htm,Chuck Pagano,/coaches/PagaCh0.htm
6,2015,Indianapolis Colts,Pagano,Davis,Luck,Gore,Hilton,/teams/clt/,Andrew Luck,/players/L/LuckAn00.htm,Chuck Pagano,/coaches/PagaCh0.htm
7,2014,Indianapolis Colts,Pagano,Luck,Luck,Richardson,Hilton,/teams/clt/,Andrew Luck,/players/L/LuckAn00.htm,Chuck Pagano,/coaches/PagaCh0.htm
8,2013,Indianapolis Colts,Pagano,Mathis,Luck,Brown,Hilton,/teams/clt/,Andrew Luck,/players/L/LuckAn00.htm,Chuck Pagano,/coaches/PagaCh0.htm
9,2012,Indianapolis Colts,Pagano,Luck,Luck,Ballard,Wayne,/teams/clt/,Andrew Luck,/players/L/LuckAn00.htm,Chuck Pagano,/coaches/PagaCh0.htm
10,2011,Indianapolis Colts,Caldwell,Freeney,Painter,Brown,Wayne,/teams/clt/,Curtis Painter,/players/P/PainCu00.htm,Jim Caldwell,/coaches/CaldJi0.htm
11,2010,Indianapolis Colts,Caldwell,Manning,Manning,Brown,Wayne,/teams/clt/,Peyton Manning,/players/M/MannPe00.htm,Jim Caldwell,/coaches/CaldJi0.htm
