,season,team,coach,top_av_player,passer,rusher,receiver,franchise_code,passer_name,passer_url,coach_name,coach_url
0,2021,Kansas City Chiefs,Reid,Mahomes,Mahomes,Williams,Hill,/teams/kan/,Patrick Mahomes,/players/M/MahoPa00.htm,Andy Reid,/coaches/ReidAn0.htm
1,2020,Kansas City Chiefs,Reid,Mahomes,Mahomes,Edwards-Helaire,Kelce,/teams/kan/,Patrick Mahomes,/players/M/MahoPa00.htm,Andy Reid,/coaches/ReidAn0.htm
2,2019,Kansas City Chiefs,Reid,Mahomes,Mahomes,Williams,Kelce,/teams/kan/,Patrick Mahomes,/players/M/MahoPa00.htm,Andy Reid,/coaches/ReidAn0.htm
3,2018,Kansas City Chiefs,Reid,Mahomes,Mahomes,Hunt,Hill,/teams/kan/,Patrick Mahomes,/players/M/MahoPa00.htm,Andy Reid,/coaches/ReidAn0.htm
4,2017,Kansas City Chiefs,Reid,Smith,Smith,Hunt,Hill,/teams/kan/,Alex Smith,/players/S/SmitAl03.htm,Andy Reid,/coaches/ReidAn0.htm
5,2016,Kansas City Chiefs,Reid,Peters,Smith,Ware,Kelce,/teams/kan/,Alex Smith,/players/S/SmitAl03.htm,Andy Reid,/coaches/ReidAn0.htm
6,2015,Kansas City Chiefs,Reid,Smith,Smith,West,Maclin,/teams/kan/,Alex Smith,/players/S/SmitAl03.htm,Andy Reid,/coaches/ReidAn0.htm
7,2014,Kansas City Chiefs,Reid,Houston,Smith,Charles,Kelce,/teams/kan/,Alex Smith,/players/S/SmitAl03.htm,Andy Reid,/coaches/ReidAn0.htm
8,2013,Kansas City Chiefs,Reid,Charles,Smith,Charles,Charles,/teams/kan/,Alex Smith,/players/S/SmitAl03.htm,Andy Reid,/coaches/ReidAn0.htm
9,2012,Kansas City Chiefs,Crennel,Charles,Cassel,Charles,Bowe,/teams/kan/,Matt Cassel,/players/C/CassMa00.htm,Romeo Crennel,/coaches/CrenRo0.htm
10,2011,Kansas City Chiefs,"Haley,Crennel",Johnson,Cassel,Battle,Bowe,/teams/kan/,Matt Cassel,/players/C/CassMa00.htm,"Todd Haley,Romeo Crennel","/coaches/HaleTo0.htm,/coaches/CrenRo0.htm"
11,2010,Kansas City Chiefs,Haley,Charles,Cassel,Charles,Bowe,/teams/kan/,Matt Cassel,/players/C/CassMa00.htm,Todd Haley,/coaches/HaleTo0.htm
12,2009,Kansas City Chiefs,Haley,Charles,Cassel,Charles,Chambers,/teams/kan/,Matt Cassel,/players/C/CassMa00.htm,Todd Haley,/coaches/HaleTo0.htm
13,2008,Kansas City Chiefs,Edwards,Bowe,Thigpen,Johnson,Gonzalez,/teams/kan/,Tyler Thigpen,/players/T/ThigTy00.htm,Herm Edwards,/coaches/EdwaHe0.htm
14,2007,Kansas City Chiefs,Edwards,Allen,Huard,Johnson,Gonzalez,/teams/kan/,Damon Huard,/players/H/HuarDa00.htm,Herm Edwards,/coaches/EdwaHe0.htm
15,2006,Kansas City Chiefs,Edwards,Johnson,Huard,Johnson,Gonzalez,/teams/kan/,Damon Huard,/players/H/HuarDa00.htm,Herm Edwards,/coaches/EdwaHe0.htm
16,2005,Kansas City Chiefs,Vermeil,Johnson,Green,Johnson,Kennison,/teams/kan/,Trent Green,/players/G/GreeTr00.htm,Dick Vermeil,/coaches/VermDi0.htm
17,2004,Kansas City Chiefs,Vermeil,Green,Green,Holmes,Gonzalez,/teams/kan/,Trent Green,/players/G/GreeTr00.htm,Dick Vermeil,/coaches/VermDi0.htm
18,2003,Kansas City Chiefs,Vermeil,Holmes,Green,Holmes,Gonzalez,/teams/kan/,Trent Green,/players/G/GreeTr00.htm,Dick Vermeil,/coaches/VermDi0.htm
19,2002,Kansas City Chiefs,Vermeil,Holmes,Green,Holmes,Kennison,/teams/kan/,Trent Green,/players/G/GreeTr00.htm,Dick Vermeil,/coaches/VermDi0.htm
