,season,team,coach,top_av_player,passer,rusher,receiver,franchise_code,passer_name,passer_url,coach_name,coach_url
0,2021,Los Angeles Rams,McVay,Kupp,Stafford,Michel,Kupp,/teams/ram/,Matthew Stafford,/players/S/StafMa00.htm,Sean McVay,/coaches/McVaSe0.htm
1,2020,Los Angeles Rams,McVay,Donald,Goff,Akers,Kupp,/teams/ram/,Jared Goff,/players/G/GoffJa00.htm,Sean McVay,/coaches/McVaSe0.htm
2,2019,Los Angeles Rams,McVay,Donald,Goff,Gurley,Kupp,/teams/ram/,Jared Goff,/players/G/GoffJa00.htm,Sean McVay,/coaches/McVaSe0.htm
3,2018,Los Angeles Rams,McVay,Goff,Goff,Gurley,Woods,/teams/ram/,Jared Goff,/players/G/GoffJa00.htm,Sean McVay,/coaches/McVaSe0.htm
4,2017,Los Angeles Rams,McVay,Gurley,Goff,Gurley,Kupp,/teams/ram/,Jared Goff,/players/G/GoffJa00.htm,Sean McVay,/coaches/McVaSe0.htm
5,2016,Los Angeles Rams,"Fisher,Fassel",Donald,Keenum,Gurley,Britt,/teams/ram/,Case Keenum,/players/K/KeenCa00.htm,"Jeff Fisher,John Fassel","/coaches/FishJe0.htm,/coaches/FassJo0.htm"
6,2015,St. Louis Rams,Fisher,Donald,Foles,Gurley,Britt,/teams/ram/,Nick Foles,/players/F/FoleNi00.htm,Jeff Fisher,/coaches/FishJe0.htm
7,2014,St. Louis Rams,Fisher,Quinn,Davis,Mason,Britt,/teams/ram/,Austin Davis,/players/D/DaviAu00.htm,Jeff Fisher,/coaches/FishJe0.htm
8,2013,St. Louis Rams,Fisher,Quinn,Bradford,Stacy,Cook,/teams/ram/,Sam Bradford,/players/B/BradSa00.htm,Jeff Fisher,/coaches/FishJe0.htm
9,2012,St. Louis Rams,Fisher,Bradford,Bradford,Jackson,Givens,/teams/ram/,Sam Bradford,/players/B/BradSa00.htm,Jeff Fisher,/coaches/FishJe0.htm
10,2011,St. Louis Rams,Spagnuolo,Laurinaitis,Bradford,Jackson,Lloyd,/teams/ram/,Sam Bradford,/players/B/BradSa00.htm,Steve Spagnuolo,/coaches/SpagSt0.htm
11,2010,St. Louis Rams,Spagnuolo,Jackson,Bradford,Jackson,Amendola,/teams/ram/,Sam Bradford,/players/B/BradSa00.htm,Steve Spagnuolo,/coaches/SpagSt0.htm
12,2009,St. Louis Rams,Spagnuolo,Jackson,Bulger,Jackson,Avery,/teams/ram/,Marc Bulger,/players/B/BulgMa00.htm,Steve Spagnuolo,/coaches/SpagSt0.htm
13,2008,St. Louis Rams,"Haslett,Linehan",Jackson,Bulger,Jackson,Holt,/teams/ram/,Marc Bulger,/players/B/BulgMa00.htm,"Jim Haslett,Scott Linehan","/coaches/HaslJi0.htm,/coaches/LineSc0.htm"
14,2007,St. Louis Rams,Linehan,Holt,Bulger,Jackson,Holt,/teams/ram/,Marc Bulger,/players/B/BulgMa00.htm,Scott Linehan,/coaches/LineSc0.htm
15,2006,St. Louis Rams,Linehan,Jackson,Bulger,Jackson,Holt,/teams/ram/,Marc Bulger,/players/B/BulgMa00.htm,Scott Linehan,/coaches/LineSc0.htm
16,2005,St. Louis Rams,"Vitt,Martz",Holt,Bulger,Jackson,Holt,/teams/ram/,Marc Bulger,/players/B/BulgMa00.htm,"Joe Vitt,Mike Martz","/coaches/VittJo0.htm,/coaches/MartMi0.htm"
17,2004,St. Louis Rams,Martz,Bulger,Bulger,Faulk,Holt,/teams/ram/,Marc Bulger,/players/B/BulgMa00.htm,Mike Martz,/coaches/MartMi0.htm
18,2003,St. Louis Rams,Martz,Pace,Bulger,Faulk,Holt,/teams/ram/,Marc Bulger,/players/B/BulgMa00.htm,Mike Martz,/coaches/MartMi0.htm
19,2002,St. Louis Rams,Martz,Little,Bulger,Faulk,Holt,/teams/ram/,Marc Bulger,/players/B/BulgMa00.htm,Mike Martz,/coaches/MartMi0.htm
20,2001,St. Louis Rams,Martz,Faulk,Warner,Faulk,Holt,/teams/ram/,Kurt Warner,/players/W/WarnKu00.htm,Mike Martz,/coaches/MartMi0.htm
21,2000,St. Louis Rams,Martz,Pace,Warner,Faulk,Holt,/teams/ram/,Kurt Warner,/players/W/WarnKu00.htm,Mike Martz,/coaches/MartMi0.htm
22,1999,St. Louis Rams,Vermeil,Faulk,Warner,Faulk,Bruce,/teams/ram/,Kurt Warner,/players/W/WarnKu00.htm,Dick Vermeil,/coaches/VermDi0.htm
23,1998,St. Louis Rams,Vermeil,Jones,Banks,Henley,Proehl,/teams/ram/,Tony Banks,/players/B/BankTo00.htm,Dick Vermeil,/coaches/VermDi0.htm
24,1997,St. Louis Rams,Vermeil,Banks,Banks,Phillips,Lee,/teams/ram/,Tony Banks,/players/B/BankTo00.htm,Dick Vermeil,/coaches/VermDi0.htm
25,1996,St. Louis Rams,Brooks,Bruce,Banks,Phillips,Bruce,/teams/ram/,Tony Banks,/players/B/BankTo00.htm,Rich Brooks,/coaches/BrooRi0.htm
26,1995,St. Louis Rams,Brooks,Bruce,Miller,Bettis,Bruce,/teams/ram/,Chris Miller,/players/M/MillCh00.htm,Rich Brooks,/coaches/BrooRi0.htm
27,1994,Los Angeles Rams,Knox,Anderson,Miller,Bettis,Anderson,/teams/ram/,Chris Miller,/players/M/MillCh00.htm,Chuck Knox,/coaches/KnoxCh0.htm
28,1993,Los Angeles Rams,Knox,Bettis,Everett,Bettis,Ellard,/teams/ram/,Jim Everett,/players/E/EverJi00.htm,Chuck Knox,/coaches/KnoxCh0.htm
29,1992,Los Angeles Rams,Knox,Everett,Everett,Gary,Ellard,/teams/ram/,Jim Everett,/players/E/EverJi00.htm,Chuck Knox,/coaches/KnoxCh0.htm
32,1991,Los Angeles Rams,Robinson,Everett,Everett,Delpino,Ellard,/teams/ram/,Jim Everett,/players/E/EverJi00.htm,John Robinson,/coaches/RobiJo0.htm
33,1990,Los Angeles Rams,Robinson,Everett,Everett,Gary,Ellard,/teams/ram/,Jim Everett,/players/E/EverJi00.htm,John Robinson,/coaches/RobiJo0.htm
34,1989,Los Angeles Rams,Robinson,Newberry,Everett,Bell,Ellard,/teams/ram/,Jim Everett,/players/E/EverJi00.htm,John Robinson,/coaches/RobiJo0.htm
35,1988,Los Angeles Rams,Robinson,Everett,Everett,Bell,Ellard,/teams/ram/,Jim Everett,/players/E/EverJi00.htm,John Robinson,/coaches/RobiJo0.htm
36,1987,Los Angeles Rams,Robinson,White,Everett,White,Ellard,/teams/ram/,Jim Everett,/players/E/EverJi00.htm,John Robinson,/coaches/RobiJo0.htm
37,1986,Los Angeles Rams,Robinson,Irvin,Everett,Dickerson,Ellard,/teams/ram/,Jim Everett,/players/E/EverJi00.htm,John Robinson,/coaches/RobiJo0.htm
38,1985,Los Angeles Rams,Robinson,Irvin,Brock,Dickerson,Ellard,/teams/ram/,Dieter Brock,/players/B/BrocDi00.htm,John Robinson,/coaches/RobiJo0.htm
39,1984,Los Angeles Rams,Robinson,Dickerson,Kemp,Dickerson,Ellard,/teams/ram/,Jeff Kemp,/players/K/KempJe00.htm,John Robinson,/coaches/RobiJo0.htm
40,1983,Los Angeles Rams,Robinson,Dickerson,Ferragamo,Dickerson,Barber,/teams/ram/,Vince Ferragamo,/players/F/FerrVi00.htm,John Robinson,/coaches/RobiJo0.htm
41,1982,Los Angeles Rams,Malavasi,Tyler,Ferragamo,Tyler,Dennard,/teams/ram/,Vince Ferragamo,/players/F/FerrVi00.htm,Ray Malavasi,/coaches/MalaRa0.htm
42,1981,Los Angeles Rams,Malavasi,Cromwell,Haden,Tyler,Dennard,/teams/ram/,Pat Haden,/players/H/HadePa00.htm,Ray Malavasi,/coaches/MalaRa0.htm
