,season,team,coach,top_av_player,passer,rusher,receiver,franchise_code,passer_name,passer_url,coach_name,coach_url
0,2021,Miami Dolphins,Flores,Howard,Tagovailoa,Gaskin,Waddle,/teams/mia/,Tua Tagovailoa,/players/T/TagoTu00.htm,Brian Flores,/coaches/FlorBr0.htm
1,2020,Miami Dolphins,Flores,Howard,Fitzpatrick,Gaskin,Parker,/teams/mia/,Ryan Fitzpatrick,/players/F/FitzRy00.htm,Brian Flores,/coaches/FlorBr0.htm
2,2019,Miami Dolphins,Flores,Fitzpatrick,Fitzpatrick,Fitzpatrick,Parker,/teams/mia/,Ryan Fitzpatrick,/players/F/FitzRy00.htm,Brian Flores,/coaches/FlorBr0.htm
3,2018,Miami Dolphins,Gase,Howard,Tannehill,Gore,Amendola,/teams/mia/,Ryan Tannehill,/players/T/TannRy00.htm,Adam Gase,/coaches/GaseAd0.htm
4,2017,Miami Dolphins,Gase,Jones,Cutler,Drake,Landry,/teams/mia/,Jay Cutler,/players/C/CutlJa00.htm,Adam Gase,/coaches/GaseAd0.htm
5,2016,Miami Dolphins,Gase,Suh,Tannehill,Ajayi,Landry,/teams/mia/,Ryan Tannehill,/players/T/TannRy00.htm,Adam Gase,/coaches/GaseAd0.htm
6,2015,Miami Dolphins,"Campbell,Philbin",Tannehill,Tannehill,Miller,Landry,/teams/mia/,Ryan Tannehill,/players/T/TannRy00.htm,"Dan Campbell,Joe Philbin","/coaches/CampDa1.htm,/coaches/PhilJo0.htm"
7,2014,Miami Dolphins,Philbin,Tannehill,Tannehill,Miller,Wallace,/teams/mia/,Ryan Tannehill,/players/T/TannRy00.htm,Joe Philbin,/coaches/PhilJo0.htm
8,2013,Miami Dolphins,Philbin,Tannehill,Tannehill,Miller,Hartline,/teams/mia/,Ryan Tannehill,/players/T/TannRy00.htm,Joe Philbin,/coaches/PhilJo0.htm
9,2012,Miami Dolphins,Philbin,Wake,Tannehill,Bush,Hartline,/teams/mia/,Ryan Tannehill,/players/T/TannRy00.htm,Joe Philbin,/coaches/PhilJo0.htm
10,2011,Miami Dolphins,"Sparano,Bowles",Burnett,Moore,Bush,Marshall,/teams/mia/,Matt Moore,/players/M/MoorMa01.htm,"Tony Sparano,Todd Bowles","/coaches/SparTo0.htm,/coaches/BowlTo0.htm"
11,2010,Miami Dolphins,Sparano,Wake,Henne,Brown,Marshall,/teams/mia/,Chad Henne,/players/H/HennCh01.htm,Tony Sparano,/coaches/SparTo0.htm
12,2009,Miami Dolphins,Sparano,Long,Henne,Williams,Bess,/teams/mia/,Chad Henne,/players/H/HennCh01.htm,Tony Sparano,/coaches/SparTo0.htm
13,2008,Miami Dolphins,Sparano,Pennington,Pennington,Brown,Ginn,/teams/mia/,Chad Pennington,/players/P/PennCh01.htm,Tony Sparano,/coaches/SparTo0.htm
14,2007,Miami Dolphins,Cameron,Taylor,Lemon,Brown,Booker,/teams/mia/,Cleo Lemon,/players/L/LemoCl00.htm,Cam Cameron,/coaches/CameCa0.htm
15,2006,Miami Dolphins,Saban,Taylor,Harrington,Brown,Booker,/teams/mia/,Joey Harrington,/players/H/HarrJo00.htm,Nick Saban,/coaches/SabaNi0.htm
16,2005,Miami Dolphins,Saban,Thomas,Frerotte,Brown,Chambers,/teams/mia/,Gus Frerotte,/players/F/FrerGu00.htm,Nick Saban,/coaches/SabaNi0.htm
17,2004,Miami Dolphins,"Bates,Wannstedt",Taylor,Feeley,Morris,Chambers,/teams/mia/,A.J. Feeley,/players/F/FeelA.00.htm,"Jim Bates,Dave Wannstedt","/coaches/BateJi0.htm,/coaches/WannDa0.htm"
18,2003,Miami Dolphins,Wannstedt,Thomas,Fiedler,Williams,Chambers,/teams/mia/,Jay Fiedler,/players/F/FiedJa00.htm,Dave Wannstedt,/coaches/WannDa0.htm
19,2002,Miami Dolphins,Wannstedt,Williams,Fiedler,Williams,Chambers,/teams/mia/,Jay Fiedler,/players/F/FiedJa00.htm,Dave Wannstedt,/coaches/WannDa0.htm
20,2001,Miami Dolphins,Wannstedt,Taylor,Fiedler,Smith,Chambers,/teams/mia/,Jay Fiedler,/players/F/FiedJa00.htm,Dave Wannstedt,/coaches/WannDa0.htm
21,2000,Miami Dolphins,Wannstedt,Taylor,Fiedler,Smith,Gadsden,/teams/mia/,Jay Fiedler,/players/F/FiedJa00.htm,Dave Wannstedt,/coaches/WannDa0.htm
