,season,team,coach,top_av_player,passer,rusher,receiver,franchise_code,passer_name,passer_url,coach_name,coach_url
0,2021,New England Patriots,Belichick,Judon,Jones,Harris,Meyers,/teams/nwe/,Mac Jones,/players/J/JoneMa05.htm,Bill Belichick,/coaches/BeliBi0.htm
1,2020,New England Patriots,Belichick,Newton,Newton,Harris,Meyers,/teams/nwe/,Cam Newton,/players/N/NewtCa00.htm,Bill Belichick,/coaches/BeliBi0.htm
2,2019,New England Patriots,Belichick,Gilmore,Brady,Michel,Edelman,/teams/nwe/,Tom Brady,/players/B/BradTo00.htm,Bill Belichick,/coaches/BeliBi0.htm
3,2018,New England Patriots,Belichick,Gilmore,Brady,Michel,Edelman,/teams/nwe/,Tom Brady,/players/B/BradTo00.htm,Bill Belichick,/coaches/BeliBi0.htm
4,2017,New England Patriots,Belichick,Brady,Brady,Lewis,Gronkowski,/teams/nwe/,Tom Brady,/players/B/BradTo00.htm,Bill Belichick,/coaches/BeliBi0.htm
5,2016,New England Patriots,Belichick,Butler,Brady,Blount,Edelman,/teams/nwe/,Tom Brady,/players/B/BradTo00.htm,Bill Belichick,/coaches/BeliBi0.htm
6,2015,New England Patriots,Belichick,Brady,Brady,Blount,Gronkowski,/teams/nwe/,Tom Brady,/players/B/BradTo00.htm,Bill Belichick,/coaches/BeliBi0.htm
7,2014,New England Patriots,Belichick,Brady,Brady,Gray,Gronkowski,/teams/nwe/,Tom Brady,/players/B/BradTo00.htm,Bill Belichick,/coaches/BeliBi0.htm
8,2013,New England Patriots,Belichick,Mankins,Brady,Ridley,Edelman,/teams/nwe/,Tom Brady,/players/B/BradTo00.htm,Bill Belichick,/coaches/BeliBi0.htm
9,2012,New England Patriots,Belichick,Brady,Brady,Ridley,Welker,/teams/nwe/,Tom Brady,/players/B/BradTo00.htm,Bill Belichick,/coaches/BeliBi0.htm
10,2011,New England Patriots,Belichick,Brady,Brady,Green-Ellis,Welker,/teams/nwe/,Tom Brady,/players/B/BradTo00.htm,Bill Belichick,/coaches/BeliBi0.htm
11,2010,New England Patriots,Belichick,Vollmer,Brady,Green-Ellis,Welker,/teams/nwe/,Tom Brady,/players/B/BradTo00.htm,Bill Belichick,/coaches/BeliBi0.htm
12,2009,New England Patriots,Belichick,Brady,Brady,Maroney,Welker,/teams/nwe/,Tom Brady,/players/B/BradTo00.htm,Bill Belichick,/coaches/BeliBi0.htm
13,2008,New England Patriots,Belichick,Cassel,Cassel,Morris,Welker,/teams/nwe/,Matt Cassel,/players/C/CassMa00.htm,Bill Belichick,/coaches/BeliBi0.htm
14,2007,New England Patriots,Belichick,Brady,Brady,Maroney,Moss,/teams/nwe/,Tom Brady,/players/B/BradTo00.htm,Bill Belichick,/coaches/BeliBi0.htm
15,2006,New England Patriots,Belichick,Seymour,Brady,Dillon,Caldwell,/teams/nwe/,Tom Brady,/players/B/BradTo00.htm,Bill Belichick,/coaches/BeliBi0.htm
16,2005,New England Patriots,Belichick,Brady,Brady,Dillon,Branch,/teams/nwe/,Tom Brady,/players/B/BradTo00.htm,Bill Belichick,/coaches/BeliBi0.htm
17,2004,New England Patriots,Belichick,Brady,Brady,Dillon,Givens,/teams/nwe/,Tom Brady,/players/B/BradTo00.htm,Bill Belichick,/coaches/BeliBi0.htm
18,2003,New England Patriots,Belichick,Law,Brady,Smith,Branch,/teams/nwe/,Tom Brady,/players/B/BradTo00.htm,Bill Belichick,/coaches/BeliBi0.htm
19,2002,New England Patriots,Belichick,Brady,Brady,Smith,Brown,/teams/nwe/,Tom Brady,/players/B/BradTo00.htm,Bill Belichick,/coaches/BeliBi0.htm
20,2001,New England Patriots,Belichick,Brown,Brady,Smith,Brown,/teams/nwe/,Tom Brady,/players/B/BradTo00.htm,Bill Belichick,/coaches/BeliBi0.htm
21,2000,New England Patriots,Belichick,Bledsoe,Bledsoe,Faulk,Glenn,/teams/nwe/,Drew Bledsoe,/players/B/BledDr00.htm,Bill Belichick,/coaches/BeliBi0.htm
22,1999,New England Patriots,Carroll,Milloy,Bledsoe,Allen,Glenn,/teams/nwe/,Drew Bledsoe,/players/B/BledDr00.htm,Pete Carroll,/coaches/CarrPe0.htm
23,1998,New England Patriots,Carroll,Law,Bledsoe,Edwards,Glenn,/teams/nwe/,Drew Bledsoe,/players/B/BledDr00.htm,Pete Carroll,/coaches/CarrPe0.htm
24,1997,New England Patriots,Carroll,Bledsoe,Bledsoe,Martin,Jefferson,/teams/nwe/,Drew Bledsoe,/players/B/BledDr00.htm,Pete Carroll,/coaches/CarrPe0.htm
25,1996,New England Patriots,Parcells,Bledsoe,Bledsoe,Martin,Glenn,/teams/nwe/,Drew Bledsoe,/players/B/BledDr00.htm,Bill Parcells,/coaches/ParcBi0.htm
26,1995,New England Patriots,Parcells,Martin,Bledsoe,Martin,Brisby,/teams/nwe/,Drew Bledsoe,/players/B/BledDr00.htm,Bill Parcells,/coaches/ParcBi0.htm
27,1994,New England Patriots,Parcells,Bledsoe,Bledsoe,Butts,Coates,/teams/nwe/,Drew Bledsoe,/players/B/BledDr00.htm,Bill Parcells,/coaches/ParcBi0.htm
28,1993,New England Patriots,Parcells,Tippett,Bledsoe,Russell,Coates,/teams/nwe/,Drew Bledsoe,/players/B/BledDr00.htm,Bill Parcells,/coaches/ParcBi0.htm
