,season,team,coach,top_av_player,passer,rusher,receiver,franchise_code,passer_name,passer_url,coach_name,coach_url
0,2021,New Orleans Saints,Payton,Davis,Winston,Kamara,Callaway,/teams/nor/,Jameis Winston,/players/W/WinsJa00.htm,Sean Payton,/coaches/PaytSe0.htm
1,2020,New Orleans Saints,Payton,Ramczyk,Brees,Kamara,Kamara,/teams/nor/,Drew Brees,/players/B/BreeDr00.htm,Sean Payton,/coaches/PaytSe0.htm
2,2019,New Orleans Saints,Payton,Thomas,Brees,Kamara,Thomas,/teams/nor/,Drew Brees,/players/B/BreeDr00.htm,Sean Payton,/coaches/PaytSe0.htm
3,2018,New Orleans Saints,Payton,Brees,Brees,Kamara,Thomas,/teams/nor/,Drew Brees,/players/B/BreeDr00.htm,Sean Payton,/coaches/PaytSe0.htm
4,2017,New Orleans Saints,Payton,Jordan,Brees,Ingram,Thomas,/teams/nor/,Drew Brees,/players/B/BreeDr00.htm,Sean Payton,/coaches/PaytSe0.htm
5,2016,New Orleans Saints,Payton,Brees,Brees,Ingram,Cooks,/teams/nor/,Drew Brees,/players/B/BreeDr00.htm,Sean Payton,/coaches/PaytSe0.htm
6,2015,New Orleans Saints,Payton,Brees,Brees,Ingram,Cooks,/teams/nor/,Drew Brees,/players/B/BreeDr00.htm,Sean Payton,/coaches/PaytSe0.htm
7,2014,New Orleans Saints,Payton,Brees,Brees,Ingram,Stills,/teams/nor/,Drew Brees,/players/B/BreeDr00.htm,Sean Payton,/coaches/PaytSe0.htm
8,2013,New Orleans Saints,Payton,Brees,Brees,Thomas,Graham,/teams/nor/,Drew Brees,/players/B/BreeDr00.htm,Sean Payton,/coaches/PaytSe0.htm
9,2012,New Orleans Saints,"Vitt,Kromer",Evans,Brees,Ingram,Colston,/teams/nor/,Drew Brees,/players/B/BreeDr00.htm,"Joe Vitt,Aaron Kromer","/coaches/VittJo0.htm,/coaches/KromAa0.htm"
10,2011,New Orleans Saints,Payton,Brees,Brees,Sproles,Graham,/teams/nor/,Drew Brees,/players/B/BreeDr00.htm,Sean Payton,/coaches/PaytSe0.htm
11,2010,New Orleans Saints,Payton,Evans,Brees,Ivory,Colston,/teams/nor/,Drew Brees,/players/B/BreeDr00.htm,Sean Payton,/coaches/PaytSe0.htm
12,2009,New Orleans Saints,Payton,Evans,Brees,Thomas,Colston,/teams/nor/,Drew Brees,/players/B/BreeDr00.htm,Sean Payton,/coaches/PaytSe0.htm
13,2008,New Orleans Saints,Payton,Brees,Brees,Thomas,Moore,/teams/nor/,Drew Brees,/players/B/BreeDr00.htm,Sean Payton,/coaches/PaytSe0.htm
14,2007,New Orleans Saints,Payton,Brees,Brees,Bush,Colston,/teams/nor/,Drew Brees,/players/B/BreeDr00.htm,Sean Payton,/coaches/PaytSe0.htm
15,2006,New Orleans Saints,Payton,Brees,Brees,McAllister,Colston,/teams/nor/,Drew Brees,/players/B/BreeDr00.htm,Sean Payton,/coaches/PaytSe0.htm
16,2005,New Orleans Saints,Haslett,Brooks,Brooks,Smith,Stallworth,/teams/nor/,Aaron Brooks,/players/B/BrooAa00.htm,Jim Haslett,/coaches/HaslJi0.htm
17,2004,New Orleans Saints,Haslett,Brooks,Brooks,McAllister,Horn,/teams/nor/,Aaron Brooks,/players/B/BrooAa00.htm,Jim Haslett,/coaches/HaslJi0.htm
18,2003,New Orleans Saints,Haslett,McAllister,Brooks,McAllister,Horn,/teams/nor/,Aaron Brooks,/players/B/BrooAa00.htm,Jim Haslett,/coaches/HaslJi0.htm
19,2002,New Orleans Saints,Haslett,Brooks,Brooks,McAllister,Horn,/teams/nor/,Aaron Brooks,/players/B/BrooAa00.htm,Jim Haslett,/coaches/HaslJi0.htm
20,2001,New Orleans Saints,Haslett,Brooks,Brooks,Williams,Horn,/teams/nor/,Aaron Brooks,/players/B/BrooAa00.htm,Jim Haslett,/coaches/HaslJi0.htm
21,2000,New Orleans Saints,Haslett,Glover,Blake,Williams,Horn,/teams/nor/,Jeff Blake,/players/B/BlakJe00.htm,Jim Haslett,/coaches/HaslJi0.htm
22,1999,New Orleans Saints,Ditka,Roaf,Tolliver,Williams,Kennison,/teams/nor/,Billy Joe Tolliver,/players/T/TollBi00.htm,Mike Ditka,/coaches/DitkMi0.htm
23,1998,New Orleans Saints,Ditka,Glover,Tolliver,Smith,Dawkins,/teams/nor/,Billy Joe Tolliver,/players/T/TollBi00.htm,Mike Ditka,/coaches/DitkMi0.htm
24,1997,New Orleans Saints,Ditka,Tubbs,Shuler,Zellars,Hill,/teams/nor/,Heath Shuler,/players/S/ShulHe00.htm,Mike Ditka,/coaches/DitkMi0.htm
25,1996,New Orleans Saints,"Mora,Venturi",Martin,Everett,Bates,Haynes,/teams/nor/,Jim Everett,/players/E/EverJi00.htm,"Jim Mora,Rick Venturi","/coaches/MoraJi0.htm,/coaches/VentRi0.htm"
26,1995,New Orleans Saints,Mora,Roaf,Everett,Bates,Early,/teams/nor/,Jim Everett,/players/E/EverJi00.htm,Jim Mora,/coaches/MoraJi0.htm
27,1994,New Orleans Saints,Mora,Roaf,Everett,Bates,Haynes,/teams/nor/,Jim Everett,/players/E/EverJi00.htm,Jim Mora,/coaches/MoraJi0.htm
28,1993,New Orleans Saints,Mora,Turnbull,Wilson,Brown,Martin,/teams/nor/,Wade Wilson,/players/W/WilsWa00.htm,Jim Mora,/coaches/MoraJi0.htm
29,1992,New Orleans Saints,Mora,Swilling,Hebert,Dunbar,Martin,/teams/nor/,Bobby Hebert,/players/H/HebeBo00.htm,Jim Mora,/coaches/MoraJi0.htm
32,1991,New Orleans Saints,Mora,Swilling,Hebert,McAfee,Turner,/teams/nor/,Bobby Hebert,/players/H/HebeBo00.htm,Jim Mora,/coaches/MoraJi0.htm
33,1990,New Orleans Saints,Mora,Swilling,Walsh,Heyward,Martin,/teams/nor/,Steve Walsh,/players/W/WalsSt00.htm,Jim Mora,/coaches/MoraJi0.htm
34,1989,New Orleans Saints,Mora,Hilliard,Hebert,Hilliard,Martin,/teams/nor/,Bobby Hebert,/players/H/HebeBo00.htm,Jim Mora,/coaches/MoraJi0.htm
35,1988,New Orleans Saints,Mora,Mills,Hebert,Hilliard,Martin,/teams/nor/,Bobby Hebert,/players/H/HebeBo00.htm,Jim Mora,/coaches/MoraJi0.htm
36,1987,New Orleans Saints,Mora,Waymer,Hebert,Mayes,Martin,/teams/nor/,Bobby Hebert,/players/H/HebeBo00.htm,Jim Mora,/coaches/MoraJi0.htm
37,1986,New Orleans Saints,Mora,Jackson,Wilson,Mayes,Martin,/teams/nor/,Dave Wilson,/players/W/WilsDa00.htm,Jim Mora,/coaches/MoraJi0.htm
38,1985,New Orleans Saints,"Phillips,Phillips",Wilson,Wilson,Wilson,Brenner,/teams/nor/,Dave Wilson,/players/W/WilsDa00.htm,"Bum Phillips,Wade Phillips","/coaches/PhilBu0.htm,/coaches/PhilWa0.htm"
39,1984,New Orleans Saints,Phillips,Jackson,Todd,Rogers,Young,/teams/nor/,Richard Todd,/players/T/ToddRi00.htm,Bum Phillips,/coaches/PhilBu0.htm
40,1983,New Orleans Saints,Phillips,Jackson,Stabler,Rogers,Groth,/teams/nor/,Ken Stabler,/players/S/StabKe00.htm,Bum Phillips,/coaches/PhilBu0.htm
41,1982,New Orleans Saints,Phillips,Winston,Stabler,Rogers,Groth,/teams/nor/,Ken Stabler,/players/S/StabKe00.htm,Bum Phillips,/coaches/PhilBu0.htm
42,1981,New Orleans Saints,Phillips,Rogers,Manning,Rogers,Merkens,/teams/nor/,Archie Manning,/players/M/MannAr00.htm,Bum Phillips,/coaches/PhilBu0.htm
43,1980,New Orleans Saints,"Stanfel,Nolan",Manning,Manning,Rogers,Chandler,/teams/nor/,Archie Manning,/players/M/MannAr00.htm,"Dick Stanfel,Dick Nolan","/coaches/StanDi0.htm,/coaches/NolaDi0.htm"
44,1979,New Orleans Saints,Nolan,Manning,Manning,Muncie,Chandler,/teams/nor/,Archie Manning,/players/M/MannAr00.htm,Dick Nolan,/coaches/NolaDi0.htm
45,1978,New Orleans Saints,Nolan,Manning,Manning,Galbreath,Childs,/teams/nor/,Archie Manning,/players/M/MannAr00.htm,Dick Nolan,/coaches/NolaDi0.htm
46,1977,New Orleans Saints,Stram,Muncie,Manning,Muncie,Childs,/teams/nor/,Archie Manning,/players/M/MannAr00.htm,Hank Stram,/coaches/StraHa0.htm
47,1976,New Orleans Saints,Stram,Galbreath,Douglass,Muncie,Herrmann,/teams/nor/,Bobby Douglass,/players/D/DougBo00.htm,Hank Stram,/coaches/StraHa0.htm
48,1975,New Orleans Saints,"North,Hefferle",Pollard,Manning,Strachan,Seal,/teams/nor/,Archie Manning,/players/M/MannAr00.htm,"John North,Ernie Hefferle","/coaches/NortJo0.htm,/coaches/HeffEr0.htm"
49,1974,New Orleans Saints,North,Newsome,Manning,Maxson,Newland,/teams/nor/,Archie Manning,/players/M/MannAr00.htm,John North,/coaches/NortJo0.htm
50,1973,New Orleans Saints,North,Manning,Manning,Phillips,Newland,/teams/nor/,Archie Manning,/players/M/MannAr00.htm,John North,/coaches/NortJo0.htm
51,1972,New Orleans Saints,Roberts,Manning,Manning,Gresham,Abramowicz,/teams/nor/,Archie Manning,/players/M/MannAr00.htm,J.D. Roberts,/coaches/RobeJ.0.htm
52,1971,New Orleans Saints,Roberts,Abramowicz,Hargett,Strong,Abramowicz,/teams/nor/,Edd Hargett,/players/H/HargEd00.htm,J.D. Roberts,/coaches/RobeJ.0.htm
53,1970,New Orleans Saints,"Roberts,Fears",Abramowicz,Kilmer,Baker,Abramowicz,/teams/nor/,Billy Kilmer,/players/K/KilmBi00.htm,"J.D. Roberts,Tom Fears","/coaches/RobeJ.0.htm,/coaches/FearTo0.htm"
54,1969,New Orleans Saints,Fears,Abramowicz,Kilmer,Livingston,Abramowicz,/teams/nor/,Billy Kilmer,/players/K/KilmBi00.htm,Tom Fears,/coaches/FearTo0.htm
55,1968,New Orleans Saints,Fears,Atkins,Kilmer,McCall,Abramowicz,/teams/nor/,Billy Kilmer,/players/K/KilmBi00.htm,Tom Fears,/coaches/FearTo0.htm
56,1967,New Orleans Saints,Fears,Whitsell,Cuozzo,Taylor,Abramowicz,/teams/nor/,Gary Cuozzo,/players/C/CuozGa00.htm,Tom Fears,/coaches/FearTo0.htm
