,season,team,coach,top_av_player,passer,rusher,receiver,franchise_code,passer_name,passer_url,coach_name,coach_url
0,2021,New York Giants,Judge,Williams,Jones,Barkley,Golladay,/teams/nyg/,Daniel Jones,/players/J/JoneDa05.htm,Joe Judge,/coaches/JudgJo0.htm
1,2020,New York Giants,Judge,Bradberry,Jones,Gallman,Slayton,/teams/nyg/,Daniel Jones,/players/J/JoneDa05.htm,Joe Judge,/coaches/JudgJo0.htm
2,2019,New York Giants,Shurmur,Barkley,Jones,Barkley,Slayton,/teams/nyg/,Daniel Jones,/players/J/JoneDa05.htm,Pat Shurmur,/coaches/ShurPa0.htm
3,2018,New York Giants,Shurmur,Barkley,Manning,Barkley,Beckham,/teams/nyg/,Eli Manning,/players/M/MannEl00.htm,Pat Shurmur,/coaches/ShurPa0.htm
4,2017,New York Giants,"McAdoo,Spagnuolo",Collins,Manning,Darkwa,Shepard,/teams/nyg/,Eli Manning,/players/M/MannEl00.htm,"Ben McAdoo,Steve Spagnuolo","/coaches/McAdBe0.htm,/coaches/SpagSt0.htm"
5,2016,New York Giants,McAdoo,Harrison,Manning,Jennings,Beckham,/teams/nyg/,Eli Manning,/players/M/MannEl00.htm,Ben McAdoo,/coaches/McAdBe0.htm
6,2015,New York Giants,Coughlin,Manning,Manning,Jennings,Beckham,/teams/nyg/,Eli Manning,/players/M/MannEl00.htm,Tom Coughlin,/coaches/CougTo0.htm
7,2014,New York Giants,Coughlin,Manning,Manning,Williams,Beckham,/teams/nyg/,Eli Manning,/players/M/MannEl00.htm,Tom Coughlin,/coaches/CougTo0.htm
8,2013,New York Giants,Coughlin,Rolle,Manning,Brown,Cruz,/teams/nyg/,Eli Manning,/players/M/MannEl00.htm,Tom Coughlin,/coaches/CougTo0.htm
9,2012,New York Giants,Coughlin,Manning,Manning,Bradshaw,Cruz,/teams/nyg/,Eli Manning,/players/M/MannEl00.htm,Tom Coughlin,/coaches/CougTo0.htm
10,2011,New York Giants,Coughlin,Manning,Manning,Bradshaw,Cruz,/teams/nyg/,Eli Manning,/players/M/MannEl00.htm,Tom Coughlin,/coaches/CougTo0.htm
11,2010,New York Giants,Coughlin,Tuck,Manning,Bradshaw,Nicks,/teams/nyg/,Eli Manning,/players/M/MannEl00.htm,Tom Coughlin,/coaches/CougTo0.htm
12,2009,New York Giants,Coughlin,Manning,Manning,Jacobs,Smith,/teams/nyg/,Eli Manning,/players/M/MannEl00.htm,Tom Coughlin,/coaches/CougTo0.htm
