,season,team,coach,top_av_player,passer,rusher,receiver,franchise_code,passer_name,passer_url,coach_name,coach_url
0,2021,New York Jets,Saleh,Moses,Wilson,Carter,Moore,/teams/nyj/,Zach Wilson,/players/W/WilsZa00.htm,Robert Saleh,/coaches/SaleRo0.htm
1,2020,New York Jets,Gase,Hewitt,Darnold,Gore,Crowder,/teams/nyj/,Sam Darnold,/players/D/DarnSa00.htm,Adam Gase,/coaches/GaseAd0.htm
2,2019,New York Jets,Gase,Adams,Darnold,Bell,Crowder,/teams/nyj/,Sam Darnold,/players/D/DarnSa00.htm,Adam Gase,/coaches/GaseAd0.htm
3,2018,New York Jets,Bowles,Adams,Darnold,Crowell,Anderson,/teams/nyj/,Sam Darnold,/players/D/DarnSa00.htm,Todd Bowles,/coaches/BowlTo0.htm
4,2017,New York Jets,Bowles,McCown,McCown,Powell,Anderson,/teams/nyj/,Josh McCown,/players/M/McCoJo01.htm,Todd Bowles,/coaches/BowlTo0.htm
5,2016,New York Jets,Bowles,Williams,Fitzpatrick,Forte,Enunwa,/teams/nyj/,Ryan Fitzpatrick,/players/F/FitzRy00.htm,Todd Bowles,/coaches/BowlTo0.htm
6,2015,New York Jets,Bowles,Wilkerson,Fitzpatrick,Ivory,Marshall,/teams/nyj/,Ryan Fitzpatrick,/players/F/FitzRy00.htm,Todd Bowles,/coaches/BowlTo0.htm
7,2014,New York Jets,Ryan,Richardson,Smith,Ivory,Decker,/teams/nyj/,Geno Smith,/players/S/SmitGe00.htm,Rex Ryan,/coaches/RyanRe0.htm
8,2013,New York Jets,Ryan,Wilkerson,Smith,Ivory,Kerley,/teams/nyj/,Geno Smith,/players/S/SmitGe00.htm,Rex Ryan,/coaches/RyanRe0.htm
9,2012,New York Jets,Ryan,DeVito,Sanchez,Greene,Kerley,/teams/nyj/,Mark Sanchez,/players/S/SancMa00.htm,Rex Ryan,/coaches/RyanRe0.htm
10,2011,New York Jets,Ryan,Revis,Sanchez,Greene,Keller,/teams/nyj/,Mark Sanchez,/players/S/SancMa00.htm,Rex Ryan,/coaches/RyanRe0.htm
11,2010,New York Jets,Ryan,Revis,Sanchez,Tomlinson,Edwards,/teams/nyj/,Mark Sanchez,/players/S/SancMa00.htm,Rex Ryan,/coaches/RyanRe0.htm
12,2009,New York Jets,Ryan,Revis,Sanchez,Jones,Cotchery,/teams/nyj/,Mark Sanchez,/players/S/SancMa00.htm,Rex Ryan,/coaches/RyanRe0.htm
13,2008,New York Jets,Mangini,Jones,Favre,Jones,Cotchery,/teams/nyj/,Brett Favre,/players/F/FavrBr00.htm,Eric Mangini,/coaches/MangEr0.htm
14,2007,New York Jets,Mangini,Cotchery,Pennington,Jones,Cotchery,/teams/nyj/,Chad Pennington,/players/P/PennCh01.htm,Eric Mangini,/coaches/MangEr0.htm
15,2006,New York Jets,Mangini,Pennington,Pennington,Washington,Coles,/teams/nyj/,Chad Pennington,/players/P/PennCh01.htm,Eric Mangini,/coaches/MangEr0.htm
16,2005,New York Jets,Edwards,Law,Bollinger,Martin,Coles,/teams/nyj/,Brooks Bollinger,/players/B/BollBr00.htm,Herm Edwards,/coaches/EdwaHe0.htm
17,2004,New York Jets,Edwards,Martin,Pennington,Martin,Moss,/teams/nyj/,Chad Pennington,/players/P/PennCh01.htm,Herm Edwards,/coaches/EdwaHe0.htm
18,2003,New York Jets,Edwards,Martin,Pennington,Martin,Moss,/teams/nyj/,Chad Pennington,/players/P/PennCh01.htm,Herm Edwards,/coaches/EdwaHe0.htm
19,2002,New York Jets,Edwards,Mawae,Pennington,Martin,Coles,/teams/nyj/,Chad Pennington,/players/P/PennCh01.htm,Herm Edwards,/coaches/EdwaHe0.htm
20,2001,New York Jets,Edwards,Abraham,Testaverde,Martin,Coles,/teams/nyj/,Vinny Testaverde,/players/T/TestVi00.htm,Herm Edwards,/coaches/EdwaHe0.htm
21,2000,New York Jets,Groh,Lewis,Testaverde,Martin,Chrebet,/teams/nyj/,Vinny Testaverde,/players/T/TestVi00.htm,Al Groh,/coaches/GrohAl0.htm
22,1999,New York Jets,Parcells,Martin,Lucas,Martin,Johnson,/teams/nyj/,Ray Lucas,/players/L/LucaRa00.htm,Bill Parcells,/coaches/ParcBi0.htm
23,1998,New York Jets,Parcells,Lewis,Testaverde,Martin,Johnson,/teams/nyj/,Vinny Testaverde,/players/T/TestVi00.htm,Bill Parcells,/coaches/ParcBi0.htm
24,1997,New York Jets,Parcells,Glenn,O'Donnell,Murrell,Johnson,/teams/nyj/,Neil O'Donnell,/players/O/ODonNe00.htm,Bill Parcells,/coaches/ParcBi0.htm
25,1996,New York Jets,Kotite,Murrell,Reich,Murrell,Chrebet,/teams/nyj/,Frank Reich,/players/R/ReicFr00.htm,Rich Kotite,/coaches/KotiRi0.htm
26,1995,New York Jets,Kotite,Lewis,Esiason,Murrell,Chrebet,/teams/nyj/,Boomer Esiason,/players/E/EsiaBo00.htm,Rich Kotite,/coaches/KotiRi0.htm
27,1994,New York Jets,Carroll,Johnson,Esiason,Johnson,Moore,/teams/nyj/,Boomer Esiason,/players/E/EsiaBo00.htm,Pete Carroll,/coaches/CarrPe0.htm
28,1993,New York Jets,Coslet,Johnson,Esiason,Johnson,Moore,/teams/nyj/,Boomer Esiason,/players/E/EsiaBo00.htm,Bruce Coslet,/coaches/CoslBr0.htm
29,1992,New York Jets,Coslet,Lewis,Nagle,Baxter,Moore,/teams/nyj/,Browning Nagle,/players/N/NaglBr00.htm,Bruce Coslet,/coaches/CoslBr0.htm
32,1991,New York Jets,Coslet,O'Brien,O'Brien,Thomas,Moore,/teams/nyj/,Ken O'Brien,/players/O/OBriKe00.htm,Bruce Coslet,/coaches/CoslBr0.htm
33,1990,New York Jets,Coslet,O'Brien,O'Brien,Thomas,Toon,/teams/nyj/,Ken O'Brien,/players/O/OBriKe00.htm,Bruce Coslet,/coaches/CoslBr0.htm
34,1989,New York Jets,Walton,McMillan,O'Brien,Hector,Townsell,/teams/nyj/,Ken O'Brien,/players/O/OBriKe00.htm,Joe Walton,/coaches/WaltJo0.htm
35,1988,New York Jets,Walton,McNeil,O'Brien,McNeil,Toon,/teams/nyj/,Ken O'Brien,/players/O/OBriKe00.htm,Joe Walton,/coaches/WaltJo0.htm
36,1987,New York Jets,Walton,O'Brien,O'Brien,McNeil,Toon,/teams/nyj/,Ken O'Brien,/players/O/OBriKe00.htm,Joe Walton,/coaches/WaltJo0.htm
37,1986,New York Jets,Walton,O'Brien,O'Brien,McNeil,Toon,/teams/nyj/,Ken O'Brien,/players/O/OBriKe00.htm,Joe Walton,/coaches/WaltJo0.htm
38,1985,New York Jets,Walton,Klecko,O'Brien,McNeil,Shuler,/teams/nyj/,Ken O'Brien,/players/O/OBriKe00.htm,Joe Walton,/coaches/WaltJo0.htm
39,1984,New York Jets,Walton,Gastineau,Ryan,McNeil,Shuler,/teams/nyj/,Pat Ryan,/players/R/RyanPa00.htm,Joe Walton,/coaches/WaltJo0.htm
40,1983,New York Jets,Walton,Gastineau,Todd,McNeil,Walker,/teams/nyj/,Richard Todd,/players/T/ToddRi00.htm,Joe Walton,/coaches/WaltJo0.htm
41,1982,New York Jets,Michaels,Gastineau,Todd,McNeil,Walker,/teams/nyj/,Richard Todd,/players/T/ToddRi00.htm,Walt Michaels,/coaches/MichWa0.htm
42,1981,New York Jets,Michaels,Klecko,Todd,McNeil,Walker,/teams/nyj/,Richard Todd,/players/T/ToddRi00.htm,Walt Michaels,/coaches/MichWa0.htm
43,1980,New York Jets,Michaels,Todd,Todd,Dierking,Harper,/teams/nyj/,Richard Todd,/players/T/ToddRi00.htm,Walt Michaels,/coaches/MichWa0.htm
44,1979,New York Jets,Michaels,Powell,Todd,Gaines,Walker,/teams/nyj/,Richard Todd,/players/T/ToddRi00.htm,Walt Michaels,/coaches/MichWa0.htm
45,1978,New York Jets,Michaels,Walker,Robinson,Long,Walker,/teams/nyj/,Matt Robinson,/players/R/RobiMa01.htm,Walt Michaels,/coaches/MichWa0.htm
46,1977,New York Jets,Michaels,Gaines,Todd,Gaines,Walker,/teams/nyj/,Richard Todd,/players/T/ToddRi00.htm,Walt Michaels,/coaches/MichWa0.htm
47,1976,New York Jets,"Holtz,Holovak",Gaines,Namath,Gaines,Knight,/teams/nyj/,Joe Namath,/players/N/NamaJo00.htm,"Lou Holtz,Mike Holovak","/coaches/HoltLo0.htm,/coaches/HoloMi0.htm"
48,1975,New York Jets,"Winner,Shipp",Riggins,Namath,Riggins,Caster,/teams/nyj/,Joe Namath,/players/N/NamaJo00.htm,"Charley Winner,Ken Shipp","/coaches/WinnCh0.htm,/coaches/ShipKe0.htm"
49,1974,New York Jets,Winner,Namath,Namath,Riggins,Caster,/teams/nyj/,Joe Namath,/players/N/NamaJo00.htm,Charley Winner,/coaches/WinnCh0.htm
50,1973,New York Jets,Ewbank,Baker,Woodall,Boozer,Barkum,/teams/nyj/,Al Woodall,/players/W/WoodAl00.htm,Weeb Ewbank,/coaches/EwbaWe0.htm
51,1972,New York Jets,Ewbank,Namath,Namath,Riggins,Caster,/teams/nyj/,Joe Namath,/players/N/NamaJo00.htm,Weeb Ewbank,/coaches/EwbaWe0.htm
52,1971,New York Jets,Ewbank,Riggins,Davis,Riggins,Caster,/teams/nyj/,Bob Davis,/players/D/DaviBo00.htm,Weeb Ewbank,/coaches/EwbaWe0.htm
53,1970,New York Jets,Ewbank,Elliott,Woodall,Boozer,Maynard,/teams/nyj/,Al Woodall,/players/W/WoodAl00.htm,Weeb Ewbank,/coaches/EwbaWe0.htm
54,1969,New York Jets,Ewbank,Namath,Namath,Snell,Maynard,/teams/nyj/,Joe Namath,/players/N/NamaJo00.htm,Weeb Ewbank,/coaches/EwbaWe0.htm
55,1968,New York Jets,Ewbank,Maynard,Namath,Snell,Maynard,/teams/nyj/,Joe Namath,/players/N/NamaJo00.htm,Weeb Ewbank,/coaches/EwbaWe0.htm
56,1967,New York Jets,Ewbank,Namath,Namath,Boozer,Maynard,/teams/nyj/,Joe Namath,/players/N/NamaJo00.htm,Weeb Ewbank,/coaches/EwbaWe0.htm
57,1966,New York Jets,Ewbank,Namath,Namath,Snell,Sauer,/teams/nyj/,Joe Namath,/players/N/NamaJo00.htm,Weeb Ewbank,/coaches/EwbaWe0.htm
58,1965,New York Jets,Ewbank,Paulson,Namath,Snell,Maynard,/teams/nyj/,Joe Namath,/players/N/NamaJo00.htm,Weeb Ewbank,/coaches/EwbaWe0.htm
59,1964,New York Jets,Ewbank,Grantham,Wood,Snell,Turner,/teams/nyj/,Dick Wood,/players/W/WoodDi00.htm,Weeb Ewbank,/coaches/EwbaWe0.htm
60,1963,New York Jets,Ewbank,Turner,Wood,Smolinski,Turner,/teams/nyj/,Dick Wood,/players/W/WoodDi00.htm,Weeb Ewbank,/coaches/EwbaWe0.htm
61,1962,New York Titans,Turner,Grantham,Green,Christy,Powell,/teams/nyj/,Johnny Green,/players/G/GreeJo00.htm,Bulldog Turner,/coaches/TurnCl0.htm
64,1961,New York Titans,Baugh,Dorow,Dorow,Mathis,Powell,/teams/nyj/,Al Dorow,/players/D/DoroAl00.htm,Sammy Baugh,/coaches/BaugSa0.htm
65,1960,New York Titans,Baugh,Dorow,Dorow,Dorow,Maynard,/teams/nyj/,Al Dorow,/players/D/DoroAl00.htm,Sammy Baugh,/coaches/BaugSa0.htm
