,season,team,coach,top_av_player,passer,rusher,receiver,franchise_code,passer_name,passer_url,coach_name,coach_url
0,2021,Philadelphia Eagles,Sirianni,Hurts,Hurts,Hurts,Smith,/teams/phi/,Jalen Hurts,/players/H/HurtJa00.htm,Nick Sirianni,/coaches/SiriNi0.htm
1,2020,Philadelphia Eagles,Pederson,Cox,Wentz,Sanders,Fulgham,/teams/phi/,Carson Wentz,/players/W/WentCa00.htm,Doug Pederson,/coaches/PedeDo0.htm
2,2019,Philadelphia Eagles,Pederson,Kelce,Wentz,Sanders,Ertz,/teams/phi/,Carson Wentz,/players/W/WentCa00.htm,Doug Pederson,/coaches/PedeDo0.htm
3,2018,Philadelphia Eagles,Pederson,Cox,Wentz,Adams,Ertz,/teams/phi/,Carson Wentz,/players/W/WentCa00.htm,Doug Pederson,/coaches/PedeDo0.htm
4,2017,Philadelphia Eagles,Pederson,Kelce,Wentz,Blount,Ertz,/teams/phi/,Carson Wentz,/players/W/WentCa00.htm,Doug Pederson,/coaches/PedeDo0.htm
5,2016,Philadelphia Eagles,Pederson,Graham,Wentz,Mathews,Ertz,/teams/phi/,Carson Wentz,/players/W/WentCa00.htm,Doug Pederson,/coaches/PedeDo0.htm
6,2015,Philadelphia Eagles,"Kelly,Shurmur",Cox,Bradford,Murray,Matthews,/teams/phi/,Sam Bradford,/players/B/BradSa00.htm,"Chip Kelly,Pat Shurmur","/coaches/KellCh0.htm,/coaches/ShurPa0.htm"
7,2014,Philadelphia Eagles,Kelly,Cox,Sanchez,McCoy,Maclin,/teams/phi/,Mark Sanchez,/players/S/SancMa00.htm,Chip Kelly,/coaches/KellCh0.htm
8,2013,Philadelphia Eagles,Kelly,McCoy,Foles,McCoy,Jackson,/teams/phi/,Nick Foles,/players/F/FoleNi00.htm,Chip Kelly,/coaches/KellCh0.htm
9,2012,Philadelphia Eagles,Reid,Vick,Vick,McCoy,Maclin,/teams/phi/,Michael Vick,/players/V/VickMi00.htm,Andy Reid,/coaches/ReidAn0.htm
10,2011,Philadelphia Eagles,Reid,Babin,Vick,McCoy,Jackson,/teams/phi/,Michael Vick,/players/V/VickMi00.htm,Andy Reid,/coaches/ReidAn0.htm
11,2010,Philadelphia Eagles,Reid,Vick,Vick,McCoy,Jackson,/teams/phi/,Michael Vick,/players/V/VickMi00.htm,Andy Reid,/coaches/ReidAn0.htm
12,2009,Philadelphia Eagles,Reid,Jackson,McNabb,McCoy,Jackson,/teams/phi/,Donovan McNabb,/players/M/McNaDo00.htm,Andy Reid,/coaches/ReidAn0.htm
13,2008,Philadelphia Eagles,Reid,Mikell,McNabb,Westbrook,Jackson,/teams/phi/,Donovan McNabb,/players/M/McNaDo00.htm,Andy Reid,/coaches/ReidAn0.htm
14,2007,Philadelphia Eagles,Reid,Westbrook,McNabb,Westbrook,Curtis,/teams/phi/,Donovan McNabb,/players/M/McNaDo00.htm,Andy Reid,/coaches/ReidAn0.htm
15,2006,Philadelphia Eagles,Reid,Andrews,McNabb,Westbrook,Brown,/teams/phi/,Donovan McNabb,/players/M/McNaDo00.htm,Andy Reid,/coaches/ReidAn0.htm
16,2005,Philadelphia Eagles,Reid,Trotter,McNabb,Westbrook,Owens,/teams/phi/,Donovan McNabb,/players/M/McNaDo00.htm,Andy Reid,/coaches/ReidAn0.htm
17,2004,Philadelphia Eagles,Reid,Sheppard,McNabb,Westbrook,Owens,/teams/phi/,Donovan McNabb,/players/M/McNaDo00.htm,Andy Reid,/coaches/ReidAn0.htm
18,2003,Philadelphia Eagles,Reid,McNabb,McNabb,Westbrook,Pinkston,/teams/phi/,Donovan McNabb,/players/M/McNaDo00.htm,Andy Reid,/coaches/ReidAn0.htm
19,2002,Philadelphia Eagles,Reid,Vincent,McNabb,Staley,Pinkston,/teams/phi/,Donovan McNabb,/players/M/McNaDo00.htm,Andy Reid,/coaches/ReidAn0.htm
20,2001,Philadelphia Eagles,Reid,Trotter,McNabb,Staley,Thrash,/teams/phi/,Donovan McNabb,/players/M/McNaDo00.htm,Andy Reid,/coaches/ReidAn0.htm
