,season,team,coach,top_av_player,passer,rusher,receiver,franchise_code,passer_name,passer_url,coach_name,coach_url
0,2021,Pittsburgh Steelers,Tomlin,Heyward,Roethlisberger,Harris,Johnson,/teams/pit/,Ben Roethlisberger,/players/R/RoetBe00.htm,Mike Tomlin,/coaches/TomlMi0.htm
1,2020,Pittsburgh Steelers,Tomlin,Watt,Roethlisberger,Conner,Johnson,/teams/pit/,Ben Roethlisberger,/players/R/RoetBe00.htm,Mike Tomlin,/coaches/TomlMi0.htm
2,2019,Pittsburgh Steelers,Tomlin,Heyward,Rudolph,Conner,Washington,/teams/pit/,Mason Rudolph,/players/R/RudoMa00.htm,Mike Tomlin,/coaches/TomlMi0.htm
3,2018,Pittsburgh Steelers,Tomlin,Roethlisberger,Roethlisberger,Conner,Smith-Schuster,/teams/pit/,Ben Roethlisberger,/players/R/RoetBe00.htm,Mike Tomlin,/coaches/TomlMi0.htm
4,2017,Pittsburgh Steelers,Tomlin,Heyward,Roethlisberger,Bell,Brown,/teams/pit/,Ben Roethlisberger,/players/R/RoetBe00.htm,Mike Tomlin,/coaches/TomlMi0.htm
5,2016,Pittsburgh Steelers,Tomlin,Bell,Roethlisberger,Bell,Brown,/teams/pit/,Ben Roethlisberger,/players/R/RoetBe00.htm,Mike Tomlin,/coaches/TomlMi0.htm
6,2015,Pittsburgh Steelers,Tomlin,Brown,Roethlisberger,Williams,Brown,/teams/pit/,Ben Roethlisberger,/players/R/RoetBe00.htm,Mike Tomlin,/coaches/TomlMi0.htm
7,2014,Pittsburgh Steelers,Tomlin,Bell,Roethlisberger,Bell,Brown,/teams/pit/,Ben Roethlisberger,/players/R/RoetBe00.htm,Mike Tomlin,/coaches/TomlMi0.htm
8,2013,Pittsburgh Steelers,Tomlin,Brown,Roethlisberger,Bell,Brown,/teams/pit/,Ben Roethlisberger,/players/R/RoetBe00.htm,Mike Tomlin,/coaches/TomlMi0.htm
9,2012,Pittsburgh Steelers,Tomlin,Pouncey,Roethlisberger,Dwyer,Wallace,/teams/pit/,Ben Roethlisberger,/players/R/RoetBe00.htm,Mike Tomlin,/coaches/TomlMi0.htm
10,2011,Pittsburgh Steelers,Tomlin,Polamalu,Roethlisberger,Mendenhall,Wallace,/teams/pit/,Ben Roethlisberger,/players/R/RoetBe00.htm,Mike Tomlin,/coaches/TomlMi0.htm
11,2010,Pittsburgh Steelers,Tomlin,Harrison,Roethlisberger,Mendenhall,Wallace,/teams/pit/,Ben Roethlisberger,/players/R/RoetBe00.htm,Mike Tomlin,/coaches/TomlMi0.htm
12,2009,Pittsburgh Steelers,Tomlin,Woodley,Roethlisberger,Mendenhall,Holmes,/teams/pit/,Ben Roethlisberger,/players/R/RoetBe00.htm,Mike Tomlin,/coaches/TomlMi0.htm
