,season,team,coach,top_av_player,passer,rusher,receiver,franchise_code,passer_name,passer_url,coach_name,coach_url
0,2021,San Francisco 49ers,Shanahan,Williams,Garoppolo,Mitchell,Samuel,/teams/sfo/,Jimmy Garoppolo,/players/G/GaroJi00.htm,Kyle Shanahan,/coaches/ShanKy0.htm
1,2020,San Francisco 49ers,Shanahan,Warner,Mullens,Wilson,Aiyuk,/teams/sfo/,Nick Mullens,/players/M/MullNi00.htm,Kyle Shanahan,/coaches/ShanKy0.htm
2,2019,San Francisco 49ers,Shanahan,Buckner,Garoppolo,Mostert,Kittle,/teams/sfo/,Jimmy Garoppolo,/players/G/GaroJi00.htm,Kyle Shanahan,/coaches/ShanKy0.htm
3,2018,San Francisco 49ers,Shanahan,Kittle,Mullens,Breida,Kittle,/teams/sfo/,Nick Mullens,/players/M/MullNi00.htm,Kyle Shanahan,/coaches/ShanKy0.htm
4,2017,San Francisco 49ers,Shanahan,Staley,Garoppolo,Hyde,Goodwin,/teams/sfo/,Jimmy Garoppolo,/players/G/GaroJi00.htm,Kyle Shanahan,/coaches/ShanKy0.htm
5,2016,San Francisco 49ers,Kelly,Kaepernick,Kaepernick,Hyde,Kerley,/teams/sfo/,Colin Kaepernick,/players/K/KaepCo00.htm,Chip Kelly,/coaches/KellCh0.htm
6,2015,San Francisco 49ers,Tomsula,Bowman,Gabbert,Hyde,Boldin,/teams/sfo/,Blaine Gabbert,/players/G/GabbBl00.htm,Jim Tomsula,/coaches/TomsJi0.htm
7,2014,San Francisco 49ers,Harbaugh,Kaepernick,Kaepernick,Gore,Boldin,/teams/sfo/,Colin Kaepernick,/players/K/KaepCo00.htm,Jim Harbaugh,/coaches/HarbJi0.htm
8,2013,San Francisco 49ers,Harbaugh,Bowman,Kaepernick,Gore,Boldin,/teams/sfo/,Colin Kaepernick,/players/K/KaepCo00.htm,Jim Harbaugh,/coaches/HarbJi0.htm
9,2012,San Francisco 49ers,Harbaugh,Bowman,Kaepernick,Gore,Crabtree,/teams/sfo/,Colin Kaepernick,/players/K/KaepCo00.htm,Jim Harbaugh,/coaches/HarbJi0.htm
10,2011,San Francisco 49ers,Harbaugh,Bowman,Smith,Gore,Crabtree,/teams/sfo/,Alex Smith,/players/S/SmitAl03.htm,Jim Harbaugh,/coaches/HarbJi0.htm
11,2010,San Francisco 49ers,"Singletary,Tomsula",Willis,Smith,Gore,Davis,/teams/sfo/,Alex Smith,/players/S/SmitAl03.htm,"Mike Singletary,Jim Tomsula","/coaches/SingMi0.htm,/coaches/TomsJi0.htm"
12,2009,San Francisco 49ers,Singletary,Willis,Smith,Gore,Davis,/teams/sfo/,Alex Smith,/players/S/SmitAl03.htm,Mike Singletary,/coaches/SingMi0.htm
13,2008,San Francisco 49ers,"Singletary,Nolan",Willis,Hill,Gore,Bruce,/teams/sfo/,Shaun Hill,/players/H/HillSh00.htm,"Mike Singletary,Mike Nolan","/coaches/SingMi0.htm,/coaches/NolaMi0.htm"
14,2007,San Francisco 49ers,Nolan,Willis,Dilfer,Gore,Battle,/teams/sfo/,Trent Dilfer,/players/D/DilfTr00.htm,Mike Nolan,/coaches/NolaMi0.htm
15,2006,San Francisco 49ers,Nolan,Gore,Smith,Gore,Bryant,/teams/sfo/,Alex Smith,/players/S/SmitAl03.htm,Mike Nolan,/coaches/NolaMi0.htm
16,2005,San Francisco 49ers,Nolan,Smith,Smith,Gore,Lloyd,/teams/sfo/,Alex Smith,/players/S/SmitAl03.htm,Mike Nolan,/coaches/NolaMi0.htm
17,2004,San Francisco 49ers,Erickson,Young,Rattay,Barlow,Johnson,/teams/sfo/,Tim Rattay,/players/R/RattTi00.htm,Dennis Erickson,/coaches/EricDe0.htm
18,2003,San Francisco 49ers,Erickson,Peterson,Garcia,Barlow,Owens,/teams/sfo/,Jeff Garcia,/players/G/GarcJe00.htm,Dennis Erickson,/coaches/EricDe0.htm
19,2002,San Francisco 49ers,Mariucci,Owens,Garcia,Hearst,Owens,/teams/sfo/,Jeff Garcia,/players/G/GarcJe00.htm,Steve Mariucci,/coaches/MariSt0.htm
20,2001,San Francisco 49ers,Mariucci,Owens,Garcia,Hearst,Owens,/teams/sfo/,Jeff Garcia,/players/G/GarcJe00.htm,Steve Mariucci,/coaches/MariSt0.htm
21,2000,San Francisco 49ers,Mariucci,Garcia,Garcia,Garner,Owens,/teams/sfo/,Jeff Garcia,/players/G/GarcJe00.htm,Steve Mariucci,/coaches/MariSt0.htm
22,1999,San Francisco 49ers,Mariucci,Garner,Garcia,Garner,Rice,/teams/sfo/,Jeff Garcia,/players/G/GarcJe00.htm,Steve Mariucci,/coaches/MariSt0.htm
23,1998,San Francisco 49ers,Mariucci,Young,Young,Hearst,Rice,/teams/sfo/,Steve Young,/players/Y/YounSt00.htm,Steve Mariucci,/coaches/MariSt0.htm
24,1997,San Francisco 49ers,Mariucci,Stubblefield,Young,Hearst,Owens,/teams/sfo/,Steve Young,/players/Y/YounSt00.htm,Steve Mariucci,/coaches/MariSt0.htm
25,1996,San Francisco 49ers,Seifert,Young,Young,Kirby,Rice,/teams/sfo/,Steve Young,/players/Y/YounSt00.htm,George Seifert,/coaches/SeifGe0.htm
26,1995,San Francisco 49ers,Seifert,Rice,Young,Loville,Rice,/teams/sfo/,Steve Young,/players/Y/YounSt00.htm,George Seifert,/coaches/SeifGe0.htm
27,1994,San Francisco 49ers,Seifert,Young,Young,Watters,Rice,/teams/sfo/,Steve Young,/players/Y/YounSt00.htm,George Seifert,/coaches/SeifGe0.htm
28,1993,San Francisco 49ers,Seifert,Young,Young,Watters,Rice,/teams/sfo/,Steve Young,/players/Y/YounSt00.htm,George Seifert,/coaches/SeifGe0.htm
29,1992,San Francisco 49ers,Seifert,Young,Young,Watters,Rice,/teams/sfo/,Steve Young,/players/Y/YounSt00.htm,George Seifert,/coaches/SeifGe0.htm
32,1991,San Francisco 49ers,Seifert,Young,Young,Henderson,Rice,/teams/sfo/,Steve Young,/players/Y/YounSt00.htm,George Seifert,/coaches/SeifGe0.htm
33,1990,San Francisco 49ers,Seifert,Haley,Montana,Carter,Rice,/teams/sfo/,Joe Montana,/players/M/MontJo01.htm,George Seifert,/coaches/SeifGe0.htm
34,1989,San Francisco 49ers,Seifert,Montana,Montana,Craig,Rice,/teams/sfo/,Joe Montana,/players/M/MontJo01.htm,George Seifert,/coaches/SeifGe0.htm
35,1988,San Francisco 49ers,Walsh,Craig,Montana,Craig,Rice,/teams/sfo/,Joe Montana,/players/M/MontJo01.htm,Bill Walsh,/coaches/WalsBi0.htm
36,1987,San Francisco 49ers,Walsh,Carter,Montana,Craig,Rice,/teams/sfo/,Joe Montana,/players/M/MontJo01.htm,Bill Walsh,/coaches/WalsBi0.htm
37,1986,San Francisco 49ers,Walsh,Lott,Montana,Craig,Rice,/teams/sfo/,Joe Montana,/players/M/MontJo01.htm,Bill Walsh,/coaches/WalsBi0.htm
38,1985,San Francisco 49ers,Walsh,Wright,Montana,Craig,Craig,/teams/sfo/,Joe Montana,/players/M/MontJo01.htm,Bill Walsh,/coaches/WalsBi0.htm
39,1984,San Francisco 49ers,Walsh,Wright,Montana,Tyler,Clark,/teams/sfo/,Joe Montana,/players/M/MontJo01.htm,Bill Walsh,/coaches/WalsBi0.htm
40,1983,San Francisco 49ers,Walsh,Montana,Montana,Tyler,Clark,/teams/sfo/,Joe Montana,/players/M/MontJo01.htm,Bill Walsh,/coaches/WalsBi0.htm
41,1982,San Francisco 49ers,Walsh,Montana,Montana,Moore,Clark,/teams/sfo/,Joe Montana,/players/M/MontJo01.htm,Bill Walsh,/coaches/WalsBi0.htm
42,1981,San Francisco 49ers,Walsh,Lott,Montana,Patton,Clark,/teams/sfo/,Joe Montana,/players/M/MontJo01.htm,Bill Walsh,/coaches/WalsBi0.htm
43,1980,San Francisco 49ers,Walsh,Cooper,DeBerg,Cooper,Clark,/teams/sfo/,Steve DeBerg,/players/D/DebeSt00.htm,Bill Walsh,/coaches/WalsBi0.htm
44,1979,San Francisco 49ers,Walsh,DeBerg,DeBerg,Hofer,Solomon,/teams/sfo/,Steve DeBerg,/players/D/DebeSt00.htm,Bill Walsh,/coaches/WalsBi0.htm
45,1978,San Francisco 49ers,"O'Connor,McCulley",Bunz,DeBerg,Simpson,Solomon,/teams/sfo/,Steve DeBerg,/players/D/DebeSt00.htm,"Fred O'Connor,Pete McCulley","/coaches/OConFr0.htm,/coaches/McCuPe0.htm"
46,1977,San Francisco 49ers,Meyer,Williams,Plunkett,Williams,Washington,/teams/sfo/,Jim Plunkett,/players/P/PlunJi00.htm,Ken Meyer,/coaches/MeyeKe0.htm
47,1976,San Francisco 49ers,Clark,Elam,Plunkett,Williams,Washington,/teams/sfo/,Jim Plunkett,/players/P/PlunJi00.htm,Monte Clark,/coaches/ClarMo0.htm
48,1975,San Francisco 49ers,Nolan,Hardman,Snead,Williams,Washington,/teams/sfo/,Norm Snead,/players/S/SneaNo00.htm,Dick Nolan,/coaches/NolaDi0.htm
49,1974,San Francisco 49ers,Nolan,Johnson,Owen,Jackson,Washington,/teams/sfo/,Tom Owen,/players/O/OwenTo00.htm,Dick Nolan,/coaches/NolaDi0.htm
50,1973,San Francisco 49ers,Nolan,Blue,Brodie,Washington,Kwalick,/teams/sfo/,John Brodie,/players/B/BrodJo00.htm,Dick Nolan,/coaches/NolaDi0.htm
51,1972,San Francisco 49ers,Nolan,Johnson,Spurrier,Washington,Washington,/teams/sfo/,Steve Spurrier,/players/S/SpurSt00.htm,Dick Nolan,/coaches/NolaDi0.htm
52,1971,San Francisco 49ers,Nolan,Johnson,Brodie,Willard,Washington,/teams/sfo/,John Brodie,/players/B/BrodJo00.htm,Dick Nolan,/coaches/NolaDi0.htm
53,1970,San Francisco 49ers,Nolan,Brodie,Brodie,Willard,Washington,/teams/sfo/,John Brodie,/players/B/BrodJo00.htm,Dick Nolan,/coaches/NolaDi0.htm
54,1969,San Francisco 49ers,Nolan,Johnson,Brodie,Willard,Washington,/teams/sfo/,John Brodie,/players/B/BrodJo00.htm,Dick Nolan,/coaches/NolaDi0.htm
55,1968,San Francisco 49ers,Nolan,Brodie,Brodie,Willard,McNeil,/teams/sfo/,John Brodie,/players/B/BrodJo00.htm,Dick Nolan,/coaches/NolaDi0.htm
56,1967,San Francisco 49ers,Christiansen,Wilcox,Brodie,Willard,Witcher,/teams/sfo/,John Brodie,/players/B/BrodJo00.htm,Jack Christiansen,/coaches/ChriJa0.htm
57,1966,San Francisco 49ers,Christiansen,Johnson,Brodie,Willard,Parks,/teams/sfo/,John Brodie,/players/B/BrodJo00.htm,Jack Christiansen,/coaches/ChriJa0.htm
58,1965,San Francisco 49ers,Christiansen,Parks,Brodie,Willard,Parks,/teams/sfo/,John Brodie,/players/B/BrodJo00.htm,Jack Christiansen,/coaches/ChriJa0.htm
59,1964,San Francisco 49ers,Christiansen,Hazeltine,Brodie,Kopay,Casey,/teams/sfo/,John Brodie,/players/B/BrodJo00.htm,Jack Christiansen,/coaches/ChriJa0.htm
60,1963,San Francisco 49ers,"Christiansen,Hickey",Woodson,McHan,Smith,Casey,/teams/sfo/,Lamar McHan,/players/M/McHaLa00.htm,"Jack Christiansen,Red Hickey","/coaches/ChriJa0.htm,/coaches/HickHo0.htm"
61,1962,San Francisco 49ers,Hickey,Brodie,Brodie,Smith,Casey,/teams/sfo/,John Brodie,/players/B/BrodJo00.htm,Red Hickey,/coaches/HickHo0.htm
64,1961,San Francisco 49ers,Hickey,Brodie,Brodie,Smith,Owens,/teams/sfo/,John Brodie,/players/B/BrodJo00.htm,Red Hickey,/coaches/HickHo0.htm
65,1960,San Francisco 49ers,Hickey,Woodson,Brodie,Smith,Owens,/teams/sfo/,John Brodie,/players/B/BrodJo00.htm,Red Hickey,/coaches/HickHo0.htm
66,1959,San Francisco 49ers,Hickey,,Tittle,Smith,Wilson,/teams/sfo/,Y.A. Tittle,/players/T/TittY.00.htm,Red Hickey,/coaches/HickHo0.htm
67,1958,San Francisco 49ers,Albert,,Tittle,Perry,Owens,/teams/sfo/,Y.A. Tittle,/players/T/TittY.00.htm,Frankie Albert,/coaches/AlbeFr0.htm
68,1957,San Francisco 49ers,Albert,,Tittle,McElhenny,Wilson,/teams/sfo/,Y.A. Tittle,/players/T/TittY.00.htm,Frankie Albert,/coaches/AlbeFr0.htm
69,1956,San Francisco 49ers,Albert,,Tittle,McElhenny,Wilson,/teams/sfo/,Y.A. Tittle,/players/T/TittY.00.htm,Frankie Albert,/coaches/AlbeFr0.htm
70,1955,San Francisco 49ers,Strader,,Tittle,Perry,Wilson,/teams/sfo/,Y.A. Tittle,/players/T/TittY.00.htm,Red Strader,/coaches/StraNo0.htm
71,1954,San Francisco 49ers,Shaw,,Tittle,Perry,Wilson,/teams/sfo/,Y.A. Tittle,/players/T/TittY.00.htm,Buck Shaw,/coaches/ShawLa0.htm
72,1953,San Francisco 49ers,Shaw,,Tittle,Perry,Wilson,/teams/sfo/,Y.A. Tittle,/players/T/TittY.00.htm,Buck Shaw,/coaches/ShawLa0.htm
73,1952,San Francisco 49ers,Shaw,,Tittle,Perry,Soltau,/teams/sfo/,Y.A. Tittle,/players/T/TittY.00.htm,Buck Shaw,/coaches/ShawLa0.htm
74,1951,San Francisco 49ers,Shaw,,Albert,Perry,Soltau,/teams/sfo/,Frankie Albert,/players/A/AlbeFr00.htm,Buck Shaw,/coaches/ShawLa0.htm
75,1950,San Francisco 49ers,Shaw,,Albert,Perry,Loyd,/teams/sfo/,Frankie Albert,/players/A/AlbeFr00.htm,Buck Shaw,/coaches/ShawLa0.htm
76,1949,San Francisco 49ers,Shaw,,Albert,Perry,Beals,/teams/sfo/,Frankie Albert,/players/A/AlbeFr00.htm,Buck Shaw,/coaches/ShawLa0.htm
77,1948,San Francisco 49ers,Shaw,,Albert,Strzykalski,Beals,/teams/sfo/,Frankie Albert,/players/A/AlbeFr00.htm,Buck Shaw,/coaches/ShawLa0.htm
78,1947,San Francisco 49ers,Shaw,,Albert,Strzykalski,Beals,/teams/sfo/,Frankie Albert,/players/A/AlbeFr00.htm,Buck Shaw,/coaches/ShawLa0.htm
