,season,team,coach,top_av_player,passer,rusher,receiver,franchise_code,passer_name,passer_url,coach_name,coach_url
0,2021,Tampa Bay Buccaneers,Arians,Wirfs,Brady,Fournette,Godwin,/teams/tam/,Tom Brady,/players/B/BradTo00.htm,Bruce Arians,/coaches/AriaBr0.htm
1,2020,Tampa Bay Buccaneers,Arians,Brady,Brady,Jones,Evans,/teams/tam/,Tom Brady,/players/B/BradTo00.htm,Bruce Arians,/coaches/AriaBr0.htm
2,2019,Tampa Bay Buccaneers,Arians,Winston,Winston,Jones,Godwin,/teams/tam/,Jameis Winston,/players/W/WinsJa00.htm,Bruce Arians,/coaches/AriaBr0.htm
3,2018,Tampa Bay Buccaneers,Koetter,Evans,Winston,Barber,Evans,/teams/tam/,Jameis Winston,/players/W/WinsJa00.htm,Dirk Koetter,/coaches/KoetDi0.htm
4,2017,Tampa Bay Buccaneers,Koetter,Winston,Winston,Barber,Evans,/teams/tam/,Jameis Winston,/players/W/WinsJa00.htm,Dirk Koetter,/coaches/KoetDi0.htm
5,2016,Tampa Bay Buccaneers,Koetter,McCoy,Winston,Rodgers,Evans,/teams/tam/,Jameis Winston,/players/W/WinsJa00.htm,Dirk Koetter,/coaches/KoetDi0.htm
6,2015,Tampa Bay Buccaneers,Smith,Winston,Winston,Martin,Evans,/teams/tam/,Jameis Winston,/players/W/WinsJa00.htm,Lovie Smith,/coaches/SmitLo0.htm
7,2014,Tampa Bay Buccaneers,Smith,McCoy,McCown,Martin,Evans,/teams/tam/,Josh McCown,/players/M/McCoJo01.htm,Lovie Smith,/coaches/SmitLo0.htm
8,2013,Tampa Bay Buccaneers,Schiano,David,Glennon,Rainey,Jackson,/teams/tam/,Mike Glennon,/players/G/GlenMi00.htm,Greg Schiano,/coaches/SchiGr0.htm
9,2012,Tampa Bay Buccaneers,Schiano,Martin,Freeman,Martin,Jackson,/teams/tam/,Josh Freeman,/players/F/FreeJo00.htm,Greg Schiano,/coaches/SchiGr0.htm
10,2011,Tampa Bay Buccaneers,Morris,Joseph,Freeman,Blount,Williams,/teams/tam/,Josh Freeman,/players/F/FreeJo00.htm,Raheem Morris,/coaches/MorrRa0.htm
11,2010,Tampa Bay Buccaneers,Morris,Freeman,Freeman,Blount,Williams,/teams/tam/,Josh Freeman,/players/F/FreeJo00.htm,Raheem Morris,/coaches/MorrRa0.htm
12,2009,Tampa Bay Buccaneers,Morris,Ruud,Freeman,Williams,Winslow,/teams/tam/,Josh Freeman,/players/F/FreeJo00.htm,Raheem Morris,/coaches/MorrRa0.htm
13,2008,Tampa Bay Buccaneers,Gruden,Barber,Garcia,Dunn,Bryant,/teams/tam/,Jeff Garcia,/players/G/GarcJe00.htm,Jon Gruden,/coaches/GrudJo0.htm
14,2007,Tampa Bay Buccaneers,Gruden,Haye,Garcia,Graham,Galloway,/teams/tam/,Jeff Garcia,/players/G/GarcJe00.htm,Jon Gruden,/coaches/GrudJo0.htm
