,season,team,coach,top_av_player,passer,rusher,receiver,franchise_code,passer_name,passer_url,coach_name,coach_url
0,2021,Washington Football Team,Rivera,Heinicke,Heinicke,Gibson,McLaurin,/teams/was/,Taylor Heinicke,/players/H/HeinTa00.htm,Ron Rivera,/coaches/RiveRo0.htm
1,2020,Washington Football Team,Rivera,Young,Smith,Gibson,McLaurin,/teams/was/,Alex Smith,/players/S/SmitAl03.htm,Ron Rivera,/coaches/RiveRo0.htm
2,2019,Washington Redskins,"Callahan,Gruden",Allen,Keenum,Peterson,McLaurin,/teams/was/,Case Keenum,/players/K/KeenCa00.htm,"Bill Callahan,Jay Gruden","/coaches/CallBi0.htm,/coaches/GrudJa0.htm"
3,2018,Washington Redskins,Gruden,Kerrigan,Smith,Peterson,Reed,/teams/was/,Alex Smith,/players/S/SmitAl03.htm,Jay Gruden,/coaches/GrudJa0.htm
4,2017,Washington Redskins,Gruden,Cousins,Cousins,Perine,Crowder,/teams/was/,Kirk Cousins,/players/C/CousKi00.htm,Jay Gruden,/coaches/GrudJa0.htm
5,2016,Washington Redskins,Gruden,Cousins,Cousins,Kelley,Garcon,/teams/was/,Kirk Cousins,/players/C/CousKi00.htm,Jay Gruden,/coaches/GrudJa0.htm
6,2015,Washington Redskins,Gruden,Williams,Cousins,Morris,Reed,/teams/was/,Kirk Cousins,/players/C/CousKi00.htm,Jay Gruden,/coaches/GrudJa0.htm
7,2014,Washington Redskins,Gruden,Williams,Cousins,Morris,Jackson,/teams/was/,Kirk Cousins,/players/C/CousKi00.htm,Jay Gruden,/coaches/GrudJa0.htm
8,2013,Washington Redskins,Shanahan,Orakpo,Griffin,Morris,Garcon,/teams/was/,Robert Griffin,/players/G/GrifRo01.htm,Mike Shanahan,/coaches/ShanMi0.htm
9,2012,Washington Redskins,Shanahan,Griffin,Griffin,Morris,Garcon,/teams/was/,Robert Griffin,/players/G/GrifRo01.htm,Mike Shanahan,/coaches/ShanMi0.htm
10,2011,Washington Redskins,Shanahan,Fletcher,Grossman,Helu,Gaffney,/teams/was/,Rex Grossman,/players/G/GrosRe00.htm,Mike Shanahan,/coaches/ShanMi0.htm
11,2010,Washington Redskins,Shanahan,Hall,McNabb,Torain,Moss,/teams/was/,Donovan McNabb,/players/M/McNaDo00.htm,Mike Shanahan,/coaches/ShanMi0.htm
12,2009,Washington Redskins,Zorn,Campbell,Campbell,Portis,Moss,/teams/was/,Jason Campbell,/players/C/CampJa00.htm,Jim Zorn,/coaches/ZornJi0.htm
13,2008,Washington Redskins,Zorn,Portis,Campbell,Portis,Moss,/teams/was/,Jason Campbell,/players/C/CampJa00.htm,Jim Zorn,/coaches/ZornJi0.htm
14,2007,Washington Redskins,Gibbs,Portis,Campbell,Portis,Moss,/teams/was/,Jason Campbell,/players/C/CampJa00.htm,Joe Gibbs,/coaches/GibbJo0.htm
15,2006,Washington Redskins,Gibbs,Betts,Brunell,Betts,Moss,/teams/was/,Mark Brunell,/players/B/BrunMa00.htm,Joe Gibbs,/coaches/GibbJo0.htm
16,2005,Washington Redskins,Gibbs,Moss,Brunell,Portis,Moss,/teams/was/,Mark Brunell,/players/B/BrunMa00.htm,Joe Gibbs,/coaches/GibbJo0.htm
17,2004,Washington Redskins,Gibbs,Washington,Ramsey,Portis,Coles,/teams/was/,Patrick Ramsey,/players/R/RamsPa00.htm,Joe Gibbs,/coaches/GibbJo0.htm
18,2003,Washington Redskins,Spurrier,Arrington,Ramsey,Canidate,Coles,/teams/was/,Patrick Ramsey,/players/R/RamsPa00.htm,Steve Spurrier,/coaches/SpurSt0.htm
19,2002,Washington Redskins,Spurrier,Arrington,Ramsey,Davis,Gardner,/teams/was/,Patrick Ramsey,/players/R/RamsPa00.htm,Steve Spurrier,/coaches/SpurSt0.htm
20,2001,Washington Redskins,Schottenheimer,Arrington,Banks,Davis,Gardner,/teams/was/,Tony Banks,/players/B/BankTo00.htm,Marty Schottenheimer,/coaches/SchoMa0.htm
21,2000,Washington Redskins,"Turner,Robiskie",Bailey,Johnson,Davis,Connell,/teams/was/,Brad Johnson,/players/J/JohnBr00.htm,"Norv Turner,Terry Robiskie","/coaches/TurnNo0.htm,/coaches/RobiTe0.htm"
22,1999,Washington Redskins,Turner,Johnson,Johnson,Davis,Westbrook,/teams/was/,Brad Johnson,/players/J/JohnBr00.htm,Norv Turner,/coaches/TurnNo0.htm
23,1998,Washington Redskins,Turner,Green,Green,Allen,Westbrook,/teams/was/,Trent Green,/players/G/GreeTr00.htm,Norv Turner,/coaches/TurnNo0.htm
24,1997,Washington Redskins,Turner,Dishman,Frerotte,Allen,Shepherd,/teams/was/,Gus Frerotte,/players/F/FrerGu00.htm,Norv Turner,/coaches/TurnNo0.htm
25,1996,Washington Redskins,Turner,Frerotte,Frerotte,Allen,Ellard,/teams/was/,Gus Frerotte,/players/F/FrerGu00.htm,Norv Turner,/coaches/TurnNo0.htm
26,1995,Washington Redskins,Turner,Harvey,Frerotte,Allen,Ellard,/teams/was/,Gus Frerotte,/players/F/FrerGu00.htm,Norv Turner,/coaches/TurnNo0.htm
27,1994,Washington Redskins,Turner,Ellard,Shuler,Ervins,Ellard,/teams/was/,Heath Shuler,/players/S/ShulHe00.htm,Norv Turner,/coaches/TurnNo0.htm
28,1993,Washington Redskins,Petitbon,Brooks,Rypien,Brooks,Sanders,/teams/was/,Mark Rypien,/players/R/RypiMa00.htm,Richie Petitbon,/coaches/PetiRi0.htm
