,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East
1,Washington Redskins*,11,4,0,.733,379,285,94,6.3,-2.5,3.8,1.8,2.0
2,Dallas Cowboys,7,8,0,.467,340,348,-8,-0.5,-1.5,-2.0,-0.2,-1.8
3,St. Louis Cardinals,7,8,0,.467,362,368,-6,-0.4,-0.5,-0.9,2.2,-3.1
4,Philadelphia Eagles,7,8,0,.467,337,380,-43,-2.9,0.8,-2.0,1.3,-3.3
5,New York Giants,6,9,0,.400,280,312,-32,-2.1,1.4,-0.7,-2.9,2.2
6,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central
7,Chicago Bears*,11,4,0,.733,356,282,74,4.9,-1.1,3.8,1.5,2.3
8,Minnesota Vikings+,8,7,0,.533,336,335,1,0.1,-2.7,-2.6,-0.1,-2.5
9,Green Bay Packers,5,9,1,.367,255,300,-45,-3.0,-0.4,-3.4,-5.3,1.9
10,Tampa Bay Buccaneers,4,11,0,.267,286,360,-74,-4.9,-0.8,-5.8,-3.1,-2.7
11,Detroit Lions,4,11,0,.267,269,384,-115,-7.7,-2.2,-9.9,-4.5,-5.4
12,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West
13,San Francisco 49ers*,13,2,0,.867,459,253,206,13.7,-0.4,13.3,8.9,4.4
14,New Orleans Saints+,12,3,0,.800,422,283,139,9.3,0.8,10.1,6.8,3.3
15,Los Angeles Rams,6,9,0,.400,317,361,-44,-2.9,1.1,-1.8,-0.6,-1.2
16,Atlanta Falcons,3,12,0,.200,205,436,-231,-15.4,1.6,-13.8,-7.9,-5.9
