,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East
1,New York Giants*,12,4,.750,328,246,82,5.1,-2.7,2.4,-1.3,3.8
2,Philadelphia Eagles+,11,5,.688,351,245,106,6.6,-3.6,3.1,1.0,2.1
3,Washington Redskins,8,8,.500,281,269,12,0.8,0.2,1.0,-2.9,3.8
4,Dallas Cowboys,5,11,.313,294,361,-67,-4.2,-0.4,-4.6,-1.5,-3.0
5,Arizona Cardinals,3,13,.188,210,443,-233,-14.6,-0.7,-15.2,-7.2,-8.1
6,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central
7,Minnesota Vikings*,11,5,.688,397,371,26,1.6,0.3,1.9,4.3,-2.3
8,Tampa Bay Buccaneers+,10,6,.625,388,269,119,7.4,-0.1,7.3,3.4,3.9
9,Green Bay Packers,9,7,.563,353,323,30,1.9,0.6,2.5,1.8,0.7
10,Detroit Lions,9,7,.563,307,307,0,0.0,1.4,1.4,-0.1,1.5
11,Chicago Bears,5,11,.313,216,355,-139,-8.7,2.4,-6.3,-6.4,0.1
12,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West
13,New Orleans Saints*,10,6,.625,354,305,49,3.1,-2.2,0.9,-1.2,2.1
14,St. Louis Rams+,10,6,.625,540,471,69,4.3,-1.2,3.1,12.6,-9.5
15,Carolina Panthers,7,9,.438,310,310,0,0.0,-1.1,-1.1,-3.6,2.5
16,San Francisco 49ers,6,10,.375,388,422,-34,-2.1,-1.7,-3.8,1.7,-5.5
17,Atlanta Falcons,4,12,.250,252,413,-161,-10.1,1.5,-8.6,-5.7,-2.9
