,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,Unnamed: 8_level_0,Unnamed: 9_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,Unnamed: 25_level_0,Unnamed: 26_level_0
,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
0,1.0,Philadelphia Eagles,10.0,267.0,2604.0,560.0,4.7,32.0,20.0,110.0,55.0,136.0,941.0,9.0,12.0,6.9,27.0,424.0,1663.0,23.0,3.9,73.0,66.0,523.0,10.0,,
1,2.0,Chicago Bears,10.0,258.0,3167.0,629.0,5.0,32.0,14.0,140.0,107.0,217.0,1616.0,21.0,18.0,7.4,57.0,412.0,1551.0,16.0,3.8,73.0,121.0,1025.0,10.0,,
2,3.0,Green Bay Packers,10.0,238.0,2988.0,648.0,4.6,31.0,7.0,147.0,105.0,253.0,1471.0,15.0,24.0,5.8,63.0,395.0,1517.0,16.0,3.8,70.0,62.0,558.0,14.0,,
3,4.0,Detroit Lions,10.0,216.0,2616.0,533.0,4.9,36.0,8.0,106.0,89.0,207.0,1475.0,16.0,28.0,7.1,47.0,326.0,1141.0,14.0,3.5,52.0,56.0,417.0,7.0,,
4,5.0,New York Giants,10.0,206.0,2389.0,541.0,4.4,24.0,7.0,99.0,47.0,125.0,857.0,9.0,17.0,6.9,23.0,416.0,1532.0,12.0,3.7,72.0,68.0,502.0,4.0,,
5,6.0,Cleveland Rams,10.0,188.0,2402.0,566.0,4.2,41.0,15.0,104.0,85.0,208.0,1261.0,13.0,26.0,6.1,43.0,358.0,1141.0,13.0,3.2,51.0,64.0,441.0,10.0,,
6,7.0,Washington Redskins,10.0,169.0,2925.0,641.0,4.6,29.0,12.0,133.0,170.0,299.0,2021.0,17.0,17.0,6.8,70.0,342.0,904.0,6.0,2.6,59.0,68.0,545.0,4.0,,
7,8.0,Chi/Pit Cards/Steelers,10.0,108.0,2276.0,618.0,3.7,53.0,12.0,109.0,87.0,258.0,1257.0,8.0,41.0,4.9,44.0,360.0,1019.0,7.0,2.8,56.0,65.0,479.0,9.0,,
8,9.0,Boston Yanks,10.0,82.0,1501.0,522.0,2.9,30.0,8.0,87.0,85.0,198.0,1030.0,6.0,22.0,5.2,41.0,324.0,471.0,5.0,1.5,36.0,34.0,228.0,10.0,,
9,10.0,Brooklyn Tigers,10.0,69.0,1956.0,580.0,3.4,37.0,8.0,110.0,76.0,213.0,996.0,3.0,29.0,4.7,47.0,367.0,960.0,6.0,2.6,53.0,81.0,639.0,10.0,,
10,,Avg Team,,163.7,2256.7,530.7,4.3,31.4,10.1,104.1,82.4,192.2,1175.0,10.6,21.3,6.1,42.0,338.5,1081.7,10.7,3.2,54.1,62.3,487.0,8.0,,
11,,League Total,,1801.0,24824.0,5838.0,4.3,345.0,111.0,1145.0,906.0,2114.0,12925.0,117.0,234.0,6.1,462.0,3724.0,11899.0,118.0,3.2,595.0,685.0,5357.0,88.0,,
12,,Avg Tm/G,,18.0,248.2,58.4,4.3,3.5,1.1,11.5,9.1,21.1,129.3,1.2,2.3,6.1,4.6,37.2,119.0,1.2,3.2,6.0,6.9,53.6,0.9,,
