,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD
0,1.0,Washington Redskins,16.0,337.0,581.0,58.0,4349.0,24.0,4.1,17.0,2.9,80.0,7.7,7.2,13.3,271.8,84.1,21.0,127.0,3.5,7.2,6.8,3.0,3.0
1,2.0,San Francisco 49ers,16.0,339.0,483.0,70.2,4302.0,35.0,7.2,11.0,2.3,95.0,9.5,9.9,13.5,268.9,114.8,45.0,282.0,8.5,8.1,8.5,4.0,6.0
2,3.0,Miami Dolphins,16.0,331.0,601.0,55.1,4216.0,26.0,4.3,25.0,4.2,78.0,7.2,6.2,13.0,263.5,74.9,10.0,86.0,1.6,6.9,5.9,2.0,4.0
3,4.0,Los Angeles Rams,16.0,308.0,523.0,58.9,4133.0,29.0,5.5,18.0,3.4,78.0,8.4,7.9,14.2,258.3,90.1,32.0,236.0,5.8,7.4,7.0,4.0,4.0
4,5.0,Green Bay Packers,16.0,354.0,600.0,59.0,4048.0,27.0,4.5,20.0,3.3,79.0,7.2,6.6,12.2,253.0,82.4,48.0,277.0,7.4,6.2,5.7,5.0,7.0
5,6.0,New England Patriots,16.0,302.0,610.0,49.5,3707.0,17.0,2.8,27.0,4.4,65.0,6.5,5.1,13.2,231.7,61.3,34.0,265.0,5.3,5.8,4.4,3.0,3.0
6,7.0,Cincinnati Bengals,16.0,288.0,513.0,56.1,3618.0,32.0,6.2,13.0,2.5,74.0,7.7,7.8,13.7,226.1,91.2,41.0,332.0,7.4,6.5,6.6,0.0,1.0
7,8.0,Buffalo Bills,16.0,281.0,478.0,58.8,3589.0,32.0,6.7,20.0,4.2,78.0,8.0,7.5,13.6,224.3,89.3,35.0,242.0,6.8,7.0,6.5,3.0,3.0
8,9.0,Atlanta Falcons,16.0,312.0,578.0,54.0,3514.0,17.0,2.9,12.0,2.1,72.0,6.8,6.4,12.5,219.6,76.4,51.0,389.0,8.1,5.6,5.3,3.0,3.0
9,10.0,Houston Oilers,16.0,295.0,496.0,59.5,3499.0,23.0,4.6,16.0,3.2,55.0,7.6,7.1,12.8,218.7,85.5,37.0,287.0,6.9,6.6,6.1,2.0,3.0
10,11.0,Cleveland Browns,16.0,309.0,529.0,58.4,3433.0,20.0,3.8,15.0,2.8,97.0,6.9,6.3,11.7,214.6,80.1,34.0,192.0,6.0,6.1,5.6,2.0,4.0
11,12.0,New York Jets,16.0,338.0,570.0,59.3,3415.0,14.0,2.5,24.0,4.2,63.0,6.8,5.4,11.5,213.4,70.6,62.0,477.0,9.8,5.4,4.1,3.0,3.0
12,13.0,New Orleans Saints,16.0,284.0,461.0,61.6,3380.0,23.0,5.0,19.0,4.1,54.0,7.9,7.1,12.9,211.3,85.9,36.0,271.0,7.2,6.8,6.0,2.0,4.0
13,14.0,Tampa Bay Buccaneers,16.0,302.0,570.0,53.0,3335.0,23.0,4.0,28.0,4.9,78.0,6.4,5.0,12.1,208.4,66.0,43.0,331.0,7.0,5.4,4.1,2.0,2.0
14,15.0,Phoenix Cardinals,16.0,279.0,523.0,53.3,3280.0,17.0,3.3,30.0,5.7,77.0,7.0,5.1,13.1,205.0,62.6,56.0,379.0,9.7,5.7,3.9,2.0,2.0
15,16.0,Seattle Seahawks,16.0,316.0,559.0,56.5,3204.0,21.0,3.8,23.0,4.1,60.0,6.4,5.3,11.3,200.3,71.3,46.0,379.0,7.6,5.3,4.3,3.0,4.0
16,17.0,Minnesota Vikings,16.0,272.0,499.0,54.5,3189.0,17.0,3.4,19.0,3.8,50.0,6.9,5.9,12.8,199.3,72.0,40.0,279.0,7.4,5.9,5.0,1.0,0.0
17,18.0,Philadelphia Eagles,16.0,294.0,538.0,54.6,3112.0,23.0,4.3,16.0,3.0,66.0,6.4,5.9,11.8,194.5,76.2,45.0,343.0,7.7,5.3,4.9,4.0,5.0
18,19.0,Chicago Bears,16.0,267.0,484.0,55.2,3088.0,21.0,4.3,25.0,5.2,79.0,6.7,5.3,12.2,193.0,69.1,28.0,174.0,5.5,6.0,4.7,1.0,1.0
19,20.0,New York Giants,16.0,248.0,444.0,55.9,3074.0,17.0,3.8,16.0,3.6,62.0,7.6,6.7,13.5,192.1,77.9,46.0,281.0,9.4,6.3,5.5,2.0,2.0
