,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,EXP
0,1.0,Arizona Cardinals,16.0,419.0,670.0,62.5,4437.0,21.0,3.1,21.0,3.1,63.0,7.0,6.3,11.3,277.3,81.0,45.0,286.0,6.3,6.2,5.5,2.0,2.0,-25.03
1,2.0,New England Patriots,16.0,352.0,564.0,62.4,4120.0,28.0,5.0,15.0,2.7,71.0,7.7,7.5,12.3,257.5,91.5,28.0,202.0,4.7,7.0,6.8,3.0,4.0,31.27
2,3.0,Indianapolis Colts,16.0,347.0,515.0,67.4,4096.0,31.0,6.0,11.0,2.1,80.0,8.1,8.4,12.1,256.0,103.3,20.0,95.0,3.7,7.7,7.9,1.0,1.0,157.41
3,4.0,St. Louis Rams,16.0,392.0,599.0,65.4,4036.0,23.0,3.8,24.0,4.0,83.0,7.3,6.2,11.1,252.3,83.0,46.0,315.0,7.1,6.3,5.3,3.0,5.0,12.72
4,5.0,Cincinnati Bengals,16.0,362.0,538.0,67.3,3820.0,32.0,5.9,14.0,2.6,70.0,7.3,7.3,10.9,238.8,97.6,21.0,115.0,3.8,6.8,6.9,1.0,3.0,17.65
5,6.0,Kansas City Chiefs,16.0,317.0,507.0,62.5,3810.0,17.0,3.4,10.0,2.0,60.0,7.9,7.7,12.7,238.1,90.1,32.0,204.0,5.9,7.1,6.9,2.0,3.0,27.32
6,7.0,Green Bay Packers,16.0,383.0,626.0,61.2,3766.0,20.0,3.2,30.0,4.8,59.0,6.3,4.8,10.3,235.4,70.1,27.0,198.0,4.1,5.8,4.3,1.0,1.0,-78.29
7,8.0,Philadelphia Eagles,16.0,337.0,620.0,54.4,3677.0,21.0,3.4,20.0,3.2,91.0,6.3,5.5,11.6,229.8,71.5,42.0,226.0,6.3,5.6,4.8,2.0,4.0,-91.91
8,9.0,Tennessee Titans,16.0,358.0,594.0,60.3,3597.0,20.0,3.4,14.0,2.4,57.0,6.4,6.0,10.6,224.8,80.3,31.0,200.0,5.0,5.8,5.4,0.0,1.0,-118.26
9,10.0,Oakland Raiders,16.0,316.0,591.0,53.5,3582.0,21.0,3.6,14.0,2.4,79.0,6.6,6.2,12.3,223.9,76.0,45.0,301.0,7.1,5.6,5.3,1.0,1.0,-57.75
10,11.0,New York Giants,16.0,294.0,558.0,52.7,3578.0,24.0,4.3,17.0,3.0,78.0,6.7,6.2,12.8,223.6,75.7,28.0,184.0,4.8,6.1,5.6,1.0,2.0,-11.79
11,12.0,San Diego Chargers,16.0,338.0,526.0,64.3,3495.0,27.0,5.1,16.0,3.0,54.0,7.1,6.8,11.1,218.4,89.7,31.0,243.0,5.6,6.3,6.0,2.0,2.0,-1.95
12,13.0,Seattle Seahawks,16.0,307.0,474.0,64.8,3458.0,25.0,5.3,10.0,2.1,56.0,7.7,7.8,11.8,216.1,96.8,27.0,174.0,5.4,6.9,7.0,2.0,2.0,81.56
13,14.0,New Orleans Saints,16.0,308.0,553.0,55.7,3343.0,15.0,2.7,24.0,4.3,66.0,6.5,5.1,11.7,208.9,66.6,41.0,261.0,6.9,5.6,4.3,1.0,2.0,-87.71
