,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,East,East,East,East,East,East,East,East,East,East,East,East,East
1,New York Giants*,8,1,1,.889,206,75,131,13.1,-3.2,9.9,1.2,8.7
2,Philadelphia Eagles,7,1,2,.875,267,131,136,13.6,-2.0,11.6,9.5,2.1
3,Washington Redskins,6,3,1,.667,169,180,-11,-1.1,-1.7,-2.8,-0.9,-1.9
4,Boston Yanks,2,8,0,.200,82,233,-151,-15.1,3.9,-11.2,-6.9,-4.3
5,Brooklyn Tigers,0,10,0,.000,69,166,-97,-9.7,3.1,-6.6,-9.4,2.8
6,West,West,West,West,West,West,West,West,West,West,West,West,West
7,Green Bay Packers*,8,2,0,.800,238,141,97,9.7,-1.5,8.2,4.8,3.4
8,Chicago Bears,6,3,1,.667,258,172,86,8.6,-1.6,7.0,5.8,1.2
9,Detroit Lions,6,3,1,.667,216,151,65,6.5,-3.1,3.4,1.3,2.1
10,Cleveland Rams,4,6,0,.400,188,224,-36,-3.6,1.9,-1.7,0.1,-1.8
11,Chi/Pit Cards/Steelers,0,10,0,.000,108,328,-220,-22.0,4.1,-17.9,-5.5,-12.3
