,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 41_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,1989,1989-09-10,1,1,22.293,DAL,@,NOR,L 0-28,*,17,35,48.57,180,0,2,40.2,2,30,5.14,2.57,1,13,13.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
1,2,1989,1989-09-17,2,2,22.300,DAL,@,ATL,L 21-27,*,13,23,56.52,241,1,2,71.1,0,0,10.48,7.43,5,13,2.60,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
2,3,1989,1989-09-24,3,3,22.307,DAL,,WAS,L 7-30,*,6,21,28.57,83,0,2,4.0,4,27,3.95,-0.33,1,3,3.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
3,4,1989,1989-10-01,4,4,22.314,DAL,,NYG,L 13-30,*,1,6,16.67,11,0,0,39.6,0,0,1.83,1.83,2,9,4.50,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
4,5,1989,1989-11-12,10,10,22.356,DAL,@,PHO,L 20-24,*,21,40,52.50,379,2,2,81.1,1,12,9.48,8.23,0,0,,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
5,6,1989,1989-11-19,11,11,22.363,DAL,,MIA,L 14-17,*,25,33,75.76,261,1,1,95.6,0,0,7.91,7.15,8,71,8.88,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
6,7,1989,1989-11-23,12,12,23.002,DAL,,PHI,L 0-27,*,7,21,33.33,54,0,3,2.8,1,1,2.57,-3.86,4,25,6.25,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
7,8,1989,1989-12-03,13,13,23.012,DAL,,RAM,L 31-35,*,19,34,55.88,179,4,1,97.5,2,14,5.26,6.29,4,57,14.25,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
8,9,1989,1989-12-10,14,14,23.019,DAL,@,PHI,L 10-20,*,17,30,56.67,152,1,0,81.5,5,45,5.07,5.73,6,60,10.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
