,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,,
0,1,1946,1946-11-10,10,10,26.287,SFO,,CLE,L 7-14,,,,,,,,,,,,,,,,,1,6,Frankie Albert,AlbeFr00
1,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Frankie Albert,AlbeFr00
2,2,1947,1947-11-02,9,9,27.279,SFO,@,LAD,W 26-16,,14,23,60.87,202,4,1,110.9,,,8.78,10.30,0,0,,0,0,0,Frankie Albert,AlbeFr00
3,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Frankie Albert,AlbeFr00
4,3,1948,1948-11-21,12,12,28.299,SFO,@,BDA,W 63-40,,16,23,69.57,219,4,1,121.2,,,9.52,11.04,0,0,,0,0,0,Frankie Albert,AlbeFr00
5,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Frankie Albert,AlbeFr00
6,4,1949,1949-10-09,6,6,29.255,SFO,,CLE,W 56-28,,16,24,66.67,249,5,3,100.9,,,10.38,8.92,0,0,,0,0,0,Frankie Albert,AlbeFr00
7,5,1949,1949-11-13,11,11,29.290,SFO,@,LAD,W 41-24,,14,19,73.68,220,4,0,151.3,,,11.58,15.79,0,0,,0,0,0,Frankie Albert,AlbeFr00
8,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Frankie Albert,AlbeFr00
9,6,1950,1950-09-17,1,1,30.233,SFO,,NYY,L 17-21,*,7,17,41.18,81,1,1,51.3,,17,4.76,3.29,1,4,4.00,0,0,0,Frankie Albert,AlbeFr00
10,7,1950,1950-09-24,2,2,30.240,SFO,,CHI,L 20-32,*,11,23,47.83,109,1,2,39.9,,33,4.74,1.70,10,52,5.20,1,1,6,Frankie Albert,AlbeFr00
11,8,1950,1950-10-01,3,3,30.247,SFO,,RAM,L 14-35,*,24,51,47.06,298,2,1,70.5,,16,5.84,5.75,7,64,9.14,0,0,0,Frankie Albert,AlbeFr00
12,9,1950,1950-10-08,4,4,30.254,SFO,@,DET,L 7-24,*,6,12,50.00,33,0,2,16.7,,16,2.75,-4.75,2,9,4.50,0,0,0,Frankie Albert,AlbeFr00
13,10,1950,1950-10-12,5,5,30.258,SFO,@,NYY,L 24-29,*,22,34,64.71,258,2,2,82.7,,20,7.59,6.12,5,36,7.20,0,0,0,Frankie Albert,AlbeFr00
14,11,1950,1950-10-22,6,6,30.268,SFO,,DET,W 28-27,*,14,21,66.67,132,3,1,103.6,,27,6.29,7.00,6,26,4.33,0,0,0,Frankie Albert,AlbeFr00
15,12,1950,1950-10-29,7,7,30.275,SFO,,BCL,W 17-14,*,7,16,43.75,64,0,3,15.6,,21,4.00,-4.44,7,7,1.00,1,1,6,Frankie Albert,AlbeFr00
16,13,1950,1950-11-05,8,8,30.282,SFO,@,RAM,L 21-28,*,14,27,51.85,189,1,3,47.2,,39,7.00,2.74,3,2,0.67,0,0,0,Frankie Albert,AlbeFr00
17,14,1950,1950-11-12,9,9,30.289,SFO,@,CLE,L 14-34,*,11,22,50.00,168,1,3,51.1,,18,7.64,2.41,2,3,1.50,1,1,6,Frankie Albert,AlbeFr00
18,15,1950,1950-11-19,10,10,30.296,SFO,@,CHI,L 0-17,*,13,27,48.15,141,0,2,33.1,,46,5.22,1.89,4,21,5.25,0,0,0,Frankie Albert,AlbeFr00
19,16,1950,1950-11-26,11,11,30.303,SFO,@,GNB,L 21-25,*,9,23,39.13,97,1,2,30.5,,15,4.22,1.17,2,35,17.50,0,0,0,Frankie Albert,AlbeFr00
20,17,1950,1950-12-10,12,13,30.317,SFO,,GNB,W 30-14,*,17,33,51.52,197,2,1,77.5,,43,5.97,5.82,4,13,3.25,0,0,0,Frankie Albert,AlbeFr00
21,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Frankie Albert,AlbeFr00
22,18,1951,1951-09-30,1,1,31.246,SFO,,CLE,W 24-10,*,7,14,50.00,78,1,1,61.0,,30,5.57,3.79,4,17,4.25,0,0,0,Frankie Albert,AlbeFr00
23,19,1951,1951-10-06,2,2,31.252,SFO,@,PHI,L 14-21,*,2,6,33.33,45,0,1,21.5,,6,7.50,0.00,4,-3,-0.75,0,0,0,Frankie Albert,AlbeFr00
24,20,1951,1951-10-14,3,3,31.260,SFO,@,PIT,W 28-24,*,13,20,65.00,183,1,2,71.5,,,9.15,5.65,2,9,4.50,0,0,0,Frankie Albert,AlbeFr00
25,21,1951,1951-10-21,4,4,31.267,SFO,@,CHI,L 7-13,*,5,14,35.71,78,0,0,55.1,,14,5.57,5.57,1,3,3.00,0,0,0,Frankie Albert,AlbeFr00
26,22,1951,1951-10-28,5,5,31.274,SFO,,RAM,W 44-17,*,6,8,75.00,99,1,0,155.7,,17,12.38,14.88,1,8,8.00,0,0,0,Frankie Albert,AlbeFr00
27,23,1951,1951-11-04,6,6,31.281,SFO,@,RAM,L 16-23,*,4,11,36.36,32,0,0,44.9,,,2.91,2.91,5,27,5.40,1,1,6,Frankie Albert,AlbeFr00
28,24,1951,1951-11-11,7,7,31.288,SFO,,NYY,W 19-14,*,11,19,57.89,125,1,2,55.7,,20,6.58,2.89,2,18,9.00,0,0,0,Frankie Albert,AlbeFr00
29,25,1951,1951-11-18,8,8,31.295,SFO,,CRD,L 21-27,*,9,19,47.37,109,0,1,43.5,,13,5.74,3.37,5,17,3.40,2,2,12,Frankie Albert,AlbeFr00
30,26,1951,1951-11-25,9,9,31.302,SFO,@,NYY,T 10-10,*,10,16,62.50,105,0,1,55.5,,42,6.56,3.75,5,15,3.00,0,0,0,Frankie Albert,AlbeFr00
31,27,1951,1951-12-02,10,10,31.309,SFO,@,DET,W 20-10,*,7,12,58.33,97,0,1,49.7,,8,8.08,4.33,4,7,1.75,0,0,0,Frankie Albert,AlbeFr00
32,28,1951,1951-12-09,11,11,31.316,SFO,,GNB,W 31-19,,9,11,81.82,97,1,0,133.7,,17,8.82,10.64,2,28,14.00,0,0,0,Frankie Albert,AlbeFr00
33,29,1951,1951-12-16,12,12,31.323,SFO,,DET,W 21-17,*,7,16,43.75,68,0,1,30.2,,4,4.25,1.44,,,,,0,0,Frankie Albert,AlbeFr00
34,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Frankie Albert,AlbeFr00
35,30,1952,1952-09-28,1,1,32.245,SFO,,DET,W 17-3,*,8,15,53.33,119,1,0,101.8,,7,7.93,9.27,2,17,8.50,0,0,0,Frankie Albert,AlbeFr00
36,31,1952,1952-10-05,2,2,32.252,SFO,@,DTX,W 37-14,,2,6,33.33,85,1,0,121.5,,12,14.17,17.50,1,1,1.00,0,0,0,Frankie Albert,AlbeFr00
37,32,1952,1952-10-12,3,3,32.259,SFO,@,DET,W 28-0,*,3,6,50.00,15,0,0,56.2,,19,2.50,2.50,3,4,1.33,1,1,6,Frankie Albert,AlbeFr00
