,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Unnamed: 36_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 54_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
0,1,2018,2018-09-09,1,1,22.111,BUF,@,BAL,L 3-47,,6,15,40.00,74,0,0,56.0,3,16,4.93,4.93,4,26,6.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,50%,0,0%,0,0%,,Josh Allen,AlleJo02
1,2,2018,2018-09-16,2,2,22.118,BUF,,LAC,L 20-31,*,18,33,54.55,245,1,2,63.3,5,36,7.42,5.30,8,32,4.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,62,100%,0,0%,0,0%,,Josh Allen,AlleJo02
2,3,2018,2018-09-23,3,3,22.125,BUF,@,MIN,W 27-6,*,15,22,68.18,196,1,0,111.2,3,32,8.91,9.82,10,39,3.90,2,0,0,0,,0,0.0%,,,2,12,0.0,0,0,0,0,0,3,0,0,2,-14,0,67,100%,0,0%,0,0%,,Josh Allen,AlleJo02
3,4,2018,2018-09-30,4,4,22.132,BUF,@,GNB,L 0-22,*,16,33,48.48,151,0,2,36.3,7,64,4.58,1.85,5,19,3.80,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,58,100%,0,0%,0,0%,,Josh Allen,AlleJo02
4,5,2018,2018-10-07,5,5,22.139,BUF,,TEN,W 13-12,*,10,19,52.63,82,0,1,42.0,1,3,4.32,1.95,4,19,4.75,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,65,100%,0,0%,0,0%,,Josh Allen,AlleJo02
5,6,2018,2018-10-14,6,6,22.146,BUF,@,HOU,L 13-20,*,10,17,58.82,84,0,0,71.7,2,16,4.94,4.94,4,20,5.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,38,61%,0,0%,0,0%,,Josh Allen,AlleJo02
6,7,2018,2018-10-21,7,7,,BUF,@,IND,L 5-37,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Josh Allen,AlleJo02
7,8,2018,2018-10-29,8,8,,BUF,,NWE,L 6-25,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Josh Allen,AlleJo02
8,9,2018,2018-11-04,9,9,,BUF,,CHI,L 9-41,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Josh Allen,AlleJo02
9,10,2018,2018-11-11,10,10,,BUF,@,NYJ,W 41-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Josh Allen,AlleJo02
10,11,2018,2018-11-25,11,12,22.188,BUF,,JAX,W 24-21,*,8,19,42.11,160,1,0,89.8,0,0,8.42,9.47,13,99,7.62,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,1,0,0,0,0,0,58,100%,0,0%,0,0%,,Josh Allen,AlleJo02
11,12,2018,2018-12-02,12,13,22.195,BUF,@,MIA,L 17-21,*,18,33,54.55,231,2,2,71.7,2,14,7.00,5.48,9,135,15.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,72,100%,0,0%,0,0%,,Josh Allen,AlleJo02
12,13,2018,2018-12-09,13,14,22.202,BUF,,NYJ,L 23-27,*,18,36,50.00,206,0,2,44.4,3,14,5.72,3.22,9,101,11.22,1,1,0,0,,0,0.0%,0.00,,1,6,0.0,0,0,0,,,1,1,0,0,0,0,76,100%,0,0%,0,0%,,Josh Allen,AlleJo02
13,14,2018,2018-12-16,14,15,22.209,BUF,,DET,W 14-13,*,13,26,50.00,204,1,0,89.3,1,9,7.85,8.62,9,16,1.78,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,1,0,0,0,0,0,68,100%,0,0%,0,0%,,Josh Allen,AlleJo02
14,15,2018,2018-12-23,15,16,22.216,BUF,@,NWE,L 12-24,*,20,41,48.78,217,1,2,52.6,0,0,5.29,3.59,5,30,6.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,100%,0,0%,0,0%,,Josh Allen,AlleJo02
15,16,2018,2018-12-30,16,17,22.223,BUF,,MIA,W 42-17,*,17,26,65.38,224,3,1,114.9,1,9,8.62,9.19,9,95,10.56,2,0,0,0,,0,0.0%,,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,62,100%,0,0%,0,0%,,Josh Allen,AlleJo02
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Josh Allen,AlleJo02
17,17,2019,2019-09-08,1,1,23.110,BUF,@,NYJ,W 17-16,*,24,37,64.86,254,1,2,71.2,1,12,6.86,4.97,10,38,3.80,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,2,2,0,0,-1,0,66,100%,0,0%,0,0%,,Josh Allen,AlleJo02
18,18,2019,2019-09-15,2,2,23.117,BUF,@,NYG,W 28-14,*,19,30,63.33,253,1,0,101.1,3,16,8.43,9.10,7,21,3.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,,Josh Allen,AlleJo02
19,19,2019,2019-09-22,3,3,23.124,BUF,,CIN,W 21-17,*,23,36,63.89,243,1,1,81.1,1,2,6.75,6.06,9,46,5.11,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,2,0,0,1,0,0,76,99%,0,0%,0,0%,,Josh Allen,AlleJo02
20,20,2019,2019-09-29,4,4,23.131,BUF,,NWE,L 10-16,*,13,28,46.43,153,0,3,24.0,4,31,5.46,0.64,5,26,5.20,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,1,0,0,0,0,0,58,73%,0,0%,0,0%,,Josh Allen,AlleJo02
21,21,2019,2019-10-06,5,5,23.138,BUF,@,TEN,W 14-7,*,23,32,71.88,219,2,1,98.3,4,15,6.84,6.69,10,27,2.70,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,,Josh Allen,AlleJo02
22,22,2019,2019-10-20,6,7,23.152,BUF,,MIA,W 31-21,*,16,26,61.54,202,2,0,111.4,2,14,7.77,9.31,4,32,8.00,0,0,0,0,,0,0.0%,,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,55,100%,0,0%,0,0%,,Josh Allen,AlleJo02
23,23,2019,2019-10-27,7,8,23.159,BUF,,PHI,L 13-31,*,16,34,47.06,169,2,0,81.6,4,14,4.97,6.15,8,45,5.63,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,3,1,0,1,0,0,59,100%,0,0%,0,0%,,Josh Allen,AlleJo02
24,24,2019,2019-11-03,8,9,23.166,BUF,,WAS,W 24-9,*,14,20,70.00,160,1,0,110.4,2,14,8.00,9.00,8,12,1.50,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,2,0,0,1,0,0,62,100%,0,0%,0,0%,,Josh Allen,AlleJo02
25,25,2019,2019-11-10,9,10,23.173,BUF,@,CLE,L 16-19,*,22,41,53.66,266,0,0,73.8,1,6,6.49,6.49,6,28,4.67,2,0,0,0,,0,0.0%,,,2,12,0.0,0,0,0,0,0,1,0,0,0,0,0,68,100%,0,0%,0,0%,,Josh Allen,AlleJo02
26,26,2019,2019-11-17,10,11,23.180,BUF,@,MIA,W 37-20,*,21,33,63.64,256,3,0,117.7,0,0,7.76,9.58,7,56,8.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,,Josh Allen,AlleJo02
27,27,2019,2019-11-24,11,12,23.187,BUF,,DEN,W 20-3,*,15,25,60.00,185,2,1,92.9,1,5,7.40,7.20,9,56,6.22,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,74,100%,0,0%,0,0%,,Josh Allen,AlleJo02
28,28,2019,2019-11-28,12,13,23.191,BUF,@,DAL,W 26-15,*,19,24,79.17,231,1,0,120.7,4,27,9.63,10.46,10,43,4.30,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,66,100%,0,0%,0,0%,,Josh Allen,AlleJo02
29,29,2019,2019-12-08,13,14,23.201,BUF,,BAL,L 17-24,*,17,39,43.59,146,1,0,62.6,6,41,3.74,4.26,2,9,4.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,2,1,0,0,0,0,73,100%,0,0%,0,0%,,Josh Allen,AlleJo02
30,30,2019,2019-12-15,14,15,23.208,BUF,@,PIT,W 17-10,*,13,25,52.00,139,1,1,65.2,1,8,5.56,4.56,7,28,4.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,,Josh Allen,AlleJo02
31,31,2019,2019-12-21,15,16,23.214,BUF,@,NWE,L 17-24,*,13,26,50.00,208,2,0,102.7,4,32,8.00,9.54,7,43,6.14,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,100%,0,0%,0,0%,,Josh Allen,AlleJo02
32,32,2019,2019-12-29,16,17,23.222,BUF,,NYJ,L 6-13,*,3,5,60.00,5,0,0,64.6,0,0,1.00,1.00,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,11%,0,0%,0,0%,,Josh Allen,AlleJo02
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Josh Allen,AlleJo02
34,33,2020,2020-09-13,1,1,24.115,BUF,,NYJ,W 27-17,*,33,46,71.74,312,2,0,104.6,3,6,6.78,7.65,14,57,4.07,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,2,2,0,0,0,0,87,100%,0,0%,0,0%,,Josh Allen,AlleJo02
35,34,2020,2020-09-20,2,2,24.122,BUF,@,MIA,W 31-28,*,24,35,68.57,415,4,0,146.7,1,4,11.86,14.14,4,19,4.75,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,,Josh Allen,AlleJo02
36,35,2020,2020-09-27,3,3,24.129,BUF,,LAR,W 35-32,*,24,33,72.73,311,4,1,128.9,4,37,9.42,10.48,4,8,2.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,62,100%,0,0%,0,0%,,Josh Allen,AlleJo02
37,36,2020,2020-10-04,4,4,24.136,BUF,@,LVR,W 30-23,*,24,34,70.59,288,2,0,115.8,1,14,8.47,9.65,3,-1,-0.33,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,,Josh Allen,AlleJo02
38,37,2020,2020-10-13,5,5,24.145,BUF,@,TEN,L 16-42,*,26,41,63.41,263,2,2,77.6,1,10,6.41,5.20,4,18,4.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,65,90%,0,0%,0,0%,,Josh Allen,AlleJo02
39,38,2020,2020-10-19,6,6,24.151,BUF,,KAN,L 17-26,*,14,27,51.85,122,2,1,73.4,0,0,4.52,4.33,8,42,5.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,100%,0,0%,0,0%,,Josh Allen,AlleJo02
40,39,2020,2020-10-25,7,7,24.157,BUF,@,NYJ,W 18-10,*,30,43,69.77,307,0,0,90.0,2,11,7.14,7.14,11,61,5.55,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,74,100%,0,0%,0,0%,,Josh Allen,AlleJo02
41,40,2020,2020-11-01,8,8,24.164,BUF,,NWE,W 24-21,*,11,18,61.11,154,0,1,65.5,1,5,8.56,6.06,10,23,2.30,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,58,100%,0,0%,0,0%,,Josh Allen,AlleJo02
42,41,2020,2020-11-08,9,9,24.171,BUF,,SEA,W 44-34,*,31,38,81.58,415,3,0,138.5,7,29,10.92,12.50,7,14,2.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,,Josh Allen,AlleJo02
43,42,2020,2020-11-15,10,10,24.178,BUF,@,ARI,L 30-32,*,32,49,65.31,284,2,2,77.3,0,0,5.80,4.78,7,38,5.43,0,1,1,12,12.00,1,100.0%,12.00,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,,Josh Allen,AlleJo02
44,43,2020,2020-11-29,11,12,24.192,BUF,,LAC,W 27-17,*,18,24,75.00,157,1,1,88.4,2,10,6.54,5.50,9,32,3.56,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,1,1,0,0,-2,0,61,98%,0,0%,0,0%,,Josh Allen,AlleJo02
45,44,2020,2020-12-07,12,13,24.200,BUF,@,SFO,W 34-24,*,32,40,80.00,375,4,0,139.1,1,7,9.38,11.38,6,11,1.83,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,2,1,0,0,0,0,73,100%,0,0%,0,0%,,Josh Allen,AlleJo02
46,45,2020,2020-12-13,13,14,24.206,BUF,,PIT,W 26-15,*,24,43,55.81,238,2,1,77.5,1,8,5.53,5.42,6,28,4.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,75,100%,0,0%,0,0%,,Josh Allen,AlleJo02
47,46,2020,2020-12-19,14,15,24.212,BUF,@,DEN,W 48-19,*,28,40,70.00,359,2,0,114.5,1,7,8.98,9.98,3,33,11.00,2,0,0,0,,0,0.0%,,,2,12,0.0,0,0,0,0,0,1,0,0,1,0,0,72,99%,0,0%,0,0%,,Josh Allen,AlleJo02
48,47,2020,2020-12-28,15,16,24.221,BUF,@,NWE,W 38-9,*,27,36,75.00,320,4,0,138.7,0,0,8.89,11.11,4,35,8.75,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,79%,0,0%,0,0%,,Josh Allen,AlleJo02
49,48,2020,2021-01-03,16,17,24.227,BUF,,MIA,W 56-26,*,18,25,72.00,224,3,1,122.3,1,11,8.96,9.56,2,3,1.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,55%,0,0%,0,0%,,Josh Allen,AlleJo02
50,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Josh Allen,AlleJo02
51,49,2021,2021-09-12,1,1,25.114,BUF,,PIT,L 16-23,*,30,51,58.82,270,1,0,79.7,3,16,5.29,5.69,9,44,4.89,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,2,1,0,1,0,0,85,100%,0,0%,0,0%,,Josh Allen,AlleJo02
52,50,2021,2021-09-19,2,2,25.121,BUF,@,MIA,W 35-0,*,17,33,51.52,179,2,1,75.2,1,8,5.42,5.27,5,35,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,97%,0,0%,0,0%,,Josh Allen,AlleJo02
53,51,2021,2021-09-26,3,3,25.128,BUF,,WAS,W 43-21,*,32,43,74.42,358,4,0,129.8,0,0,8.33,10.19,4,9,2.25,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,71,90%,0,0%,0,0%,,Josh Allen,AlleJo02
54,52,2021,2021-10-03,4,4,25.135,BUF,,HOU,W 40-0,*,20,30,66.67,248,2,1,100.4,1,5,8.27,8.10,6,41,6.83,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,-2,0,63,88%,0,0%,0,0%,,Josh Allen,AlleJo02
55,53,2021,2021-10-10,5,5,25.142,BUF,@,KAN,W 38-20,*,15,26,57.69,315,3,0,139.1,0,0,12.12,14.42,11,59,5.36,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%,,Josh Allen,AlleJo02
56,54,2021,2021-10-18,6,6,25.150,BUF,@,TEN,L 31-34,*,35,47,74.47,353,3,1,107.8,3,18,7.51,7.83,9,26,2.89,0,0,0,0,,0,0.0%,,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,77,100%,0,0%,0,0%,,Josh Allen,AlleJo02
57,55,2021,2021-10-31,7,8,25.163,BUF,,MIA,W 26-11,*,29,42,69.05,249,2,0,100.2,0,0,5.93,6.88,8,55,6.88,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,1,0,0,0,0,0,73,100%,0,0%,0,0%,,Josh Allen,AlleJo02
