,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 35_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,1996,1996-09-01,1,1,,STL,,CIN,W 26-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tony Banks,BankTo00
1,2,1996,1996-09-08,2,2,23.156,STL,@,SFO,L 0-34,,6,17,35.29,69,0,0,48.4,4,19,4.06,4.06,1,2,2.00,0,,0,0,3,3,0,0,0,0,,Tony Banks,BankTo00
2,3,1996,1996-09-22,3,4,,STL,,WAS,L 10-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tony Banks,BankTo00
3,4,1996,1996-09-29,4,5,23.177,STL,@,ARI,L 28-31,*,10,17,58.82,186,3,1,111.8,3,24,10.94,11.82,6,20,3.33,0,,0,0,3,1,0,1,-4,0,,Tony Banks,BankTo00
4,5,1996,1996-10-06,5,6,23.184,STL,,SFO,L 11-28,*,18,33,54.55,174,1,2,54.4,5,37,5.27,3.15,4,9,2.25,0,1,0,2,2,1,0,1,0,0,,Tony Banks,BankTo00
5,6,1996,1996-10-13,6,7,23.191,STL,@,CAR,L 13-45,*,15,29,51.72,163,1,1,65.7,4,40,5.62,4.76,2,8,4.00,0,,0,0,2,1,0,0,0,0,,Tony Banks,BankTo00
6,7,1996,1996-10-20,7,8,23.198,STL,,JAX,W 17-14,*,9,17,52.94,129,1,1,72.9,2,8,7.59,6.12,7,46,6.57,0,,0,0,2,0,0,1,-7,0,,Tony Banks,BankTo00
7,8,1996,1996-10-27,8,9,23.205,STL,@,BAL,L 31-37,*,26,40,65.00,353,1,2,80.5,5,29,8.83,7.08,9,47,5.22,0,,0,0,3,1,0,0,0,0,,Tony Banks,BankTo00
8,9,1996,1996-11-03,9,10,23.212,STL,@,PIT,L 6-42,*,16,35,45.71,184,0,2,38.3,6,47,5.26,2.69,2,-2,-1.00,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
9,10,1996,1996-11-10,10,11,23.219,STL,,ATL,W 59-16,*,15,24,62.50,188,2,0,114.6,1,3,7.83,9.50,2,12,6.00,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
10,11,1996,1996-11-17,11,12,23.226,STL,,CAR,L 10-20,*,14,33,42.42,160,1,1,55.1,6,39,4.85,4.09,3,17,5.67,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
11,12,1996,1996-11-24,12,13,23.233,STL,,GNB,L 9-24,*,17,37,45.95,170,1,1,57.3,3,5,4.59,3.92,1,0,0.00,0,,0,0,2,2,0,0,0,0,,Tony Banks,BankTo00
12,13,1996,1996-12-01,13,14,23.240,STL,@,NOR,W 26-10,*,11,23,47.83,231,1,1,80.2,1,11,10.04,8.96,9,10,1.11,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
13,14,1996,1996-12-08,14,15,23.247,STL,@,CHI,L 9-35,*,20,38,52.63,194,0,1,56.3,2,12,5.11,3.92,2,1,0.50,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
14,15,1996,1996-12-15,15,16,23.254,STL,@,ATL,W 34-27,*,11,16,68.75,304,3,1,125.0,2,13,19.00,19.94,10,27,2.70,0,,0,0,4,2,0,1,-6,0,,Tony Banks,BankTo00
15,16,1996,1996-12-21,16,17,23.260,STL,,NOR,W 14-13,*,4,9,44.44,39,0,1,17.6,4,19,4.33,-0.67,3,15,5.00,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Tony Banks,BankTo00
17,17,1997,1997-08-31,1,1,24.148,STL,,NOR,W 38-24,*,13,21,61.90,226,2,1,110.4,2,12,10.76,10.52,2,2,1.00,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
18,18,1997,1997-09-07,2,2,24.155,STL,,SFO,L 12-15,*,9,25,36.00,123,0,0,52.6,3,19,4.92,4.92,8,17,2.13,0,,0,0,3,2,0,0,-3,0,,Tony Banks,BankTo00
19,19,1997,1997-09-14,3,3,24.162,STL,@,DEN,L 14-35,*,18,33,54.55,217,0,2,49.7,5,33,6.58,3.85,2,12,6.00,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
20,20,1997,1997-09-21,4,4,24.169,STL,,NYG,W 13-3,*,15,35,42.86,176,0,0,58.7,5,43,5.03,5.03,5,11,2.20,0,,0,0,2,1,0,0,-2,0,,Tony Banks,BankTo00
21,21,1997,1997-09-28,5,5,24.176,STL,@,OAK,L 17-35,*,24,49,48.98,255,2,3,52.7,0,0,5.20,3.27,1,1,1.00,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
22,22,1997,1997-10-12,6,7,24.190,STL,@,SFO,L 10-30,*,9,23,39.13,119,0,0,56.2,4,36,5.17,5.17,1,2,2.00,0,,0,0,1,1,0,0,0,0,,Tony Banks,BankTo00
23,23,1997,1997-10-19,7,8,24.197,STL,,SEA,L 9-17,*,17,31,54.84,164,0,1,56.4,2,9,5.29,3.84,3,4,1.33,0,,0,0,1,0,0,0,-6,0,,Tony Banks,BankTo00
24,24,1997,1997-10-26,8,9,24.204,STL,,KAN,L 20-28,*,18,30,60.00,268,1,0,100.4,1,7,8.93,9.60,2,17,8.50,0,,0,0,2,2,0,0,-1,0,,Tony Banks,BankTo00
25,25,1997,1997-11-02,9,10,24.211,STL,@,ATL,L 31-34,*,23,34,67.65,401,2,1,115.0,1,2,11.79,11.65,3,18,6.00,1,,1,6,0,,0,1,0,0,,Tony Banks,BankTo00
26,26,1997,1997-11-09,10,11,24.218,STL,@,GNB,L 7-17,*,9,23,39.13,103,0,0,53.4,3,23,4.48,4.48,2,6,3.00,0,,0,0,1,0,0,0,-6,0,,Tony Banks,BankTo00
27,27,1997,1997-11-16,11,12,24.225,STL,,ATL,L 21-27,*,21,38,55.26,266,2,0,94.8,3,24,7.00,8.05,5,16,3.20,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
28,28,1997,1997-11-23,12,13,24.232,STL,,CAR,L 10-16,*,6,13,46.15,61,0,1,28.0,2,12,4.69,1.23,2,20,10.00,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
29,29,1997,1997-11-30,13,14,24.239,STL,@,WAS,W 23-20,*,19,38,50.00,298,1,0,85.2,1,14,7.84,8.37,4,21,5.25,0,,0,0,2,0,0,2,-3,0,,Tony Banks,BankTo00
30,30,1997,1997-12-07,14,15,24.246,STL,@,NOR,W 34-27,*,22,41,53.66,267,3,1,88.2,5,38,6.51,6.88,4,28,7.00,0,,0,0,1,0,0,0,-4,0,,Tony Banks,BankTo00
31,31,1997,1997-12-14,15,16,24.253,STL,,CHI,L 10-13,*,13,28,46.43,147,0,3,23.1,5,31,5.25,0.43,1,0,0.00,0,,0,0,2,1,0,0,0,0,,Tony Banks,BankTo00
32,32,1997,1997-12-20,16,17,24.259,STL,@,CAR,W 30-18,*,16,25,64.00,163,1,0,95.9,1,14,6.52,7.32,2,11,5.50,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Tony Banks,BankTo00
34,33,1998,1998-09-06,1,1,25.154,STL,,NOR,L 17-24,*,29,44,65.91,298,1,1,83.3,6,31,6.77,6.20,4,17,4.25,0,,0,0,1,0,0,1,-4,0,,Tony Banks,BankTo00
35,34,1998,1998-09-13,2,2,25.161,STL,,MIN,L 31-38,*,25,45,55.56,283,1,4,45.0,1,8,6.29,2.73,4,24,6.00,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
36,35,1998,1998-09-20,3,3,25.168,STL,@,BUF,W 34-33,*,13,27,48.15,235,1,2,60.0,2,10,8.70,6.11,2,3,1.50,1,,1,6,0,,0,0,0,0,,Tony Banks,BankTo00
37,36,1998,1998-09-27,4,4,25.175,STL,,ARI,L 17-20,*,15,26,57.69,171,0,0,77.6,4,27,6.58,6.58,2,25,12.50,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
38,37,1998,1998-10-11,5,6,25.189,STL,,NYJ,W 30-10,*,18,24,75.00,171,1,0,108.2,1,0,7.13,7.96,5,28,5.60,0,,0,0,2,1,0,1,0,0,,Tony Banks,BankTo00
39,38,1998,1998-10-18,6,7,25.196,STL,@,MIA,L 0-14,*,14,29,48.28,143,0,1,48.5,4,15,4.93,3.38,4,20,5.00,0,,0,0,0,,0,1,0,0,,Tony Banks,BankTo00
40,39,1998,1998-10-25,7,8,25.203,STL,,SFO,L 10-28,*,15,35,42.86,121,0,3,16.5,8,32,3.46,-0.40,6,21,3.50,1,,1,6,2,1,0,1,-16,0,,Tony Banks,BankTo00
41,40,1998,1998-11-01,8,9,25.210,STL,@,ATL,L 15-37,*,23,37,62.16,221,1,0,87.8,2,14,5.97,6.51,2,-2,-1.00,0,1,0,2,0,,0,0,0,0,,Tony Banks,BankTo00
42,41,1998,1998-11-08,9,10,25.217,STL,@,CHI,W 20-12,*,24,31,77.42,202,1,0,104.5,0,0,6.52,7.16,5,10,2.00,1,,1,6,0,,0,0,0,0,,Tony Banks,BankTo00
43,42,1998,1998-11-15,10,11,25.224,STL,@,NOR,L 3-24,*,24,37,64.86,246,0,2,61.3,7,67,6.65,4.22,2,3,1.50,0,,0,0,2,1,0,1,0,0,,Tony Banks,BankTo00
44,43,1998,1998-11-22,11,12,25.231,STL,,CAR,L 20-24,*,2,3,66.67,24,0,0,91.0,1,5,8.00,8.00,0,0,,0,,0,0,1,0,0,0,0,0,,Tony Banks,BankTo00
45,44,1998,1998-11-29,12,13,25.238,STL,,ATL,L 10-21,*,10,21,47.62,95,0,0,60.6,3,20,4.52,4.52,2,1,0.50,0,,0,0,1,0,0,2,-3,0,,Tony Banks,BankTo00
46,45,1998,1998-12-03,13,14,25.242,STL,@,PHI,L 14-17,*,22,37,59.46,255,0,1,69.1,1,7,6.89,5.68,2,6,3.00,0,,0,0,1,0,0,1,0,0,,Tony Banks,BankTo00
47,46,1998,1998-12-13,14,15,25.252,STL,,NWE,W 32-18,*,7,12,58.33,70,1,0,102.8,1,1,5.83,7.50,0,0,,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
48,47,1998,1998-12-20,15,16,,STL,@,CAR,L 13-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Tony Banks,BankTo00
49,48,1998,1998-12-27,16,17,,STL,@,SFO,L 19-38,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Tony Banks,BankTo00
