,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Int,Yds,TD,PD,,
0,1,1940,1940-09-15,1,2,26.182,WAS,,BKN,W 24-17,,,,,,,,,,,,,,,,,0,0,1,0,0,,Sammy Baugh,BaugSa00
1,2,1940,1940-10-06,3,5,26.203,WAS,@,PIT,W 40-10,,,,,,,,,,,,,,,,,0,0,1,39,0,,Sammy Baugh,BaugSa00
2,3,1940,1940-10-20,5,7,26.217,WAS,@,PHI,W 34-17,,,,,,,,,,,,,,,,,0,0,1,45,0,,Sammy Baugh,BaugSa00
3,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Int,Yds,TD,PD,Sammy Baugh,BaugSa00
4,4,1941,1941-10-19,4,7,27.216,WAS,@,PHI,W 21-17,,,,,,,,,,,,,,,,,0,0,1,20,0,,Sammy Baugh,BaugSa00
5,5,1941,1941-11-02,6,9,27.230,WAS,,PIT,W 23-3,,,,,,,,,,,,,,,,,0,0,1,35,0,,Sammy Baugh,BaugSa00
6,6,1941,1941-11-09,7,10,27.237,WAS,@,BKN,L 7-13,,,,,,,,,,,,,,,,,0,0,1,0,0,,Sammy Baugh,BaugSa00
7,7,1941,1941-11-30,10,13,27.258,WAS,,GNB,L 17-22,,,,,,,,,,,,,,,,,0,0,1,28,0,,Sammy Baugh,BaugSa00
8,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Int,Yds,TD,PD,Sammy Baugh,BaugSa00
9,8,1942,1942-09-20,1,2,28.187,WAS,,PIT,W 28-14,,,,,,,,,,,,,,,,,0,0,1,29,0,,Sammy Baugh,BaugSa00
10,9,1942,1942-11-01,7,8,28.229,WAS,,PHI,W 30-27,,,,,,,,,,,,,,,,,0,0,1,15,0,,Sammy Baugh,BaugSa00
11,10,1942,1942-11-08,8,9,28.236,WAS,,CRD,W 28-0,,,,,,,,,,,,,,,,,0,0,1,11,0,,Sammy Baugh,BaugSa00
12,11,1942,1942-11-22,10,11,28.250,WAS,,BKN,W 23-3,,,,,,,,,,,,,,,,,0,0,2,22,0,,Sammy Baugh,BaugSa00
13,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Int,Yds,TD,PD,Sammy Baugh,BaugSa00
14,12,1943,1943-10-10,1,4,29.207,WAS,,BKN,W 27-0,,,,,,,,,,,,,,,,,0,0,1,23,0,,Sammy Baugh,BaugSa00
15,13,1943,1943-10-17,2,2,29.214,WAS,@,GNB,W 33-7,,,,,,,,,,,,,,,,,0,0,2,24,0,,Sammy Baugh,BaugSa00
16,14,1943,1943-10-24,3,6,29.221,WAS,,CRD,W 13-7,,,,,,,,,,,,,,,,,0,0,1,10,0,,Sammy Baugh,BaugSa00
17,15,1943,1943-10-31,4,4,29.228,WAS,@,BKN,W 48-10,,16,28,57.14,376,6,3,101.8,,,13.43,12.89,0,0,,0,0,0,,,,,Sammy Baugh,BaugSa00
18,16,1943,1943-11-07,5,8,29.235,WAS,@,PHI,T 14-14,,,,,,,,,,,,,,,,,0,0,2,17,0,,Sammy Baugh,BaugSa00
19,17,1943,1943-11-14,6,6,29.242,WAS,,DET,W 42-20,,,,,,,,,,,,,,,,,0,0,4,38,0,,Sammy Baugh,BaugSa00
20,18,1943,1943-12-12,10,13,29.270,WAS,,NYG,L 7-31,,,,,,,,,,,,,,,,,0,0,1,0,0,,Sammy Baugh,BaugSa00
