,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 41_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,1993,1993-09-05,1,1,21.203,NWE,@,BUF,L 14-38,*,14,30,46.67,148,2,1,69.9,3,13,4.93,4.77,3,6,2.00,0,,0,0,,0,0.0%,,0,0,0,,0,2,0,0,,Drew Bledsoe,BledDr00
1,2,1993,1993-09-12,2,2,21.210,NWE,,DET,L 16-19,*,28,49,57.14,239,1,1,68.3,2,8,4.88,4.37,3,10,3.33,0,,0,0,,0,0.0%,,0,0,2,,0,0,-5,0,,Drew Bledsoe,BledDr00
2,3,1993,1993-09-19,3,3,21.217,NWE,,SEA,L 14-17,*,20,44,45.45,238,1,2,51.1,2,15,5.41,3.82,1,1,1.00,0,,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Drew Bledsoe,BledDr00
3,4,1993,1993-09-26,4,4,21.224,NWE,@,NYJ,L 7-45,*,19,42,45.24,195,0,2,39.3,3,15,4.64,2.50,0,0,,0,,0,0,,0,0.0%,,0,0,1,,0,0,0,0,,Drew Bledsoe,BledDr00
4,5,1993,1993-10-10,5,6,21.238,NWE,@,PHO,W 23-21,*,8,17,47.06,85,1,0,81.7,2,18,5.00,6.18,1,0,0.00,0,,0,0,,0,0.0%,,0,0,1,,0,1,-11,0,,Drew Bledsoe,BledDr00
5,6,1993,1993-10-17,6,7,,NWE,,HOU,L 14-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Drew Bledsoe,BledDr00
6,7,1993,1993-10-24,7,8,,NWE,@,SEA,L 9-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Drew Bledsoe,BledDr00
7,8,1993,1993-10-31,8,9,,NWE,@,IND,L 6-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Drew Bledsoe,BledDr00
8,9,1993,1993-11-07,9,10,21.266,NWE,,BUF,L 10-13,,8,16,50.00,96,0,0,68.7,1,9,6.00,6.00,5,14,2.80,0,,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Drew Bledsoe,BledDr00
9,10,1993,1993-11-21,10,12,21.280,NWE,@,MIA,L 13-17,*,23,42,54.76,275,1,1,73.0,2,14,6.55,5.95,1,12,12.00,0,,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Drew Bledsoe,BledDr00
10,11,1993,1993-11-28,11,13,21.287,NWE,,NYJ,L 0-6,*,10,18,55.56,134,0,1,56.3,0,0,7.44,4.94,0,0,,0,,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Drew Bledsoe,BledDr00
11,12,1993,1993-12-05,12,14,21.294,NWE,@,PIT,L 14-17,*,18,48,37.50,296,1,5,26.4,0,0,6.17,1.90,5,-1,-0.20,0,,0,0,,0,0.0%,,0,0,3,,0,2,-7,0,,Drew Bledsoe,BledDr00
12,13,1993,1993-12-12,13,15,21.301,NWE,,CIN,W 7-2,*,11,22,50.00,106,1,0,79.0,0,0,4.82,5.73,2,2,1.00,0,,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Drew Bledsoe,BledDr00
13,14,1993,1993-12-19,14,16,21.308,NWE,@,CLE,W 20-17,*,19,47,40.43,210,1,1,52.6,1,7,4.47,3.94,4,9,2.25,0,,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Drew Bledsoe,BledDr00
14,15,1993,1993-12-26,15,17,21.315,NWE,,IND,W 38-0,*,9,11,81.82,143,2,0,158.3,0,0,13.00,16.64,1,2,2.00,0,,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Drew Bledsoe,BledDr00
15,16,1993,1994-01-02,16,18,21.322,NWE,,MIA,W 33-27,*,27,43,62.79,329,4,1,107.6,0,0,7.65,8.47,6,27,4.50,0,,0,0,,0,0.0%,,0,0,1,,0,0,0,0,,Drew Bledsoe,BledDr00
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Drew Bledsoe,BledDr00
17,17,1994,1994-09-04,1,1,22.202,NWE,@,MIA,L 35-39,*,32,51,62.75,421,4,2,98.6,1,3,8.25,8.06,0,0,,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,,Drew Bledsoe,BledDr00
18,18,1994,1994-09-11,2,2,22.209,NWE,,BUF,L 35-38,*,26,42,61.90,380,3,2,95.3,2,9,9.05,8.33,2,2,1.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,,Drew Bledsoe,BledDr00
