,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Unnamed: 28_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Punting,Punting,Punting,Punting,Unnamed: 44_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,,
0,1,2003,2003-09-07,1,1,22.082,BAL,@,PIT,L 15-34,*,22,43,51.16,152,1,1,57.5,2,9,3.53,2.95,5,14,2.80,0,0,0,0.0,0,0,0,0,,2,0,0,2,-3,0,0,0,,0,,Kyle Boller,BollKy00
1,2,2003,2003-09-14,2,2,22.089,BAL,,CLE,W 33-13,*,7,17,41.18,78,0,1,31.0,3,21,4.59,1.94,3,3,1.00,0,0,0,0.0,,,,,,2,1,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
2,3,2003,2003-09-21,3,3,22.096,BAL,@,SDG,W 24-10,*,12,21,57.14,98,1,1,65.2,1,1,4.67,3.48,3,0,0.00,0,0,0,0.0,,,,,,0,,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
3,4,2003,2003-09-28,4,4,22.103,BAL,,KAN,L 10-17,*,15,26,57.69,140,0,3,33.0,3,16,5.38,0.19,3,15,5.00,0,0,0,0.0,,,,,,0,,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
4,5,2003,2003-10-12,5,6,22.117,BAL,@,ARI,W 26-18,*,9,18,50.00,75,0,0,61.1,1,3,4.17,4.17,2,5,2.50,0,0,0,0.0,0,0,0,0,,0,,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
5,6,2003,2003-10-19,6,7,22.124,BAL,@,CIN,L 26-34,*,15,27,55.56,302,2,1,104.2,3,21,11.19,11.00,4,8,2.00,0,0,0,0.0,0,1,1,0,,3,0,0,1,-14,0,0,0,,0,,Kyle Boller,BollKy00
6,7,2003,2003-10-26,7,8,22.131,BAL,,DEN,W 26-6,*,15,27,55.56,137,1,0,81.9,2,11,5.07,5.81,3,11,3.67,0,0,0,0.0,,,,,,0,,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
7,8,2003,2003-11-02,8,9,22.138,BAL,,JAX,W 24-17,*,10,23,43.48,156,1,1,63.0,0,0,6.78,5.70,6,4,0.67,0,0,0,0.0,,,,,,1,1,0,0,-8,0,0,0,,0,,Kyle Boller,BollKy00
8,9,2003,2003-11-09,9,10,22.145,BAL,@,STL,L 22-33,*,10,21,47.62,112,1,1,60.0,2,10,5.33,4.14,1,2,2.00,0,0,0,0.0,,,,,,1,1,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
9,10,2003,2003-11-16,10,11,,BAL,@,MIA,L 6-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Boller,BollKy00
10,11,2003,2003-11-23,11,12,,BAL,,SEA,W 44-41,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Boller,BollKy00
11,12,2003,2003-11-30,12,13,,BAL,,SFO,W 44-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Boller,BollKy00
12,13,2003,2003-12-07,13,14,,BAL,,CIN,W 31-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Boller,BollKy00
13,14,2003,2003-12-14,14,15,,BAL,@,OAK,L 12-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Boller,BollKy00
14,15,2003,2003-12-21,15,16,22.187,BAL,@,CLE,W 35-0,,1,1,100.00,10,0,0,108.3,0,0,10.00,10.00,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
15,16,2003,2003-12-28,16,17,22.194,BAL,,PIT,W 13-10,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,1,29,29.00,0,,Kyle Boller,BollKy00
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,Kyle Boller,BollKy00
17,17,2004,2004-09-12,1,1,23.087,BAL,@,CLE,L 3-20,*,22,38,57.89,191,0,2,49.3,3,25,5.03,2.66,2,16,8.00,0,0,0,0.0,,,,,,1,1,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
18,18,2004,2004-09-19,2,2,23.094,BAL,,PIT,W 30-13,*,10,18,55.56,98,0,0,71.1,2,11,5.44,5.44,8,34,4.25,0,0,0,0.0,,,,,,0,,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
19,19,2004,2004-09-26,3,3,23.101,BAL,@,CIN,W 23-9,*,11,18,61.11,126,1,0,100.7,2,0,7.00,8.11,4,24,6.00,1,1,6,0.0,,,,,,2,2,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
20,20,2004,2004-10-04,4,4,23.109,BAL,,KAN,L 24-27,*,10,17,58.82,154,1,0,108.5,4,27,9.06,10.24,3,3,1.00,0,0,0,0.0,,,,,,1,0,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
21,21,2004,2004-10-10,5,5,23.115,BAL,@,WAS,W 17-10,*,9,18,50.00,81,0,3,22.9,2,5,4.50,-3.00,7,-6,-0.86,0,0,0,0.0,0,0,0,0,,0,,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
22,22,2004,2004-10-24,6,7,23.129,BAL,,BUF,W 20-6,*,10,19,52.63,86,0,0,64.8,4,26,4.53,4.53,4,5,1.25,0,0,0,0.0,0,0,0,0,,1,1,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
23,23,2004,2004-10-31,7,8,23.136,BAL,@,PHI,L 10-15,*,24,38,63.16,223,1,1,77.0,2,9,5.87,5.21,1,7,7.00,0,0,0,0.0,,,,,,1,0,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
24,24,2004,2004-11-07,8,9,23.143,BAL,,CLE,W 27-13,*,17,30,56.67,142,0,0,69.0,1,8,4.73,4.73,2,1,0.50,0,0,0,0.0,,,,,,1,1,0,0,-5,0,0,0,,0,,Kyle Boller,BollKy00
25,25,2004,2004-11-14,9,10,23.150,BAL,@,NYJ,W 20-17,*,19,33,57.58,213,2,0,97.2,3,27,6.45,7.67,2,5,2.50,0,0,0,0.0,,,,,,0,,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
26,26,2004,2004-11-21,10,11,23.157,BAL,,DAL,W 30-10,*,23,34,67.65,232,2,0,106.5,1,4,6.82,8.00,3,9,3.00,0,0,0,0.0,,,,,,0,,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
27,27,2004,2004-11-28,11,12,23.164,BAL,@,NWE,L 3-24,*,15,35,42.86,93,0,1,38.4,4,46,2.66,1.37,2,10,5.00,0,0,0,0.0,0,0,0,0,,1,1,0,1,0,0,0,0,,0,,Kyle Boller,BollKy00
28,28,2004,2004-12-05,12,13,23.171,BAL,,CIN,L 26-27,*,19,33,57.58,172,0,1,59.2,1,8,5.21,3.85,2,10,5.00,0,0,0,0.0,,,,,,0,,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
29,29,2004,2004-12-12,13,14,23.178,BAL,,NYG,W 37-14,*,18,34,52.94,219,4,0,112.3,4,35,6.44,8.79,4,19,4.75,0,0,0,0.0,0,0,0,0,,2,1,0,1,0,0,0,0,,0,,Kyle Boller,BollKy00
30,30,2004,2004-12-19,14,15,23.185,BAL,@,IND,L 10-20,*,19,40,47.50,210,1,2,51.0,2,16,5.25,3.50,1,2,2.00,0,0,0,0.0,0,0,0,0,,0,,0,1,0,0,0,0,,0,,Kyle Boller,BollKy00
31,31,2004,2004-12-26,15,16,23.192,BAL,@,PIT,L 7-20,*,18,32,56.25,177,0,1,59.0,0,0,5.53,4.13,4,28,7.00,0,0,0,0.0,,,,,,0,,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
32,32,2004,2005-01-02,16,17,23.199,BAL,,MIA,W 30-23,*,14,27,51.85,142,1,0,79.6,0,0,5.26,6.00,4,22,5.50,0,0,0,0.0,0,0,0,0,,1,0,0,1,0,0,0,0,,0,,Kyle Boller,BollKy00
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,Kyle Boller,BollKy00
34,33,2005,2005-09-11,1,1,24.086,BAL,,IND,L 7-24,*,15,23,65.22,141,0,1,63.9,1,10,6.13,4.17,1,2,2.00,0,0,0,0.0,0,0,0,0,,1,0,0,1,0,0,0,0,,0,,Kyle Boller,BollKy00
35,34,2005,2005-09-18,2,2,,BAL,@,TEN,L 10-25,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Boller,BollKy00
36,35,2005,2005-10-02,3,4,,BAL,,NYJ,W 13-3,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Boller,BollKy00
37,36,2005,2005-10-09,4,5,,BAL,@,DET,L 17-35,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Boller,BollKy00
38,37,2005,2005-10-16,5,6,,BAL,,CLE,W 16-3,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Boller,BollKy00
39,38,2005,2005-10-23,6,7,,BAL,@,CHI,L 6-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Boller,BollKy00
40,39,2005,2005-10-31,7,8,,BAL,@,PIT,L 19-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Boller,BollKy00
41,40,2005,2005-11-06,8,9,,BAL,,CIN,L 9-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kyle Boller,BollKy00
42,41,2005,2005-11-13,9,10,24.149,BAL,@,JAX,L 3-30,*,19,33,57.58,142,0,3,30.1,4,32,4.30,0.21,2,9,4.50,0,0,0,0.0,0,0,0,0,,0,,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
43,42,2005,2005-11-20,10,11,24.156,BAL,,PIT,W 16-13,*,21,36,58.33,163,1,1,67.2,5,26,4.53,3.83,6,17,2.83,0,0,0,0.0,,,,,,0,,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
44,43,2005,2005-11-27,11,12,24.163,BAL,@,CIN,L 29-42,*,18,32,56.25,211,3,2,81.6,3,22,6.59,5.66,4,10,2.50,0,0,0,0.0,0,0,0,0,,3,1,0,1,0,0,0,0,,0,,Kyle Boller,BollKy00
45,44,2005,2005-12-04,12,13,24.170,BAL,,HOU,W 16-15,*,17,33,51.52,198,0,0,70.0,4,33,6.00,6.00,3,11,3.67,1,1,6,0.0,0,0,0,0,,2,0,0,1,0,0,0,0,,0,,Kyle Boller,BollKy00
46,45,2005,2005-12-11,13,14,24.177,BAL,@,DEN,L 10-12,*,23,39,58.97,251,1,2,65.2,2,0,6.44,4.64,2,3,1.50,0,0,0,0.0,0,0,0,0,,1,1,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
47,46,2005,2005-12-19,14,15,24.185,BAL,,GNB,W 48-3,*,19,27,70.37,253,3,0,136.8,0,0,9.37,11.59,1,9,9.00,0,0,0,0.0,0,0,0,0,,1,0,0,1,0,0,0,0,,0,,Kyle Boller,BollKy00
48,47,2005,2005-12-25,15,16,24.191,BAL,,MIN,W 30-23,*,24,34,70.59,289,3,1,113.5,2,10,8.50,8.94,2,1,0.50,0,0,0,0.0,,,,,,0,,0,0,0,0,0,0,,0,,Kyle Boller,BollKy00
