,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 48_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
0,1,2014,2014-09-07,1,1,,JAX,@,PHI,L 17-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Blake Bortles,BortBl00
1,2,2014,2014-09-14,2,2,,JAX,@,WAS,L 10-41,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Blake Bortles,BortBl00
2,3,2014,2014-09-21,3,3,22.146,JAX,,IND,L 17-44,,14,24,58.33,223,2,2,82.5,1,6,9.29,7.21,2,30,15.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,42,70%,0,0%,0,0%,,Blake Bortles,BortBl00
3,4,2014,2014-09-28,4,4,22.153,JAX,@,SDG,L 14-33,*,29,37,78.38,254,1,2,81.8,3,19,6.86,4.97,5,24,4.80,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,,Blake Bortles,BortBl00
4,5,2014,2014-10-05,5,5,22.160,JAX,,PIT,L 9-17,*,22,36,61.11,191,0,2,52.0,1,4,5.31,2.81,4,14,3.50,0,0,0,0,,0,0.0%,,,0,0,2,0,0,2,-6,0,56,100%,0,0%,0,0%,,Blake Bortles,BortBl00
5,6,2014,2014-10-12,6,6,22.167,JAX,@,TEN,L 14-16,*,32,46,69.57,336,1,1,88.7,6,39,7.30,6.76,5,38,7.60,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,77,100%,0,0%,0,0%,,Blake Bortles,BortBl00
6,7,2014,2014-10-19,7,7,22.174,JAX,,CLE,W 24-6,*,17,31,54.84,159,1,3,40.3,2,8,5.13,1.42,5,37,7.40,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,,Blake Bortles,BortBl00
7,8,2014,2014-10-26,8,8,22.181,JAX,,MIA,L 13-27,*,18,34,52.94,221,1,2,58.6,4,20,6.50,4.44,6,48,8.00,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,71,100%,0,0%,0,0%,,Blake Bortles,BortBl00
8,9,2014,2014-11-02,9,9,22.188,JAX,@,CIN,L 23-33,*,22,33,66.67,247,2,1,96.4,2,14,7.48,7.33,4,10,2.50,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,,Blake Bortles,BortBl00
