,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 48_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
0,1,2010,2010-09-12,1,1,22.308,STL,,ARI,L 13-17,*,32,55,58.18,253,1,3,53.1,2,13,4.60,2.51,0,0,,0,0,0,0,,0,0.0%,,,0,0,0,,0,1,0,0,,,,,,,,Sam Bradford,BradSa00
1,2,2010,2010-09-19,2,2,22.315,STL,@,OAK,L 14-16,*,14,25,56.00,167,2,1,86.6,3,32,6.68,6.48,0,0,,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Sam Bradford,BradSa00
2,3,2010,2010-09-26,3,3,22.322,STL,,WAS,W 30-16,*,23,37,62.16,235,1,1,78.1,1,3,6.35,5.68,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Sam Bradford,BradSa00
3,4,2010,2010-10-03,4,4,22.329,STL,,SEA,W 20-3,*,23,41,56.10,289,2,1,84.3,4,28,7.05,6.93,2,8,4.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Sam Bradford,BradSa00
4,5,2010,2010-10-10,5,5,22.336,STL,@,DET,L 6-44,*,23,45,51.11,215,0,2,46.1,1,2,4.78,2.78,0,0,,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Sam Bradford,BradSa00
5,6,2010,2010-10-17,6,6,22.343,STL,,SDG,W 20-17,*,18,31,58.06,198,1,0,87.8,3,15,6.39,7.03,6,8,1.33,0,0,0,0,,0,0.0%,,,0,0,0,0,0,1,0,0,,,,,,,,Sam Bradford,BradSa00
6,7,2010,2010-10-24,7,7,22.350,STL,@,TAM,L 17-18,*,13,26,50.00,126,2,0,89.6,1,2,4.85,6.38,2,2,1.00,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,,,,,,,,Sam Bradford,BradSa00
7,8,2010,2010-10-31,8,8,22.357,STL,,CAR,W 20-10,*,25,32,78.13,191,2,0,112.4,2,7,5.97,7.22,5,2,0.40,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,-2,0,,,,,,,,Sam Bradford,BradSa00
8,9,2010,2010-11-14,9,10,23.006,STL,@,SFO,L 20-23,*,30,42,71.43,251,1,0,94.4,3,23,5.98,6.45,2,11,5.50,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,0,0,,,,,,,,Sam Bradford,BradSa00
