,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Punting,Punting,Punting,Punting,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck,,
0,1,1970,1970-09-20,1,1,22.018,PIT,,HOU,L 7-19,*,4,16,25.00,70,0,1,19.3,2,10,4.38,1.56,3,20,6.67,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
1,2,1970,1970-09-27,2,2,22.025,PIT,@,DEN,L 13-16,*,13,26,50.00,211,0,1,61.5,3,33,8.12,6.38,3,9,3.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
2,3,1970,1970-10-03,3,3,22.031,PIT,@,CLE,L 7-15,*,13,29,44.83,207,0,3,29.6,7,78,7.14,2.48,4,44,11.00,1,,,,,1,6,0,0,,0,Terry Bradshaw,BradTe00
3,4,1970,1970-10-11,4,4,22.039,PIT,,BUF,W 23-10,*,3,12,25.00,24,0,0,39.6,1,12,2.00,2.00,2,18,9.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
4,5,1970,1970-10-18,5,5,22.046,PIT,@,HOU,W 7-3,*,8,17,47.06,208,1,3,72.3,3,30,12.24,5.47,3,1,0.33,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
5,6,1970,1970-10-25,6,6,22.053,PIT,@,OAK,L 14-31,*,12,27,44.44,138,1,4,33.2,5,44,5.11,-0.81,2,19,9.50,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
6,7,1970,1970-11-02,7,7,22.061,PIT,,CIN,W 21-10,*,4,12,33.33,40,0,0,43.7,,,3.33,3.33,3,15,5.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
7,8,1970,1970-11-15,9,9,22.074,PIT,,KAN,L 14-31,,8,19,42.11,74,1,3,31.4,1,10,3.89,-2.16,3,30,10.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
8,9,1970,1970-11-22,10,10,22.081,PIT,@,CIN,L 7-34,*,8,19,42.11,101,0,3,19.7,,,5.32,-1.79,,,,,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
9,10,1970,1970-11-29,11,11,22.088,PIT,,CLE,W 28-9,,4,9,44.44,197,2,0,130.8,1,9,21.89,26.33,5,49,9.80,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
10,11,1970,1970-12-06,12,12,22.095,PIT,,GNB,L 12-20,,3,20,15.00,110,1,4,27.1,,,5.50,-2.50,3,14,4.67,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
11,12,1970,1970-12-13,13,13,22.102,PIT,@,ATL,L 16-27,,3,12,25.00,30,0,2,0.0,2,16,2.50,-5.00,1,14,14.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
12,13,1970,1970-12-20,14,14,22.109,PIT,@,PHI,L 20-30,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,3,52,17.33,1,Terry Bradshaw,BradTe00
13,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Terry Bradshaw,BradTe00
14,14,1971,1971-09-19,1,1,23.017,PIT,@,CHI,L 15-17,*,10,24,41.67,129,0,4,19.6,,,5.38,-2.13,2,4,2.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
15,15,1971,1971-09-26,2,2,23.024,PIT,,CIN,W 21-10,*,18,30,60.00,249,2,1,95.0,5,41,8.30,8.13,5,6,1.20,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
16,16,1971,1971-10-03,3,3,23.031,PIT,,SDG,W 21-17,*,15,24,62.50,175,0,0,84.5,3,18,7.29,7.29,6,38,6.33,1,,,,,1,6,0,0,,0,Terry Bradshaw,BradTe00
17,17,1971,1971-10-10,4,4,23.038,PIT,@,CLE,L 17-27,*,12,27,44.44,126,2,1,67.8,3,24,4.67,4.48,3,15,5.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
18,18,1971,1971-10-18,5,5,23.046,PIT,@,KAN,L 16-38,*,20,39,51.28,269,0,2,52.2,2,18,6.90,4.59,9,37,4.11,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
19,19,1971,1971-10-24,6,6,23.052,PIT,,HOU,W 23-16,*,21,32,65.63,279,0,3,54.0,1,9,8.72,4.50,8,26,3.25,1,,,,,1,6,0,0,,0,Terry Bradshaw,BradTe00
20,20,1971,1971-10-31,7,7,23.059,PIT,@,BAL,L 21-34,*,20,35,57.14,187,1,1,69.6,3,32,5.34,4.63,3,12,4.00,2,,,,,2,12,0,0,,0,Terry Bradshaw,BradTe00
21,21,1971,1971-11-07,8,8,23.066,PIT,,CLE,W 26-9,*,4,11,36.36,70,0,1,21.0,,,6.36,2.27,4,37,9.25,1,,,,,1,6,0,0,,0,Terry Bradshaw,BradTe00
22,22,1971,1971-11-14,9,9,23.073,PIT,@,MIA,L 21-24,*,25,36,69.44,253,3,2,93.9,4,34,7.03,6.19,2,5,2.50,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
23,23,1971,1971-11-21,10,10,23.080,PIT,,NYG,W 17-13,*,12,20,60.00,75,1,0,84.4,1,15,3.75,4.75,1,11,11.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
24,24,1971,1971-11-28,11,11,23.087,PIT,,DEN,L 10-22,*,6,17,35.29,68,0,0,48.2,3,25,4.00,4.00,3,16,5.33,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
25,25,1971,1971-12-05,12,12,23.094,PIT,@,HOU,L 3-29,*,14,31,45.16,111,0,3,15.1,5,52,3.58,-0.77,2,8,4.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
26,26,1971,1971-12-12,13,13,23.101,PIT,@,CIN,W 21-13,,6,13,46.15,105,2,0,113.8,,,8.08,11.15,2,2,1.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
27,27,1971,1971-12-19,14,14,23.108,PIT,,RAM,L 14-23,*,20,34,58.82,163,2,4,51.1,3,19,4.79,0.68,3,30,10.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
28,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Terry Bradshaw,BradTe00
29,28,1972,1972-09-17,1,1,24.015,PIT,,OAK,W 34-28,*,7,17,41.18,124,1,3,46.8,3,18,7.29,0.53,7,49,7.00,2,,,,,2,12,0,0,,0,Terry Bradshaw,BradTe00
30,29,1972,1972-09-24,2,2,24.022,PIT,@,CIN,L 10-15,*,18,34,52.94,170,0,0,67.0,4,39,5.00,5.00,3,27,9.00,1,,,,,1,6,0,0,,0,Terry Bradshaw,BradTe00
31,30,1972,1972-10-01,3,3,24.029,PIT,@,STL,W 25-19,*,25,40,62.50,229,1,1,75.9,2,20,5.73,5.10,7,35,5.00,1,,,,,1,6,0,0,,0,Terry Bradshaw,BradTe00
32,31,1972,1972-10-08,4,4,24.036,PIT,@,DAL,L 13-17,*,12,39,30.77,166,0,1,34.8,3,24,4.26,3.10,4,32,8.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
33,32,1972,1972-10-15,5,5,24.043,PIT,,HOU,W 24-7,*,9,19,47.37,70,1,0,74.5,3,24,3.68,4.74,7,34,4.86,1,,,,,1,6,0,0,,0,Terry Bradshaw,BradTe00
34,33,1972,1972-10-22,6,6,24.050,PIT,,NWE,W 33-3,*,7,11,63.64,173,1,0,137.5,1,11,15.73,17.55,2,15,7.50,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
35,34,1972,1972-10-29,7,7,24.057,PIT,@,BUF,W 38-21,*,9,17,52.94,93,1,1,64.1,,,5.47,4.00,2,6,3.00,1,,,,,1,6,0,0,,0,Terry Bradshaw,BradTe00
36,35,1972,1972-11-05,8,8,24.064,PIT,,CIN,W 40-17,*,10,20,50.00,190,3,0,122.9,2,10,9.50,12.50,1,8,8.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
37,36,1972,1972-11-12,9,9,24.071,PIT,,KAN,W 16-7,*,8,20,40.00,92,0,3,15.0,2,12,4.60,-2.15,5,34,6.80,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
38,37,1972,1972-11-19,10,10,24.078,PIT,@,CLE,L 24-26,*,10,21,47.62,136,1,1,64.8,4,33,6.48,5.29,3,17,5.67,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
39,38,1972,1972-11-26,11,11,24.085,PIT,,MIN,W 23-10,*,7,19,36.84,93,1,1,48.8,1,7,4.89,3.58,6,28,4.67,1,,,,,1,6,0,0,,0,Terry Bradshaw,BradTe00
40,39,1972,1972-12-03,12,12,24.092,PIT,,CLE,W 30-0,*,9,17,52.94,162,1,0,105.5,1,9,9.53,10.71,5,27,5.40,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
41,40,1972,1972-12-10,13,13,24.099,PIT,@,HOU,W 9-3,*,4,11,36.36,37,0,0,46.4,1,9,3.36,3.36,3,19,6.33,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
42,41,1972,1972-12-17,14,14,24.106,PIT,@,SDG,W 24-2,*,12,23,52.17,152,1,1,69.5,2,21,6.61,5.52,3,15,5.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
43,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Terry Bradshaw,BradTe00
44,42,1973,1973-09-16,1,1,25.014,PIT,,DET,W 24-10,*,15,23,65.22,154,2,1,95.2,,,6.70,6.48,8,25,3.13,1,,,,,1,6,0,0,,0,Terry Bradshaw,BradTe00
45,43,1973,1973-09-23,2,2,25.021,PIT,,CLE,W 33-6,*,5,14,35.71,140,1,1,67.6,3,20,10.00,8.21,2,16,8.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
46,44,1973,1973-09-30,3,3,25.028,PIT,@,HOU,W 36-7,*,9,17,52.94,159,1,2,65.2,3,29,9.35,5.24,5,26,5.20,1,,,,,1,6,0,0,,0,Terry Bradshaw,BradTe00
47,45,1973,1973-10-07,4,4,25.035,PIT,,SDG,W 38-21,*,7,16,43.75,99,1,1,59.1,1,13,6.19,4.63,4,28,7.00,1,,,,,1,6,0,0,,0,Terry Bradshaw,BradTe00
48,46,1973,1973-10-14,5,5,25.042,PIT,@,CIN,L 7-19,*,9,14,64.29,106,0,1,57.4,4,39,7.57,4.36,2,3,1.50,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
49,47,1973,1973-10-21,6,6,25.049,PIT,,NYJ,W 26-14,*,8,18,44.44,119,0,1,43.5,1,6,6.61,4.11,4,22,5.50,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
50,48,1973,1973-10-28,7,7,25.056,PIT,,CIN,W 20-13,*,3,7,42.86,37,0,1,20.2,2,8,5.29,-1.14,1,4,4.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
51,49,1973,1973-12-03,12,12,25.092,PIT,@,MIA,L 26-30,,14,35,40.00,117,2,3,32.7,4,27,3.34,0.63,2,3,1.50,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
52,50,1973,1973-12-09,13,13,25.098,PIT,,HOU,W 33-7,*,11,20,55.00,117,2,4,66.0,2,15,5.85,-1.15,3,8,2.67,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
53,51,1973,1973-12-15,14,14,25.104,PIT,@,SFO,W 37-14,*,8,16,50.00,135,1,0,99.7,4,29,8.44,9.69,3,10,3.33,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
54,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Terry Bradshaw,BradTe00
55,52,1974,1974-09-29,3,3,26.027,PIT,,OAK,L 0-17,,1,2,50.00,11,0,1,27.1,,,5.50,-17.00,2,18,9.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
56,53,1974,1974-10-28,7,7,26.056,PIT,,ATL,W 24-17,*,9,21,42.86,130,0,2,24.0,1,10,6.19,1.90,9,16,1.78,1,,,,,1,6,0,0,,0,Terry Bradshaw,BradTe00
57,54,1974,1974-11-03,8,8,26.062,PIT,,PHI,W 27-0,*,12,22,54.55,146,1,0,90.3,1,9,6.64,7.55,4,48,12.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
58,55,1974,1974-11-10,9,9,26.069,PIT,@,CIN,L 10-17,*,13,35,37.14,140,0,1,37.8,1,12,4.00,2.71,6,31,5.17,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
59,56,1974,1974-11-25,11,11,26.084,PIT,@,NOR,W 28-7,*,8,19,42.11,80,2,2,50.2,2,18,4.21,1.58,9,99,11.00,1,,,,,1,6,0,0,,0,Terry Bradshaw,BradTe00
60,57,1974,1974-12-01,12,12,26.090,PIT,,HOU,L 10-13,*,6,20,30.00,60,1,1,35.4,3,38,3.00,1.75,2,2,1.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
61,58,1974,1974-12-08,13,13,26.097,PIT,@,NWE,W 21-17,*,10,16,62.50,86,1,1,71.4,2,17,5.38,3.81,1,6,6.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
62,59,1974,1974-12-14,14,14,26.103,PIT,,CIN,W 27-3,*,8,13,61.54,132,2,0,135.3,,,10.15,13.23,1,4,4.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
