,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Punting,Punting,Punting,Punting,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,,
0,1,1954,1954-09-26,1,1,22.341,CHI,@,DET,L 23-48,*,2,12,16.67,118,1,4,56.2,,,9.83,-3.50,1,-2,-2.00,0,0,0,0,0,,,Zeke Bratkowski,BratZe00
1,2,1954,1954-10-03,2,2,22.348,CHI,@,GNB,W 10-3,,2,3,66.67,23,0,0,89.6,,,7.67,7.67,,,,,0,0,0,0,,,Zeke Bratkowski,BratZe00
2,3,1954,1954-11-14,8,8,23.025,CHI,,CLE,L 10-39,,6,14,42.86,104,1,3,53.0,,7,7.43,-0.79,3,13,4.33,0,0,0,0,0,,,Zeke Bratkowski,BratZe00
3,4,1954,1954-11-21,9,9,23.032,CHI,@,BAL,W 28-13,*,13,21,61.90,183,1,1,86.0,,10,8.71,7.52,4,-12,-3.00,1,1,6,0,0,,,Zeke Bratkowski,BratZe00
4,5,1954,1954-11-28,10,10,23.039,CHI,,RAM,W 24-13,*,14,28,50.00,237,2,4,63.2,,10,8.46,3.46,2,25,12.50,0,0,0,0,0,,,Zeke Bratkowski,BratZe00
5,6,1954,1954-12-05,11,11,23.046,CHI,@,CRD,W 29-7,*,15,30,50.00,238,1,3,48.3,,22,7.93,4.10,3,9,3.00,0,0,0,0,0,,,Zeke Bratkowski,BratZe00
6,7,1954,1954-12-12,12,12,23.053,CHI,,DET,W 28-24,*,15,22,68.18,184,2,2,86.2,,3,8.36,6.09,2,2,1.00,0,0,0,0,0,,,Zeke Bratkowski,BratZe00
7,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Zeke Bratkowski,BratZe00
8,8,1957,1957-09-29,1,1,25.344,CHI,@,GNB,L 17-21,,2,4,50.00,34,0,1,39.6,,,8.50,-2.75,1,10,10.00,0,0,0,0,0,,,Zeke Bratkowski,BratZe00
9,9,1957,1957-10-05,2,2,25.350,CHI,@,BAL,L 10-21,,0,1,0.00,0,0,0,39.6,,,0.00,0.00,,,,,0,0,0,0,,,Zeke Bratkowski,BratZe00
10,10,1957,1957-10-13,3,3,25.358,CHI,,SFO,L 17-21,*,1,3,33.33,9,0,0,42.4,,,3.00,3.00,4,30,7.50,0,0,0,0,0,,,Zeke Bratkowski,BratZe00
11,11,1957,1957-10-20,4,4,26.000,CHI,,RAM,W 34-26,*,7,13,53.85,121,0,2,46.2,,6,9.31,2.38,,,,,0,0,0,0,,,Zeke Bratkowski,BratZe00
12,12,1957,1957-10-27,5,5,26.007,CHI,@,SFO,L 17-21,,7,16,43.75,68,0,2,16.7,,,4.25,-1.38,,,,,0,0,0,0,,,Zeke Bratkowski,BratZe00
13,13,1957,1957-11-03,6,6,26.014,CHI,@,RAM,W 16-10,,3,8,37.50,73,0,0,71.4,,,9.13,9.13,1,14,14.00,0,0,0,0,0,,,Zeke Bratkowski,BratZe00
