,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 41_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
0,1,2014,2014-09-07,1,1,,MIN,@,STL,W 34-6,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Teddy Bridgewater,BridTe00
1,2,2014,2014-09-14,2,2,,MIN,,NWE,L 7-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Teddy Bridgewater,BridTe00
2,3,2014,2014-09-21,3,3,21.315,MIN,@,NOR,L 9-20,,12,20,60.00,150,0,0,83.3,2,15,7.50,7.50,6,27,4.50,0,,0,0,0,0,0,0,0,0,40,71%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
3,4,2014,2014-09-28,4,4,21.322,MIN,,ATL,W 41-28,*,19,30,63.33,317,0,0,98.9,0,0,10.57,10.57,5,27,5.40,1,,1,6,0,0,0,0,0,0,66,87%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
4,5,2014,2014-10-02,5,5,,MIN,@,GNB,L 10-42,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Teddy Bridgewater,BridTe00
5,6,2014,2014-10-12,6,6,21.336,MIN,,DET,L 3-17,*,23,37,62.16,188,0,3,41.3,8,45,5.08,1.43,3,11,3.67,0,,0,0,1,0,0,0,0,0,68,100%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
6,7,2014,2014-10-19,7,7,21.343,MIN,@,BUF,L 16-17,*,15,26,57.69,157,1,2,56.1,5,39,6.04,3.35,1,7,7.00,0,,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
7,8,2014,2014-10-26,8,8,21.350,MIN,@,TAM,W 19-13,*,24,42,57.14,241,1,0,81.5,1,6,5.74,6.21,1,3,3.00,0,,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
8,9,2014,2014-11-02,9,9,21.357,MIN,,WAS,W 29-26,*,26,42,61.90,268,1,0,88.2,2,16,6.38,6.86,3,20,6.67,0,,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
9,10,2014,2014-11-16,10,11,22.006,MIN,@,CHI,L 13-21,*,18,28,64.29,158,1,1,76.2,2,11,5.64,4.75,4,2,0.50,0,,0,0,0,0,0,0,0,0,47,100%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
10,11,2014,2014-11-23,11,12,22.013,MIN,,GNB,L 21-24,*,21,37,56.76,210,2,1,79.8,2,14,5.68,5.54,5,32,6.40,0,,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
11,12,2014,2014-11-30,12,13,22.020,MIN,,CAR,W 31-13,*,15,21,71.43,138,2,0,120.7,3,20,6.57,8.48,2,12,6.00,0,,0,0,1,0,0,1,0,0,48,100%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
12,13,2014,2014-12-07,13,14,22.027,MIN,,NYJ,W 30-24,*,19,27,70.37,309,2,1,117.7,3,12,11.44,11.26,3,7,2.33,0,,0,0,0,0,0,0,0,0,58,100%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
13,14,2014,2014-12-14,14,15,22.034,MIN,@,DET,L 14-16,*,31,41,75.61,315,1,2,84.9,4,31,7.68,5.98,3,30,10.00,0,,0,0,1,0,0,0,0,0,69,100%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
14,15,2014,2014-12-21,15,16,22.041,MIN,@,MIA,L 35-37,*,19,26,73.08,259,2,1,114.1,4,21,9.96,9.77,5,13,2.60,0,,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
15,16,2014,2014-12-28,16,17,22.048,MIN,,CHI,W 13-9,*,17,25,68.00,209,1,1,90.2,3,19,8.36,7.36,6,18,3.00,0,,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Teddy Bridgewater,BridTe00
17,17,2015,2015-09-14,1,1,22.308,MIN,@,SFO,L 3-20,*,23,32,71.88,231,0,1,79.0,5,54,7.22,5.81,3,16,5.33,0,,0,0,0,0,0,0,0,0,54,100%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
18,18,2015,2015-09-20,2,2,22.314,MIN,,DET,W 26-16,*,14,18,77.78,153,1,0,120.6,1,2,8.50,9.61,6,21,3.50,1,,1,6,0,0,0,0,0,0,65,100%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
19,19,2015,2015-09-27,3,3,22.321,MIN,,SDG,W 31-14,*,13,24,54.17,121,0,1,50.9,0,0,5.04,3.17,1,-1,-1.00,0,,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
20,20,2015,2015-10-04,4,4,22.328,MIN,@,DEN,L 20-23,*,27,41,65.85,269,1,0,92.4,7,57,6.56,7.05,3,23,7.67,0,,0,0,1,1,0,0,0,0,73,100%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
21,21,2015,2015-10-18,5,6,22.342,MIN,,KAN,W 16-10,*,17,31,54.84,249,1,2,65.1,2,12,8.03,5.77,3,-5,-1.67,0,,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
22,22,2015,2015-10-25,6,7,22.349,MIN,@,DET,W 28-19,*,25,35,71.43,316,2,0,118.3,4,31,9.03,10.17,3,1,0.33,0,,0,0,2,1,0,0,0,0,75,100%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
23,23,2015,2015-11-01,7,8,22.356,MIN,@,CHI,W 23-20,*,17,30,56.67,187,1,1,72.5,1,7,6.23,5.40,2,21,10.50,0,,0,0,0,0,0,0,0,0,58,100%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
24,24,2015,2015-11-08,8,9,22.363,MIN,,STL,W 21-18,*,13,21,61.90,144,0,1,62.4,0,0,6.86,4.71,3,17,5.67,1,1,1,8,0,0,0,0,0,0,51,71%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
25,25,2015,2015-11-15,9,10,23.005,MIN,@,OAK,W 30-14,*,14,22,63.64,140,1,0,96.8,4,18,6.36,7.27,2,23,11.50,0,,0,0,1,0,0,0,0,0,62,100%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
26,26,2015,2015-11-22,10,11,23.012,MIN,,GNB,L 13-30,*,25,37,67.57,296,1,0,100.7,6,48,8.00,8.54,4,43,10.75,0,,0,0,0,0,0,0,0,0,63,98%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
27,27,2015,2015-11-29,11,12,23.019,MIN,@,ATL,W 20-10,*,20,28,71.43,174,0,1,72.6,0,0,6.21,4.61,4,-3,-0.75,0,,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
28,28,2015,2015-12-06,12,13,23.026,MIN,,SEA,L 7-38,*,17,28,60.71,118,0,1,55.4,4,24,4.21,2.61,1,2,2.00,0,,0,0,1,0,0,0,0,0,52,100%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
