,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 41_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,1986,1986-10-13,6,6,24.059,PIT,@,CIN,L 22-24,*,12,33,36.36,191,0,0,56.5,1,11,5.79,5.79,5,8,1.60,1,,0,0,,0,,,1,6,0,,0,0,0,0,,Bubby Brister,BrisBu00
1,2,1986,1986-10-19,7,7,24.065,PIT,,NWE,L 0-34,*,9,27,33.33,100,0,2,14.4,5,46,3.70,0.37,1,2,2.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bubby Brister,BrisBu00
2,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Bubby Brister,BrisBu00
3,3,1987,1987-09-20,2,2,25.036,PIT,@,CLE,L 10-34,,1,5,20.00,10,0,1,0.0,1,5,2.00,-7.00,0,0,,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bubby Brister,BrisBu00
4,4,1987,1987-11-15,9,10,25.092,PIT,,HOU,L 3-23,,3,7,42.86,10,0,2,10.7,1,9,1.43,-11.43,0,0,,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bubby Brister,BrisBu00
5,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Bubby Brister,BrisBu00
6,5,1988,1988-09-04,1,1,26.020,PIT,,DAL,W 24-21,*,13,27,48.15,214,0,0,75.2,1,0,7.93,7.93,3,12,4.00,1,,0,0,,0,,,1,6,0,,0,0,0,0,,Bubby Brister,BrisBu00
7,6,1988,1988-09-11,2,2,26.027,PIT,@,WAS,L 29-30,*,12,28,42.86,258,2,0,100.0,0,0,9.21,10.64,2,10,5.00,1,,0,0,,0,,,1,6,0,,0,0,0,0,,Bubby Brister,BrisBu00
8,7,1988,1988-09-18,3,3,26.034,PIT,,CIN,L 12-17,*,15,30,50.00,235,1,2,59.7,5,40,7.83,5.50,8,40,5.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bubby Brister,BrisBu00
