,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,,
0,1,1957,1957-11-10,7,7,22.088,SFO,@,RAM,L 24-37,,0,1,0.00,0,0,0,39.6,,,0.00,0.00,,,,,0,0,John Brodie,BrodJo00
1,2,1957,1957-11-17,8,8,22.095,SFO,@,DET,L 10-31,,5,6,83.33,71,1,1,116.0,,,11.83,7.67,,,,,0,0,John Brodie,BrodJo00
2,3,1957,1957-12-01,10,10,22.109,SFO,@,NYG,W 27-17,,,,,,,,,,,,,2,0,0.00,0,0,0,John Brodie,BrodJo00
3,4,1957,1957-12-08,11,11,22.116,SFO,,BAL,W 17-13,,1,2,50.00,14,1,0,112.5,,,7.00,17.00,,,,,0,0,John Brodie,BrodJo00
4,5,1957,1957-12-15,12,12,22.123,SFO,,GNB,W 27-20,*,5,12,41.67,75,0,2,23.3,,,6.25,-1.25,,,,,0,0,John Brodie,BrodJo00
5,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,John Brodie,BrodJo00
6,6,1958,1958-09-28,1,1,23.045,SFO,,PIT,W 23-20,*,19,28,67.86,244,0,1,80.1,,16,8.71,7.11,2,5,2.50,1,1,6,John Brodie,BrodJo00
7,7,1958,1958-10-05,2,2,23.052,SFO,,RAM,L 3-33,*,5,10,50.00,62,0,3,30.0,,,6.20,-7.30,,,,,0,0,John Brodie,BrodJo00
8,8,1958,1958-10-12,3,3,23.059,SFO,@,CHI,L 6-28,,3,7,42.86,20,0,1,10.7,,,2.86,-3.57,,,,,0,0,John Brodie,BrodJo00
9,9,1958,1958-10-19,4,4,23.066,SFO,@,PHI,W 30-24,*,13,23,56.52,276,2,0,128.2,,7,12.00,13.74,3,-2,-0.67,0,0,0,John Brodie,BrodJo00
10,10,1958,1958-10-26,5,5,23.073,SFO,,CHI,L 14-27,*,25,36,69.44,266,1,2,76.9,,15,7.39,5.44,4,-7,-1.75,0,0,0,John Brodie,BrodJo00
