,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Punting,Punting,Punting,Punting,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Int,Yds,TD,PD,Pnt,Yds,Y/P,Blck,,
0,1,1954,1954-09-26,1,1,25.335,CHI,@,DET,L 23-48,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,8,0,,,,,,Ed Brown,BrowEd01
1,2,1954,1954-10-17,4,4,25.356,CHI,,SFO,L 24-31,,1,3,33.33,40,0,1,42.4,,,13.33,-1.67,2,0,0.00,0,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
2,3,1954,1954-10-31,6,6,26.005,CHI,@,SFO,W 31-27,,1,1,100.00,66,1,0,158.3,,,66.00,86.00,,,,,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
3,4,1954,1954-11-14,8,8,26.019,CHI,,CLE,L 10-39,,,,,,,,,,,,,1,-10,-10.00,0,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
4,5,1954,1954-11-21,9,9,26.026,CHI,@,BAL,W 28-13,,0,2,0.00,0,0,0,39.6,,,0.00,0.00,2,13,6.50,0,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
5,6,1954,1954-11-28,10,10,26.033,CHI,,RAM,W 24-13,,1,1,100.00,9,0,0,104.2,,,9.00,9.00,,,,,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
6,7,1954,1954-12-05,11,11,26.040,CHI,@,CRD,W 29-7,,4,7,57.14,130,1,0,141.4,,,18.57,21.43,1,6,6.00,0,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
7,8,1954,1954-12-12,12,12,26.047,CHI,,DET,W 28-24,,3,3,100.00,38,1,0,158.3,,28,12.67,19.33,3,27,9.00,0,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
8,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Int,Yds,TD,PD,Pnt,Yds,Y/P,Blck,Ed Brown,BrowEd01
9,9,1955,1955-09-25,1,1,26.334,CHI,@,BAL,L 17-23,*,11,21,52.38,141,0,2,34.1,,31,6.71,2.43,6,10,1.67,0,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
10,10,1955,1955-10-02,2,2,26.341,CHI,@,GNB,L 3-24,*,5,16,31.25,93,0,4,12.8,,,5.81,-5.44,5,12,2.40,0,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
11,11,1955,1955-10-09,3,3,26.348,CHI,,SFO,L 19-20,*,12,22,54.55,169,0,0,79.5,,15,7.68,7.68,3,5,1.67,0,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
12,12,1955,1955-10-16,4,4,26.355,CHI,,BAL,W 38-10,*,1,3,33.33,14,0,0,49.3,,4,4.67,4.67,1,0,0.00,0,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
13,13,1955,1955-10-23,5,5,26.362,CHI,@,SFO,W 34-23,*,13,18,72.22,157,1,1,94.0,,8,8.72,7.33,9,67,7.44,2,0,0,,0,,,,,,,2,12,,,,,0,0,,,Ed Brown,BrowEd01
14,14,1955,1955-10-30,6,6,27.004,CHI,@,RAM,W 31-20,*,7,12,58.33,157,1,1,95.8,,,13.08,11.00,3,15,5.00,0,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
15,15,1955,1955-11-06,7,7,27.011,CHI,,GNB,W 52-31,*,4,7,57.14,56,1,1,83.0,,9,8.00,4.43,3,37,12.33,0,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
16,16,1955,1955-11-13,8,8,27.018,CHI,,RAM,W 24-3,*,11,19,57.89,229,2,0,135.6,,8,12.05,14.16,1,5,5.00,0,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
17,17,1955,1955-11-20,9,9,27.025,CHI,@,DET,W 24-14,*,15,18,83.33,221,3,0,157.4,,,12.28,15.61,3,31,10.33,0,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
18,18,1955,1955-11-27,10,10,27.032,CHI,@,CRD,L 14-53,*,0,7,0.00,0,0,1,0.0,,,0.00,-6.43,3,12,4.00,0,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
19,19,1955,1955-12-04,11,11,27.039,CHI,,DET,W 21-20,*,4,12,33.33,34,1,0,70.1,,20,2.83,4.50,5,7,1.40,0,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
20,20,1955,1955-12-11,12,12,27.046,CHI,,PHI,W 17-10,*,2,9,22.22,36,0,0,43.7,,,4.00,4.00,1,2,2.00,0,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
21,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Int,Yds,TD,PD,Pnt,Yds,Y/P,Blck,Ed Brown,BrowEd01
22,21,1956,1956-09-30,1,1,27.340,CHI,@,BAL,L 21-28,*,10,16,62.50,144,2,0,131.2,,43,9.00,11.50,5,32,6.40,0,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
23,22,1956,1956-10-07,2,2,27.347,CHI,@,GNB,W 37-21,*,11,16,68.75,184,2,1,120.8,,,11.50,11.19,5,25,5.00,0,0,0,,0,,,,,,,1,6,,,,,0,0,,,Ed Brown,BrowEd01
24,23,1956,1956-10-14,3,3,27.354,CHI,,SFO,W 31-7,*,5,7,71.43,46,0,0,89.0,,,6.57,6.57,3,5,1.67,1,0,0,,0,,,,,,,1,6,,,,,0,0,,,Ed Brown,BrowEd01
25,24,1956,1956-10-21,4,4,27.361,CHI,,BAL,W 58-27,*,9,13,69.23,195,2,1,119.4,,,15.00,14.62,2,11,5.50,0,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
26,25,1956,1956-10-28,5,5,28.002,CHI,@,SFO,W 38-21,*,9,13,69.23,135,0,1,71.0,,,10.38,6.92,4,33,8.25,0,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
27,26,1956,1956-11-04,6,6,28.009,CHI,@,RAM,W 35-24,*,5,15,33.33,121,1,1,57.9,,4,8.07,6.40,3,3,1.00,0,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
28,27,1956,1956-11-11,7,7,28.016,CHI,,GNB,W 38-14,*,8,10,80.00,182,1,0,152.1,,7,18.20,20.20,,,,,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
29,28,1956,1956-11-18,8,8,28.023,CHI,,RAM,W 30-21,*,13,19,68.42,271,1,2,89.1,,10,14.26,10.58,3,17,5.67,0,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
30,29,1956,1956-11-25,9,9,28.030,CHI,@,NYG,T 17-17,*,8,15,53.33,128,1,1,76.5,,,8.53,6.87,6,-21,-3.50,0,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
31,30,1956,1956-12-02,10,10,28.037,CHI,@,DET,L 10-42,*,7,15,46.67,75,0,2,22.2,,34,5.00,-1.00,3,-3,-1.00,0,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
32,31,1956,1956-12-09,11,11,28.044,CHI,,CRD,W 10-3,*,3,14,21.43,44,0,2,0.6,,,3.14,-3.29,3,55,18.33,0,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
33,32,1956,1956-12-16,12,12,28.051,CHI,,DET,W 38-21,*,8,15,53.33,142,1,1,80.4,,5,9.47,7.80,3,7,2.33,0,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
34,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Int,Yds,TD,PD,Pnt,Yds,Y/P,Blck,Ed Brown,BrowEd01
35,33,1957,1957-09-29,1,1,28.338,CHI,@,GNB,L 17-21,*,12,24,50.00,197,1,4,52.3,,10,8.21,1.54,2,0,0.00,1,0,0,,0,,,,,,,1,6,,,,,0,0,,,Ed Brown,BrowEd01
36,34,1957,1957-10-05,2,2,28.344,CHI,@,BAL,L 10-21,*,8,22,36.36,153,1,2,38.6,,20,6.95,3.77,5,1,0.20,0,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
37,35,1957,1957-10-13,3,3,28.352,CHI,,SFO,L 17-21,,5,14,35.71,84,0,1,27.1,,16,6.00,2.79,3,33,11.00,0,0,0,,0,,,,,,,0,0,,,,,0,0,,,Ed Brown,BrowEd01
