,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,,
0,1,1953,1953-10-11,3,3,23.026,RAM,@,GNB,W 38-20,,5,8,62.50,84,0,0,97.9,,14,10.50,10.50,2,5,2.50,1,1,6,Rudy Bukich,BukiRu00
1,2,1953,1953-10-25,5,5,23.040,RAM,,CHI,W 38-24,,,,,,,,,,,,,1,6,6.00,0,0,0,Rudy Bukich,BukiRu00
2,3,1953,1953-11-01,6,6,23.047,RAM,,DET,W 37-24,,2,3,66.67,28,0,0,96.5,,,9.33,9.33,1,5,5.00,0,0,0,Rudy Bukich,BukiRu00
3,4,1953,1953-11-15,8,8,23.061,RAM,@,CRD,T 24-24,,4,10,40.00,45,0,0,54.2,,,4.50,4.50,3,27,9.00,0,0,0,Rudy Bukich,BukiRu00
4,5,1953,1953-11-22,9,9,23.068,RAM,@,BAL,W 21-13,,1,3,33.33,3,0,1,2.8,,,1.00,-14.00,3,-3,-1.00,0,0,0,Rudy Bukich,BukiRu00
5,6,1953,1953-11-29,10,10,23.075,RAM,@,CHI,L 21-24,,0,1,0.00,0,0,0,39.6,,,0.00,0.00,,,,,0,0,Rudy Bukich,BukiRu00
6,7,1953,1953-12-05,11,11,23.081,RAM,,BAL,W 45-2,,2,4,50.00,9,0,0,56.2,,32,2.25,2.25,4,-12,-3.00,0,0,0,Rudy Bukich,BukiRu00
7,8,1953,1953-12-12,12,12,23.088,RAM,,GNB,W 33-17,,0,3,0.00,0,0,2,0.0,,,0.00,-30.00,,,,,0,0,Rudy Bukich,BukiRu00
8,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Rudy Bukich,BukiRu00
9,9,1956,1956-10-21,4,4,26.036,RAM,@,GNB,L 17-42,,6,15,40.00,109,1,2,48.3,,,7.27,2.60,1,8,8.00,0,0,0,Rudy Bukich,BukiRu00
10,10,1956,1956-12-02,10,10,26.078,RAM,@,PIT,L 13-30,,3,4,75.00,13,0,1,38.5,,40,3.25,-8.00,,,,,0,0,Rudy Bukich,BukiRu00
11,11,1956,1956-12-16,12,12,26.092,RAM,,GNB,W 49-21,,1,4,25.00,8,0,0,39.6,,,2.00,2.00,,,,,0,0,Rudy Bukich,BukiRu00
12,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Rudy Bukich,BukiRu00
13,12,1957,1957-09-29,1,1,27.014,WAS,@,PIT,L 7-28,,2,9,22.22,27,0,2,0.0,,,3.00,-7.00,2,5,2.50,0,0,0,Rudy Bukich,BukiRu00
14,13,1957,1957-10-06,2,2,27.021,WAS,@,CRD,W 37-14,,2,6,33.33,29,0,0,50.0,,,4.83,4.83,1,16,16.00,0,0,0,Rudy Bukich,BukiRu00
15,14,1957,1957-10-20,4,4,27.035,WAS,,CRD,L 14-44,,0,5,0.00,0,0,1,0.0,,,0.00,-9.00,2,-6,-3.00,0,0,0,Rudy Bukich,BukiRu00
16,15,1957,1957-11-03,6,6,27.049,WAS,@,CLE,L 17-21,,2,5,40.00,47,0,0,74.6,,,9.40,9.40,1,-5,-5.00,0,0,0,Rudy Bukich,BukiRu00
17,16,1957,1957-11-10,7,7,27.056,WAS,,BAL,L 17-21,,0,1,0.00,0,0,0,39.6,,,0.00,0.00,1,-13,-13.00,0,0,0,Rudy Bukich,BukiRu00
18,17,1957,1957-12-01,10,10,27.077,WAS,@,CHI,W 14-3,,,,,,,,,,13,,,1,1,1.00,0,0,0,Rudy Bukich,BukiRu00
19,18,1957,1957-12-08,11,11,27.084,WAS,,PHI,W 42-7,,0,2,0.00,0,0,0,39.6,,,0.00,0.00,,,,,0,0,Rudy Bukich,BukiRu00
20,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Rudy Bukich,BukiRu00
21,19,1958,1958-10-04,2,2,28.019,WAS,@,CRD,L 10-37,,6,13,46.15,100,1,0,98.2,,18,7.69,9.23,1,23,23.00,0,0,0,Rudy Bukich,BukiRu00
22,20,1958,1958-10-19,4,4,28.034,WAS,,GNB,W 37-21,,2,6,33.33,66,0,0,75.7,,,11.00,11.00,,,,,0,0,Rudy Bukich,BukiRu00
23,21,1958,1958-10-26,5,5,28.041,WAS,@,BAL,L 10-35,,0,3,0.00,0,0,1,0.0,,13,0.00,-15.00,,,,,0,0,Rudy Bukich,BukiRu00
24,22,1958,1958-12-14,12,12,28.090,CHI,,DET,W 21-16,,0,1,0.00,0,0,0,39.6,,8,0.00,0.00,1,-7,-7.00,0,0,0,Rudy Bukich,BukiRu00
25,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Rudy Bukich,BukiRu00
