,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Unnamed: 28_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 46_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
0,1,2020,2020-09-13,1,1,23.278,CIN,,LAC,L 13-16,*,23,36,63.89,193,0,1,66.1,3,20,5.36,4.11,8,46,5.75,1,1,6,0.0,0,0,0,0,0,1,0,0,0,-5,0,68,100%,0,0%,0,0%,,Joe Burrow,BurrJo01
1,2,2020,2020-09-17,2,2,23.282,CIN,@,CLE,L 30-35,*,37,61,60.66,316,3,0,90.6,3,31,5.18,6.16,7,19,2.71,0,0,0,0.0,0,0,0,0,0,2,1,0,1,-22,0,92,100%,0,0%,0,0%,,Joe Burrow,BurrJo01
2,3,2020,2020-09-27,3,3,23.292,CIN,@,PHI,T 23-23,*,31,44,70.45,312,2,0,105.5,8,56,7.09,8.00,1,-1,-1.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,71,99%,0,0%,0,0%,,Joe Burrow,BurrJo01
3,4,2020,2020-10-04,4,4,23.299,CIN,,JAX,W 33-25,*,25,36,69.44,300,1,1,92.4,1,0,8.33,7.64,4,11,2.75,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,,Joe Burrow,BurrJo01
4,5,2020,2020-10-11,5,5,23.306,CIN,@,BAL,L 3-27,*,19,30,63.33,183,0,1,66.4,7,48,6.10,4.60,3,10,3.33,0,0,0,0.0,0,0,0,0,0,2,1,0,0,0,0,67,100%,0,0%,0,0%,,Joe Burrow,BurrJo01
5,6,2020,2020-10-18,6,6,23.313,CIN,@,IND,L 27-31,*,25,39,64.10,313,0,1,78.3,2,13,8.03,6.87,3,2,0.67,1,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,,Joe Burrow,BurrJo01
6,7,2020,2020-10-25,7,7,23.320,CIN,,CLE,L 34-37,*,35,47,74.47,406,3,1,112.5,4,35,8.64,8.96,6,34,5.67,1,1,6,0.0,0,0,0,0,0,3,1,0,2,0,0,75,100%,0,0%,0,0%,,Joe Burrow,BurrJo01
7,8,2020,2020-11-01,8,8,23.327,CIN,,TEN,W 31-20,*,26,37,70.27,249,2,0,106.7,0,0,6.73,7.81,3,9,3.00,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,73,100%,0,0%,0,0%,,Joe Burrow,BurrJo01
8,9,2020,2020-11-15,9,10,23.341,CIN,@,PIT,L 10-36,*,21,40,52.50,213,1,0,76.4,4,28,5.33,5.83,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,,Joe Burrow,BurrJo01
9,10,2020,2020-11-22,10,11,23.348,CIN,@,WAS,L 9-20,*,22,34,64.71,203,1,0,90.7,0,0,5.97,6.56,2,12,6.00,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,50,74%,0,0%,0,0%,,Joe Burrow,BurrJo01
10,11,2020,2020-11-29,11,12,,CIN,,NYG,L 17-19,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Joe Burrow,BurrJo01
