,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 47_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
0,1,2014,2014-09-07,1,1,23.163,OAK,@,NYJ,L 14-19,*,20,32,62.50,151,2,0,94.7,2,18,4.72,5.97,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,1,0,0,52,100%,0,0%,0,0%,,Derek Carr,CarrDe02
1,2,2014,2014-09-14,2,2,23.170,OAK,,HOU,L 14-30,*,27,42,64.29,263,1,2,69.8,0,0,6.26,4.60,4,58,14.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,,Derek Carr,CarrDe02
2,3,2014,2014-09-21,3,3,23.177,OAK,@,NWE,L 9-16,*,21,34,61.76,174,0,1,62.6,0,0,5.12,3.79,0,0,,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,59,100%,0,0%,0,0%,,Derek Carr,CarrDe02
3,4,2014,2014-09-28,4,4,23.184,OAK,,MIA,L 14-38,*,16,25,64.00,146,1,1,76.4,1,3,5.84,4.84,2,9,4.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,41,63%,0,0%,0,0%,,Derek Carr,CarrDe02
4,5,2014,2014-10-12,5,6,23.198,OAK,,SDG,L 28-31,*,18,34,52.94,282,4,1,107.7,0,0,8.29,9.32,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,58,100%,0,0%,0,0%,,Derek Carr,CarrDe02
5,6,2014,2014-10-19,6,7,23.205,OAK,,ARI,L 13-24,*,16,28,57.14,173,0,0,75.4,1,9,6.18,6.18,2,2,1.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,51,100%,0,0%,0,0%,,Derek Carr,CarrDe02
6,7,2014,2014-10-26,7,8,23.212,OAK,@,CLE,L 13-23,*,34,54,62.96,328,1,0,86.0,4,17,6.07,6.44,1,2,2.00,0,1,0,0,,0,0.0%,0.00,0,0,2,1,0,0,0,0,82,100%,0,0%,0,0%,,Derek Carr,CarrDe02
7,8,2014,2014-11-02,8,9,23.219,OAK,@,SEA,L 24-30,*,24,41,58.54,194,2,2,66.5,1,5,4.73,3.51,2,9,4.50,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,61,100%,0,0%,0,0%,,Derek Carr,CarrDe02
8,9,2014,2014-11-09,9,10,23.226,OAK,,DEN,L 17-41,*,30,47,63.83,192,2,2,68.8,0,0,4.09,3.02,0,0,,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,0,0,63,100%,0,0%,0,0%,,Derek Carr,CarrDe02
9,10,2014,2014-11-16,10,11,23.233,OAK,@,SDG,L 6-13,*,16,34,47.06,172,0,0,62.4,2,10,5.06,5.06,2,0,0.00,0,0,0,0,,0,0.0%,,0,0,2,1,0,1,-2,0,58,100%,0,0%,0,0%,,Derek Carr,CarrDe02
10,11,2014,2014-11-20,11,12,23.237,OAK,,KAN,W 24-20,*,18,35,51.43,174,1,0,75.2,1,2,4.97,5.54,3,2,0.67,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,,Derek Carr,CarrDe02
11,12,2014,2014-11-30,12,13,23.247,OAK,@,STL,L 0-52,*,24,39,61.54,173,0,2,50.5,3,23,4.44,2.13,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,59,76%,0,0%,0,0%,,Derek Carr,CarrDe02
12,13,2014,2014-12-07,13,14,23.254,OAK,,SFO,W 24-13,*,22,28,78.57,254,3,0,140.2,1,9,9.07,11.21,2,2,1.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,,Derek Carr,CarrDe02
13,14,2014,2014-12-14,14,15,23.261,OAK,@,KAN,L 13-31,*,27,56,48.21,222,1,0,64.7,4,20,3.96,4.32,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,-3,0,81,100%,0,0%,0,0%,,Derek Carr,CarrDe02
14,15,2014,2014-12-21,15,16,23.268,OAK,,BUF,W 26-24,*,17,34,50.00,214,2,0,89.6,1,7,6.29,7.47,4,0,0.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,-4,0,72,100%,0,0%,0,0%,,Derek Carr,CarrDe02
15,16,2014,2014-12-28,16,17,23.275,OAK,@,DEN,L 14-47,*,18,36,50.00,158,1,1,59.7,3,26,4.39,3.69,3,6,2.00,0,0,0,0,,0,0.0%,,0,0,2,1,0,0,-21,0,58,100%,0,0%,0,0%,,Derek Carr,CarrDe02
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Derek Carr,CarrDe02
