,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 42_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,1988,1988-09-11,2,2,22.335,IND,,CHI,L 13-17,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,0,0,,,,,,,,Chris Chandler,ChanCh00
1,2,1988,1988-09-19,3,3,22.343,IND,@,CLE,L 17-23,,3,8,37.50,80,0,1,35.4,1,6,10.00,4.38,1,4,4.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
2,3,1988,1988-09-25,4,4,22.349,IND,,MIA,W 15-13,*,10,18,55.56,110,0,1,50.7,4,19,6.11,3.61,7,7,1.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
3,4,1988,1988-10-02,5,5,22.356,IND,@,NWE,L 17-21,*,14,26,53.85,172,1,1,71.3,2,8,6.62,5.65,2,-9,-4.50,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
4,5,1988,1988-10-09,6,6,22.363,IND,@,BUF,L 23-34,*,7,11,63.64,71,0,0,82.0,2,15,6.45,6.45,1,1,1.00,1,,0,0,,0,,,,1,6,0,,0,0,0,0,,Chris Chandler,ChanCh00
5,6,1988,1988-10-16,7,7,23.004,IND,,TAM,W 35-31,*,20,33,60.61,246,1,2,68.5,0,0,7.45,5.33,8,23,2.88,1,,0,0,,0,,,,1,6,0,,0,0,0,0,,Chris Chandler,ChanCh00
6,7,1988,1988-10-23,8,8,23.011,IND,@,SDG,W 16-0,*,9,17,52.94,123,0,3,36.8,0,0,7.24,-0.71,2,14,7.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
7,8,1988,1988-10-31,9,9,23.019,IND,,DEN,W 55-23,*,10,13,76.92,167,1,0,143.9,0,0,12.85,14.38,3,8,2.67,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
8,9,1988,1988-11-06,10,10,23.025,IND,,NYJ,W 38-14,*,14,22,63.64,173,1,1,84.1,0,0,7.86,6.73,5,33,6.60,1,,0,0,,0,,,,1,6,0,,0,0,0,0,,Chris Chandler,ChanCh00
