,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,,
0,1,1946,1946-10-13,4,4,28.222,CRD,@,DET,W 36-14,,20,33,60.61,263,4,2,100.1,,,7.97,7.67,0,0,,0,0,0,Paul Christman,ChriPa20
1,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Paul Christman,ChriPa20
2,2,1947,1947-09-28,1,1,29.207,CRD,,DET,W 45-21,,16,24,66.67,320,2,0,137.5,,,13.33,15.00,0,0,,0,0,0,Paul Christman,ChriPa20
3,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Paul Christman,ChriPa20
4,3,1948,1948-09-24,1,2,30.203,CRD,,PHI,W 21-14,,5,22,22.73,87,1,1,39.8,,,3.95,2.82,,,,,0,0,Paul Christman,ChriPa20
5,4,1948,1948-10-04,2,3,30.213,CRD,,CHI,L 17-28,,2,6,33.33,2,0,1,2.8,,,0.33,-7.17,,,,,0,0,Paul Christman,ChriPa20
6,5,1948,1948-11-07,7,8,30.247,CRD,,DET,W 56-20,,9,14,64.29,199,3,1,117.6,,,14.21,15.29,2,3,1.50,0,0,0,Paul Christman,ChriPa20
7,6,1948,1948-11-14,8,9,30.254,CRD,@,PIT,W 24-7,,11,18,61.11,91,0,0,74.1,,,5.06,5.06,,,,,0,0,Paul Christman,ChriPa20
8,7,1948,1948-11-21,9,10,30.261,CRD,,RAM,W 27-24,,9,17,52.94,155,0,0,84.2,,,9.12,9.12,,,,,0,0,Paul Christman,ChriPa20
9,8,1948,1948-11-25,10,11,30.265,CRD,@,DET,W 28-14,,4,11,36.36,43,0,0,48.7,,,3.91,3.91,,,,,0,0,Paul Christman,ChriPa20
10,9,1948,1948-12-05,11,12,30.275,CRD,,GNB,W 42-7,,6,10,60.00,87,1,0,121.7,,,8.70,10.70,2,0,0.00,1,1,6,Paul Christman,ChriPa20
