,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Punting,Punting,Punting,Punting,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Pnt,Yds,Y/P,Blck,,
0,1,1948,1948-09-23,1,2,27.004,NYG,@,BOS,W 27-7,,2,3,66.67,106,1,0,149.3,,,35.33,42.00,3,2,0.67,0,,,,,0,0,,,,,Charlie Conerly,ConeCh00
1,2,1948,1948-10-03,2,3,27.014,NYG,@,WAS,L 10-41,,4,10,40.00,79,0,2,28.7,,,7.90,-1.10,5,6,1.20,0,1,16,16.00,0,0,0,,,,,Charlie Conerly,ConeCh00
2,3,1948,1948-10-10,3,4,27.021,NYG,@,PHI,L 0-45,,5,14,35.71,40,0,2,4.8,,,2.86,-3.57,2,2,1.00,0,,,,,0,0,,,,,Charlie Conerly,ConeCh00
3,4,1948,1948-10-17,4,4,27.028,NYG,,CRD,L 35-63,,18,31,58.06,247,4,1,109.8,,,7.97,9.10,1,6,6.00,1,,,,,1,6,,,,,Charlie Conerly,ConeCh00
4,5,1948,1948-10-24,5,6,27.035,NYG,,PIT,W 34-27,,6,15,40.00,192,2,1,99.3,,,12.80,12.47,3,29,9.67,1,,,,,1,6,,,,,Charlie Conerly,ConeCh00
5,6,1948,1948-10-31,6,7,27.042,NYG,@,CHI,L 14-35,,8,19,42.11,92,2,1,70.5,,,4.84,4.58,1,10,10.00,0,,,,,0,0,,,,,Charlie Conerly,ConeCh00
6,7,1948,1948-11-07,7,8,27.049,NYG,,PHI,L 14-35,,11,25,44.00,172,1,1,64.1,,,6.88,5.88,6,57,9.50,0,,,,,0,0,,,,,Charlie Conerly,ConeCh00
7,8,1948,1948-11-14,8,9,27.056,NYG,,RAM,L 37-52,,14,33,42.42,141,2,3,37.6,,,4.27,1.39,2,-7,-3.50,0,2,33,16.50,0,0,0,,,,,Charlie Conerly,ConeCh00
8,9,1948,1948-11-21,9,10,27.063,NYG,@,GNB,W 49-3,,20,30,66.67,291,3,1,117.5,,,9.70,10.20,3,15,5.00,1,,,,,1,6,,,,,Charlie Conerly,ConeCh00
9,10,1948,1948-11-28,10,11,27.070,NYG,,BOS,W 28-14,,15,26,57.69,227,2,0,112.2,,,8.73,10.27,2,15,7.50,2,1,16,16.00,0,2,12,,,,,Charlie Conerly,ConeCh00
10,11,1948,1948-12-05,11,11,27.077,NYG,@,PIT,L 28-38,,36,53,67.92,363,3,1,98.2,,,6.85,7.13,2,0,0.00,0,,,,,0,0,,,,,Charlie Conerly,ConeCh00
11,12,1948,1948-12-12,12,13,27.084,NYG,,WAS,L 21-28,,23,40,57.50,225,2,0,90.1,,,5.63,6.63,,,,,1,23,23.00,0,0,0,,,,,Charlie Conerly,ConeCh00
12,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Charlie Conerly,ConeCh00
13,13,1949,1949-09-25,1,1,28.006,NYG,@,PIT,L 7-28,,18,35,51.43,154,1,1,60.9,,,4.40,3.69,2,-3,-1.50,0,,,,,0,0,,,,,Charlie Conerly,ConeCh00
14,14,1949,1949-09-30,2,2,28.011,NYG,@,NYY,W 38-14,,8,15,53.33,67,0,1,37.4,,,4.47,1.47,2,5,2.50,0,,,,,0,0,,,,,Charlie Conerly,ConeCh00
15,15,1949,1949-10-09,3,3,28.020,NYG,@,WAS,W 45-35,,11,15,73.33,206,3,1,127.1,,,13.73,14.73,1,7,7.00,0,,,,,0,0,,,,,Charlie Conerly,ConeCh00
16,16,1949,1949-10-16,4,4,28.027,NYG,,PIT,L 17-21,,8,19,42.11,106,0,1,38.5,,,5.58,3.21,4,12,3.00,0,,,,,0,0,,,,,Charlie Conerly,ConeCh00
17,17,1949,1949-10-23,5,5,28.034,NYG,,CHI,W 35-28,,8,15,53.33,273,4,0,138.2,,,18.20,23.53,,,,,,,,,0,0,,,,,Charlie Conerly,ConeCh00
18,18,1949,1949-10-30,6,6,28.041,NYG,@,CRD,W 41-38,,9,22,40.91,139,1,1,58.7,,,6.32,5.18,,,,,,,,,0,0,,,,,Charlie Conerly,ConeCh00
19,19,1949,1949-11-06,7,7,28.048,NYG,,NYY,L 24-31,,21,38,55.26,201,1,2,57.0,,,5.29,3.45,1,5,5.00,0,,,,,0,0,,,,,Charlie Conerly,ConeCh00
20,20,1949,1949-11-13,8,8,28.055,NYG,@,GNB,W 30-10,,16,29,55.17,357,4,3,99.4,,,12.31,10.41,1,4,4.00,0,,,,,0,0,,,,,Charlie Conerly,ConeCh00
21,21,1949,1949-11-20,9,9,28.062,NYG,,DET,L 21-45,,16,25,64.00,194,1,3,61.5,,,7.76,3.16,3,-3,-1.00,0,,,,,0,0,,,,,Charlie Conerly,ConeCh00
22,22,1949,1949-11-27,10,10,28.069,NYG,,WAS,W 23-7,,14,32,43.75,218,2,1,74.7,,,6.81,6.66,1,1,1.00,0,,,,,0,0,,,,,Charlie Conerly,ConeCh00
23,23,1949,1949-12-04,11,11,28.076,NYG,,PHI,L 3-24,,14,37,37.84,125,0,3,13.9,,,3.38,-0.27,2,7,3.50,0,,,,,0,0,,,,,Charlie Conerly,ConeCh00
