,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Unnamed: 36_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 48_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,1999,1999-09-12,1,1,22.043,CLE,,PIT,L 0-43,,0,3,0.00,0,0,1,0.0,1,7,0.00,-15.00,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,1,0,0,0,0,,Tim Couch,CoucTi00
1,2,1999,1999-09-19,2,2,22.050,CLE,@,TEN,L 9-26,*,12,24,50.00,134,1,0,80.9,7,44,5.58,6.42,5,40,8.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,1,0,0,0,0,,Tim Couch,CoucTi00
2,3,1999,1999-09-26,3,3,22.057,CLE,@,BAL,L 10-17,*,13,32,40.63,123,1,1,49.3,4,34,3.84,3.06,6,49,8.17,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,1,0,0,0,0,,Tim Couch,CoucTi00
3,4,1999,1999-10-03,4,4,22.064,CLE,,NWE,L 7-19,*,13,28,46.43,201,1,0,82.6,4,21,7.18,7.89,3,11,3.67,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,0,0,0,-5,0,,Tim Couch,CoucTi00
4,5,1999,1999-10-10,5,5,22.071,CLE,,CIN,L 17-18,*,15,27,55.56,164,0,1,58.3,3,20,6.07,4.41,1,5,5.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,0,0,0,0,0,,Tim Couch,CoucTi00
5,6,1999,1999-10-17,6,6,22.078,CLE,@,JAX,L 7-24,*,18,23,78.26,161,1,0,110.3,4,31,7.00,7.87,2,36,18.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Tim Couch,CoucTi00
6,7,1999,1999-10-24,7,7,22.085,CLE,@,STL,L 3-34,*,22,40,55.00,185,0,2,46.4,1,7,4.63,2.38,2,50,25.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,,Tim Couch,CoucTi00
7,8,1999,1999-10-31,8,8,22.092,CLE,@,NOR,W 21-16,*,11,19,57.89,193,3,0,132.2,2,12,10.16,13.32,2,5,2.50,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Tim Couch,CoucTi00
8,9,1999,1999-11-07,9,9,22.099,CLE,,BAL,L 9-41,*,9,21,42.86,57,0,1,30.5,3,24,2.71,0.57,4,7,1.75,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,2,0,0,1,-5,0,,Tim Couch,CoucTi00
