,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Punting,Punting,Punting,Punting,Unnamed: 46_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,,
0,1,1985,1985-09-08,1,1,22.165,PHI,@,NYG,L 0-21,,1,7,14.29,24,0,1,1.8,0,0,3.43,-3.00,1,4,4.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
1,2,1985,1985-09-15,2,2,22.172,PHI,,RAM,L 6-17,*,14,34,41.18,211,0,4,22.7,5,31,6.21,0.91,10,90,9.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
2,3,1985,1985-09-22,3,3,22.179,PHI,@,WAS,W 19-6,*,8,15,53.33,187,1,1,92.9,4,32,12.47,10.80,8,60,7.50,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
3,4,1985,1985-09-29,4,4,22.186,PHI,,NYG,L 10-16,*,6,15,40.00,79,0,0,57.4,7,52,5.27,5.27,5,32,6.40,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
4,5,1985,1985-10-06,5,5,22.193,PHI,@,NOR,L 21-23,*,2,7,28.57,6,0,2,0.0,2,15,0.86,-12.00,1,15,15.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
5,6,1985,1985-11-17,11,11,22.235,PHI,@,STL,W 24-14,,3,3,100.00,41,0,0,118.7,2,20,13.67,13.67,4,4,1.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
6,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,Randall Cunningham,CunnRa00
7,7,1986,1986-09-07,1,1,23.164,PHI,@,WAS,L 14-41,,1,3,33.33,8,0,0,42.4,2,12,2.67,2.67,2,31,15.50,0,,0,0,,0,,,,0,0,0,,0,0,0,0,1,15,15.00,0,,Randall Cunningham,CunnRa00
8,8,1986,1986-09-14,2,2,23.171,PHI,@,CHI,L 10-13,,1,3,33.33,13,0,0,47.9,1,12,4.33,4.33,1,16,16.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
