,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Unnamed: 36_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 54_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
0,1,2011,2011-09-11,1,1,23.317,CIN,@,CLE,W 27-17,*,10,15,66.67,81,1,0,102.4,3,11,5.40,6.73,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,,Andy Dalton,DaltAn00
1,2,2011,2011-09-18,2,2,23.324,CIN,@,DEN,L 22-24,*,27,41,65.85,332,2,0,107.0,2,22,8.10,9.07,2,3,1.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Andy Dalton,DaltAn00
2,3,2011,2011-09-25,3,3,23.331,CIN,,SFO,L 8-13,*,17,32,53.13,157,0,2,40.8,1,8,4.91,2.09,1,5,5.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Andy Dalton,DaltAn00
3,4,2011,2011-10-02,4,4,23.338,CIN,,BUF,W 23-20,*,18,36,50.00,298,1,2,64.4,2,11,8.28,6.33,3,12,4.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Andy Dalton,DaltAn00
4,5,2011,2011-10-09,5,5,23.345,CIN,@,JAX,W 30-20,*,21,33,63.64,179,2,1,85.3,2,17,5.42,5.27,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,Andy Dalton,DaltAn00
5,6,2011,2011-10-16,6,6,23.352,CIN,,IND,W 27-17,*,25,32,78.13,264,1,0,111.5,0,0,8.25,8.88,2,-1,-0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Andy Dalton,DaltAn00
6,7,2011,2011-10-30,7,8,24.001,CIN,@,SEA,W 34-12,*,18,29,62.07,168,2,2,72.2,1,8,5.79,4.07,2,3,1.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Andy Dalton,DaltAn00
7,8,2011,2011-11-06,8,9,24.008,CIN,@,TEN,W 24-17,*,22,39,56.41,217,3,0,97.9,1,7,5.56,7.10,3,4,1.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Andy Dalton,DaltAn00
8,9,2011,2011-11-13,9,10,24.015,CIN,,PIT,L 17-24,*,15,30,50.00,170,2,2,61.8,0,0,5.67,4.00,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Andy Dalton,DaltAn00
