,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,,
0,1,1976,1976-11-21,11,11,25.072,DET,,CHI,W 14-10,,,,,,,,,,,,,,,,,,,,,0,0,Gary Danielson,DaniGa00
1,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Gary Danielson,DaniGa00
2,2,1977,1977-09-18,1,1,26.008,DET,@,CHI,L 20-30,,,,,,,,,,,,,,,,,,,,,0,0,Gary Danielson,DaniGa00
3,3,1977,1977-09-25,2,2,26.015,DET,,NOR,W 23-19,,,,,,,,,,,,,,,,,,,,,0,0,Gary Danielson,DaniGa00
4,4,1977,1977-10-02,3,3,26.022,DET,,PHI,W 17-13,,,,,,,,,,,,,,,,,,,,,0,0,Gary Danielson,DaniGa00
5,5,1977,1977-10-09,4,4,26.029,DET,@,MIN,L 7-14,,,,,,,,,,,,,,,,,,,,,0,0,Gary Danielson,DaniGa00
6,6,1977,1977-10-16,5,5,26.036,DET,,GNB,W 10-6,,,,,,,,,,,,,,,,,,,,,0,0,Gary Danielson,DaniGa00
7,7,1977,1977-10-23,6,6,26.043,DET,@,SFO,L 7-28,,3,8,37.50,44,0,1,16.7,1,10,5.50,-0.13,,,,,,,,,0,0,Gary Danielson,DaniGa00
8,8,1977,1977-11-06,8,8,26.057,DET,,SDG,W 20-0,,,,,,,,,,,,,,,,,,,,,0,0,Gary Danielson,DaniGa00
9,9,1977,1977-11-13,9,9,26.064,DET,@,ATL,L 6-17,,,,,,,,,,,,,,,,,,,,,0,0,Gary Danielson,DaniGa00
10,10,1977,1977-11-20,10,10,26.071,DET,,TAM,W 16-7,,7,17,41.18,80,0,1,31.5,2,14,4.71,2.06,3,31,10.33,0,,,,,0,0,Gary Danielson,DaniGa00
11,11,1977,1977-11-24,11,11,26.075,DET,,CHI,L 14-31,,4,13,30.77,39,0,0,40.2,1,2,3.00,3.00,1,8,8.00,0,,,,,0,0,Gary Danielson,DaniGa00
12,12,1977,1977-12-04,12,12,26.085,DET,@,GNB,L 9-10,,,,,,,,,,,,,,,,,,,,,0,0,Gary Danielson,DaniGa00
13,13,1977,1977-12-11,13,13,26.092,DET,@,BAL,W 13-10,*,17,32,53.13,129,0,1,50.1,2,7,4.03,2.63,2,7,3.50,0,,,,,0,0,Gary Danielson,DaniGa00
