,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 40_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
0,1,2018,2018-09-10,1,1,21.097,NYJ,@,DET,W 48-17,*,16,21,76.19,198,2,1,116.8,2,18,9.43,9.19,6,-1,-0.17,0,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
1,2,2018,2018-09-16,2,2,21.103,NYJ,,MIA,L 12-20,*,25,41,60.98,334,1,2,74.6,3,14,8.15,6.44,2,1,0.50,0,0,0,1,0,0,0,-2,0,65,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
2,3,2018,2018-09-20,3,3,21.107,NYJ,@,CLE,L 17-21,*,15,31,48.39,169,0,2,38.2,2,8,5.45,2.55,0,0,,0,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
3,4,2018,2018-09-30,4,4,21.117,NYJ,@,JAX,L 12-31,*,17,34,50.00,167,1,0,74.0,3,23,4.91,5.50,2,8,4.00,0,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
4,5,2018,2018-10-07,5,5,21.124,NYJ,,DEN,W 34-16,*,10,22,45.45,198,3,1,98.1,1,9,9.00,9.68,3,5,1.67,0,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
5,6,2018,2018-10-14,6,6,21.131,NYJ,,IND,W 42-34,*,24,30,80.00,280,2,1,113.9,2,13,9.33,9.17,6,8,1.33,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
6,7,2018,2018-10-21,7,7,21.138,NYJ,,MIN,L 17-37,*,17,42,40.48,206,1,3,34.4,3,14,4.90,2.17,6,18,3.00,1,1,6,2,1,0,1,-8,0,71,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
7,8,2018,2018-10-28,8,8,21.145,NYJ,@,CHI,L 10-24,*,14,29,48.28,153,1,0,75.8,1,3,5.28,5.97,5,22,4.40,0,0,0,1,0,0,1,-1,0,54,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
8,9,2018,2018-11-04,9,9,21.152,NYJ,@,MIA,L 6-13,*,21,39,53.85,229,0,4,31.8,4,27,5.87,1.26,0,0,,0,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
