,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,,
0,1,1957,1957-12-01,9,10,22.164,PIT,@,PHI,L 6-7,*,2,4,50.00,25,0,0,69.8,,,6.25,6.25,3,31,10.33,0,0,0,Len Dawson,DawsLe00
1,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Len Dawson,DawsLe00
2,2,1958,1958-10-05,2,2,23.107,PIT,,CLE,L 12-45,,1,2,50.00,11,0,0,66.7,,,5.50,5.50,1,1,1.00,0,0,0,Len Dawson,DawsLe00
3,3,1958,1958-10-12,3,3,23.114,PIT,,PHI,W 24-3,,0,1,0.00,0,0,0,39.6,,9,0.00,0.00,1,-2,-2.00,0,0,0,Len Dawson,DawsLe00
4,4,1958,1958-10-19,4,4,23.121,PIT,@,CLE,L 10-27,,0,1,0.00,0,0,0,39.6,,,0.00,0.00,,,,,0,0,Len Dawson,DawsLe00
5,5,1958,1958-11-16,8,8,23.149,PIT,,NYG,W 31-10,,0,2,0.00,0,0,2,0.0,,2,0.00,-45.00,,,,,0,0,Len Dawson,DawsLe00
6,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Len Dawson,DawsLe00
7,6,1959,1959-11-01,6,6,24.134,PIT,@,CRD,L 24-45,,3,4,75.00,60,1,0,156.2,,,15.00,20.00,2,16,8.00,0,0,0,Len Dawson,DawsLe00
8,7,1959,1959-12-13,12,12,24.176,PIT,,CRD,W 35-20,,0,3,0.00,0,0,0,39.6,,,0.00,0.00,2,4,2.00,0,0,0,Len Dawson,DawsLe00
9,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Len Dawson,DawsLe00
10,8,1960,1960-10-16,3,4,25.118,CLE,@,DAL,W 48-7,,8,13,61.54,23,0,0,65.9,1,8,1.77,1.77,1,0,0.00,0,0,0,Len Dawson,DawsLe00
11,9,1960,1960-11-27,9,10,25.160,CLE,@,STL,T 17-17,,,,,,,,,,16,,,,,,,0,0,Len Dawson,DawsLe00
12,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Len Dawson,DawsLe00
13,10,1961,1961-10-08,4,4,26.110,CLE,,WAS,W 31-7,,1,1,100.00,17,1,0,158.3,,,17.00,37.00,,,,,0,0,Len Dawson,DawsLe00
14,11,1961,1961-10-22,6,6,26.124,CLE,@,PIT,W 30-28,*,6,12,50.00,68,0,2,27.8,1,7,5.67,-1.83,1,-10,-10.00,0,0,0,Len Dawson,DawsLe00
15,12,1961,1961-11-26,11,11,26.159,CLE,,NYG,L 21-37,,0,2,0.00,0,0,1,0.0,1,6,0.00,-22.50,,,,,0,0,Len Dawson,DawsLe00
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Len Dawson,DawsLe00
17,13,1962,1962-09-08,1,1,27.080,DTX,,BOS,W 42-28,*,16,23,69.57,202,2,0,125.6,,,8.78,10.52,4,32,8.00,0,0,0,Len Dawson,DawsLe00
