,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,,
0,1,1971,1971-09-19,1,1,21.335,HOU,@,CLE,L 0-31,,8,20,40.00,144,0,3,25.8,3,21,7.20,0.45,,,,,0,0,Lynn Dickey,DickLy00
1,2,1971,1971-09-26,2,2,21.342,HOU,,KAN,L 16-20,,,,,,,,,,,,,,,,,0,0,Lynn Dickey,DickLy00
2,3,1971,1971-10-03,3,3,21.349,HOU,,NOR,T 13-13,*,6,20,30.00,82,0,3,4.6,,,4.10,-2.65,1,4,4.00,0,0,0,Lynn Dickey,DickLy00
3,4,1971,1971-10-31,7,7,22.012,HOU,,CIN,W 10-6,,1,5,20.00,7,0,0,39.6,,,1.40,1.40,,,,,0,0,Lynn Dickey,DickLy00
4,5,1971,1971-11-14,9,9,22.026,HOU,@,OAK,L 21-41,*,3,11,27.27,60,0,3,10.2,,,5.45,-6.82,,,,,0,0,Lynn Dickey,DickLy00
5,6,1971,1971-12-05,12,12,22.047,HOU,,PIT,W 29-3,,1,1,100.00,22,0,0,118.7,,,22.00,22.00,,,,,0,0,Lynn Dickey,DickLy00
6,7,1971,1971-12-19,14,14,22.061,HOU,,SDG,W 49-33,,,,,,,,,,,,,,,,,0,0,Lynn Dickey,DickLy00
7,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Lynn Dickey,DickLy00
8,8,1973,1973-09-16,1,1,23.332,HOU,@,NYG,L 14-34,,,,,,,,,,,,,,,,,0,0,Lynn Dickey,DickLy00
9,9,1973,1973-09-23,2,2,23.339,HOU,@,CIN,L 10-24,,,,,,,,,,,,,,,,,0,0,Lynn Dickey,DickLy00
10,10,1973,1973-09-30,3,3,23.346,HOU,,PIT,L 7-36,,5,8,62.50,55,0,1,43.2,,,6.88,1.25,,,,,0,0,Lynn Dickey,DickLy00
11,11,1973,1973-10-07,4,4,23.353,HOU,,RAM,L 26-31,,,,,,,,,,,,,,,,,0,0,Lynn Dickey,DickLy00
12,12,1973,1973-10-14,5,5,23.360,HOU,,DEN,L 20-48,,4,5,80.00,23,0,0,85.8,4,42,4.60,4.60,,,,,0,0,Lynn Dickey,DickLy00
13,13,1973,1973-10-21,6,6,24.002,HOU,@,CLE,L 13-42,,2,3,66.67,-2,0,0,70.1,1,12,-0.67,-0.67,,,,,0,0,Lynn Dickey,DickLy00
14,14,1973,1973-10-28,7,7,24.009,HOU,@,CHI,L 14-35,,10,18,55.56,99,1,2,50.2,3,35,5.50,1.61,,,,,0,0,Lynn Dickey,DickLy00
15,15,1973,1973-11-04,8,8,24.016,HOU,@,BAL,W 31-27,*,22,32,68.75,340,3,2,108.9,,,10.63,9.69,2,3,1.50,0,0,1,Lynn Dickey,DickLy00
16,16,1973,1973-11-11,9,9,24.023,HOU,,CLE,L 13-23,*,12,22,54.55,139,1,0,89.0,1,9,6.32,7.23,,,,,0,0,Lynn Dickey,DickLy00
