,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 41_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,1994,1994-09-04,1,1,,TAM,@,CHI,L 9-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Trent Dilfer,DilfTr00
1,2,1994,1994-09-11,2,2,,TAM,,IND,W 24-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Trent Dilfer,DilfTr00
2,3,1994,1994-09-18,3,3,,TAM,,NOR,L 7-9,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Trent Dilfer,DilfTr00
3,4,1994,1994-09-25,4,4,22.196,TAM,@,GNB,L 3-30,,5,10,50.00,73,0,0,74.2,3,8,7.30,7.30,1,12,12.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Trent Dilfer,DilfTr00
4,5,1994,1994-10-02,5,5,,TAM,,DET,W 24-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Trent Dilfer,DilfTr00
5,6,1994,1994-10-09,6,6,22.210,TAM,@,ATL,L 13-34,,6,11,54.55,81,0,3,38.6,1,4,7.36,-4.91,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Trent Dilfer,DilfTr00
6,7,1994,1994-10-23,7,8,22.224,TAM,@,SFO,L 16-41,*,7,23,30.43,45,0,1,21.8,1,8,1.96,0.00,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Trent Dilfer,DilfTr00
7,8,1994,1994-10-30,8,9,22.231,TAM,,MIN,L 13-36,,7,13,53.85,75,1,1,64.6,1,8,5.77,3.85,0,0,,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,,Trent Dilfer,DilfTr00
8,9,1994,1994-11-06,9,10,22.238,TAM,,CHI,L 6-20,*,13,25,52.00,159,0,1,55.2,2,14,6.36,4.56,1,15,15.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,,Trent Dilfer,DilfTr00
