,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Punting,Punting,Punting,Punting,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,,
0,1,1954,1954-09-26,1,1,24.315,WAS,@,SFO,L 7-41,,1,2,50.00,8,0,1,20.8,,,4.00,-18.50,2,0,0.00,0,0,0,0,0,,,Al Dorow,DoroAl00
1,2,1954,1954-10-02,2,2,24.321,WAS,@,PIT,L 7-37,,14,25,56.00,142,0,1,55.7,,34,5.68,3.88,6,20,3.33,1,1,6,0,0,,,Al Dorow,DoroAl00
2,3,1954,1954-10-10,3,3,24.329,WAS,,NYG,L 21-51,*,2,10,20.00,19,0,1,0.0,,,1.90,-2.60,,,,,0,0,0,0,,,Al Dorow,DoroAl00
3,4,1954,1954-10-17,4,4,24.336,WAS,,PHI,L 21-49,,4,6,66.67,39,1,0,124.3,,12,6.50,9.83,,,,,0,0,0,0,,,Al Dorow,DoroAl00
4,5,1954,1954-10-24,5,5,24.343,WAS,@,NYG,L 7-24,*,12,23,52.17,154,0,5,33.9,,10,6.70,-3.09,3,6,2.00,1,1,6,0,0,,,Al Dorow,DoroAl00
5,6,1954,1954-10-31,6,6,24.350,WAS,,BAL,W 24-21,*,8,13,61.54,136,1,1,90.5,,7,10.46,8.54,6,24,4.00,0,0,0,0,0,,,Al Dorow,DoroAl00
6,7,1954,1954-11-07,7,7,24.357,WAS,@,CLE,L 3-62,*,3,14,21.43,33,0,3,0.0,,,2.36,-7.29,1,-5,-5.00,0,0,0,0,0,,,Al Dorow,DoroAl00
7,8,1954,1954-11-21,9,9,25.006,WAS,@,CRD,L 16-38,,3,4,75.00,35,0,1,61.5,,10,8.75,-2.50,,,,,0,0,0,0,,,Al Dorow,DoroAl00
8,9,1954,1954-11-28,10,10,25.013,WAS,@,PHI,L 33-41,,7,16,43.75,91,0,1,36.2,,,5.69,2.88,4,32,8.00,1,1,6,0,0,,,Al Dorow,DoroAl00
