,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,,
0,1,1983,1983-09-04,1,1,23.331,NWE,,BAL,L 23-29,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,,,,,,Tony Eason,EasoTo00
1,2,1983,1983-09-11,2,2,23.338,NWE,@,MIA,L 24-34,,4,4,100.00,58,0,0,118.7,1,3,14.50,14.50,1,4,4.00,0,0,0,0,,0,0,0,0,Tony Eason,EasoTo00
2,3,1983,1983-09-18,3,3,23.345,NWE,,NYJ,W 23-13,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,,,,,,Tony Eason,EasoTo00
3,4,1983,1983-09-25,4,4,23.352,NWE,@,PIT,W 28-23,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,,,,,,Tony Eason,EasoTo00
4,5,1983,1983-10-02,5,5,23.359,NWE,,SFO,L 13-33,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,,,,,,Tony Eason,EasoTo00
5,6,1983,1983-10-09,6,6,24.001,NWE,@,BAL,L 7-12,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,,,,,,Tony Eason,EasoTo00
6,7,1983,1983-10-16,7,7,24.008,NWE,,SDG,W 37-21,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,,,,,,Tony Eason,EasoTo00
7,8,1983,1983-10-23,8,8,24.015,NWE,@,BUF,W 31-0,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,,,,,,Tony Eason,EasoTo00
8,9,1983,1983-10-30,9,9,24.022,NWE,@,ATL,L 13-24,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,,,,,,Tony Eason,EasoTo00
9,10,1983,1983-11-06,10,10,24.029,NWE,,BUF,W 21-7,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,,,,,,Tony Eason,EasoTo00
10,11,1983,1983-11-13,11,11,24.036,NWE,,MIA,W 17-6,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,,,,,,Tony Eason,EasoTo00
11,12,1983,1983-11-20,12,12,24.043,NWE,,CLE,L 0-30,,4,11,36.36,34,0,2,5.7,2,19,3.09,-5.09,2,11,5.50,0,0,0,0,,0,0,0,0,Tony Eason,EasoTo00
12,13,1983,1983-11-27,13,13,24.050,NWE,@,NYJ,L 3-26,*,13,27,48.15,159,0,1,51.3,5,47,5.89,4.22,1,12,12.00,0,0,0,0,,0,0,0,0,Tony Eason,EasoTo00
13,14,1983,1983-12-04,14,14,24.057,NWE,,NOR,W 7-0,*,3,10,30.00,30,0,0,39.6,2,14,3.00,3.00,7,12,1.71,0,0,0,0,,0,0,0,0,Tony Eason,EasoTo00
14,15,1983,1983-12-11,15,15,24.064,NWE,@,RAM,W 21-7,*,12,21,57.14,172,0,1,64.0,3,27,8.19,6.05,6,-4,-0.67,0,0,0,0,,0,0,0,0,Tony Eason,EasoTo00
15,16,1983,1983-12-18,16,16,24.071,NWE,@,SEA,L 6-24,*,10,22,45.45,104,1,1,55.9,3,29,4.73,3.59,2,4,2.00,0,0,0,0,,0,0,0,0,Tony Eason,EasoTo00
