,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Punting,Punting,Punting,Punting,Unnamed: 46_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,,
0,1,1983,1983-09-04,1,1,23.068,DEN,@,PIT,W 14-10,*,1,8,12.50,14,0,1,0.0,4,26,1.75,-3.88,0,0,,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
1,2,1983,1983-09-11,2,2,23.075,DEN,@,BAL,W 17-10,*,9,21,42.86,106,0,0,58.8,3,19,5.05,5.05,1,2,2.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
2,3,1983,1983-09-18,3,3,23.082,DEN,,PHI,L 10-13,*,18,33,54.55,193,1,2,56.8,3,17,5.85,3.73,4,29,7.25,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
3,4,1983,1983-09-25,4,4,23.089,DEN,,RAI,L 7-22,*,6,11,54.55,71,0,1,36.6,2,20,6.45,2.36,0,0,,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
4,5,1983,1983-10-02,5,5,23.096,DEN,@,CHI,L 14-31,*,4,10,40.00,36,0,1,10.8,3,25,3.60,-0.90,3,10,3.33,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
5,6,1983,1983-11-06,10,10,23.131,DEN,@,SEA,L 19-27,,8,15,53.33,134,1,0,106.0,2,17,8.93,10.27,4,20,5.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
6,7,1983,1983-11-13,11,11,23.138,DEN,@,RAI,L 20-22,*,11,31,35.48,190,0,1,43.8,2,21,6.13,4.68,3,32,10.67,1,,0,0,,0,,,,1,6,0,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
7,8,1983,1983-11-27,13,13,23.152,DEN,@,SDG,L 7-31,*,14,28,50.00,147,0,3,26.0,4,35,5.25,0.43,1,1,1.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
8,9,1983,1983-12-04,14,14,23.159,DEN,,CLE,W 27-6,*,16,24,66.67,284,2,1,117.4,0,0,11.83,11.63,6,18,3.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
